moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,4,0,11483521024,0,216,0,0.407999999995809
1,2,0,12851449856,0,234,0,0.464000000006408
1,3,0,11079942144,0,206,0,0.38399999999092
1,5,0,13794500608,0,276,0,0.487999999997555
1,7,0,16351551488,0,286,0,0.615999999999303
1,6,0,12247216128,0,223,0,0.452000000003153
1,1,0,13457891328,0,255,0,0.475999999995111
2,2,0,61440,0,6,0,0.019999999999996
2,3,0,692224,0,34,0,0
2,4,0,73728,0,3,0,0.0120000000000005
2,7,0,81920,0,6,0,0.0519999999999925
2,6,0,136044544,0,41,0,0.116000000005698
2,5,0,16384,0,2,0,0
2,1,0,770048,0,32,0,0.00399999999999068
3,2,0,159744,0,4,0,0.0160000000032596
3,3,0,112545792,0,909,0,54.8160000000106
3,4,0,217088,0,7,0,0.047999999994417
3,7,0,16384,0,2,0,0
3,5,0,0,0,0,0,0
3,6,0,143360,0,4,0,0.0239999999895275
3,1,0,134496256,0,1031,0,111.600000000005
4,7,0,68526080,0,530,0,21.1480000000058
4,2,0,68476928,0,529,0,27.9839999999967
4,5,0,68505600,0,532,0,21.351999999998
4,3,0,213315584,0,1729,0,129.567999999999
4,4,0,68448256,0,527,0,31.8480000000119
4,6,0,68513792,0,530,0,37.8279999999996
4,1,4096,248229888,1,2025,0.0120000000000005,189.384000000005
5,7,0,188416,0,4,0,0.0599999999960517
5,2,0,167936,0,5,0,0.0360000000073342
5,3,0,266240,0,5,0,0.0279999999911524
5,5,0,167936,0,5,0,0.0280000000057044
5,4,0,892928,0,47,0,0.163999999987183
5,6,0,172032,0,5,0,0.0120000000024447
5,1,0,245760,0,7,0,0.0200000000040745
6,7,0,909312,0,10,0,0.0119999999878928
6,2,0,905216,0,11,0,0.0119999999878928
6,3,12288,1335296,3,14,0,0.0840000000025611
6,5,0,1110016,0,18,0,0.095999999988706
6,6,0,962560,0,12,0,0.0120000000024447
6,4,4096,1048576,1,12,0.004,0.00800000000162981
6,1,16384,946176,4,10,0,0.0439999999944121
7,7,262144,5021696,3,86,0.0239999999999991,0.596000000001851
7,2,262144,4907008,23,78,0.0960000000000001,0.299999999999415
7,3,262144,6057984,11,55,0.0440000000000005,0.18399999999383
7,5,262144,4075520,2,37,0.0119999999999987,0.164000000004307
7,6,262144,4091904,8,38,0.032,0.144000000000233
7,4,262144,4059136,2,37,0.0080000000000009,0.176000000002688
7,1,262144,4153344,2,52,0.00799999999999912,0.375999999997788
8,7,393216,946176,3,13,0.0120000000000005,0.0840000000235221
8,2,393216,966656,3,14,0.0119999999999987,0.0160000000024496
8,3,393216,1241088,6,14,0.00399999999999956,0.0840000000025611
8,5,393216,929792,3,11,0.0120000000000005,0.0120000000024447
8,6,393216,1126400,14,37,0.0120000000000005,0.0120000000024447
8,4,397312,1011712,10,15,0.0119999999999987,0.0640000000073258
8,1,393216,917504,3,10,0.00799999999999912,0.0200000000032503
9,2,0,45199360,0,351,0,16.9919999999984
9,3,0,1736704,0,54,0,0.220000000004077
9,7,0,24576,0,2,0,0
9,5,0,179666944,0,1509,0,167.796000000002
9,6,0,136253440,0,1060,0,110.944000000003
9,4,0,966656,0,12,0,0.0119999999878928
9,1,0,372736,0,40,0,0.0480000000000018
10,7,0,179679232,0,1514,0,164.079999999982
10,3,0,290816,0,42,0,0.112000000000009
10,2,4096,178896896,1,1506,0.032,149.964000000009
10,5,0,69279744,0,561,0,37.4759999999934
10,6,4096,184737792,1,1545,0.0959999999999992,154.543999999994
10,4,4096,178810880,1,1500,0,165.652000000011
10,1,0,1130496,0,46,0,0.0240000000032552
11,5,4096,1028096,1,28,0,0.208000000008155
11,7,0,69120000,0,533,0,38.2200000000133
11,6,0,69148672,0,536,0,38.7520000000077
11,3,0,103510016,0,795,0,75.7880000000005
11,2,0,69054464,0,532,0,36.4480000000031
11,4,0,69156864,0,534,0,35.6159999999945
11,1,0,75821056,0,586,0,49.2679999999956
12,7,0,70963200,0,560,0,28.6079999999783
12,3,0,106438656,0,834,0,63.1000000000058
12,5,8192,141119488,2,1115,0,87.1119999999937
12,6,0,106151936,0,841,0,80.5559999999928
12,2,0,70983680,0,560,0,29.3279999999941
12,1,0,141111296,0,1107,0,120.271999999996
12,4,4096,71225344,1,597,0,28.628000000004
13,3,0,185896960,0,1462,0,158.699999999997
13,5,0,197341184,0,1556,0,171.796000000002
13,7,0,170414080,0,1351,0,141.432000000001
13,6,0,158085120,0,1249,0,130.740000000005
13,2,0,103829504,0,818,0,66.3999999999942
13,1,0,119144448,0,951,0,96.3319999999963
13,4,0,180580352,0,1423,0,142.364000000001
14,3,0,33349632,0,314,0,9.29600000000127
14,7,0,74457088,0,640,0,43.260000000027
14,5,0,37310464,0,352,0,12.7560000000012
14,6,4096,87719936,1,754,0,59.455999999991
14,2,0,135106560,0,1145,0,67.3760000000099
14,4,4096,157892608,1,1312,0,130.179999999998
14,1,0,26587136,0,252,0,6.9320000000007
15,3,0,39387136,0,329,0,9.81599999999162
15,7,0,38981632,0,326,0,14.1679999999898
15,5,0,72699904,0,609,0,37.275999999998
15,2,0,38920192,0,325,0,9.16399999998895
15,6,0,39202816,0,344,0,14.6120000000083
15,4,0,46534656,0,389,0,13.9279999999991
15,1,0,36413440,0,304,0,8.99199999999837
16,3,0,33185792,0,303,0,9.61600000000314
16,7,0,30580736,0,266,0,8.84400000001024
16,4,8192,41103360,2,353,0,12.2440000000061
16,5,0,66375680,0,556,0,35.7400000000052
16,2,4096,32653312,1,283,0.00399999999999956,10.1480000000091
16,6,0,49057792,0,428,0,20.0719999999983
16,1,0,26398720,0,243,0,6.2960000000021
17,3,4096,71127040,1,600,0,36.6239999999953
17,7,0,38023168,0,317,0,13.3039999999884
17,4,0,46534656,0,391,0,15.3599999999981
17,5,0,36888576,0,327,0,12.1319999999978
17,6,0,38952960,0,327,0,11.5920000000034
17,2,4096,38936576,1,326,0,12.2280000000028
17,1,0,42414080,0,354,0,14.3000000000029
18,3,4096,39387136,1,330,0,10.7079999999987
18,5,8192,51646464,2,442,0,19.4679999999982
18,6,0,43274240,0,378,0,11.4039999999917
18,7,0,30474240,0,261,0,9.19600000001
18,2,4096,32608256,1,279,0,9.99199999999837
18,4,4096,41119744,1,357,0.004,13.5720000000001
18,1,4096,26300416,1,231,0,5.35199999999557
19,5,0,36843520,0,317,0,12.9759999999951
19,3,4096,32972800,1,283,0,8.59600000000501
19,2,0,38846464,0,323,0,12.7479999999923
19,6,0,38916096,0,326,0,10.1960000000067
19,7,4096,38924288,1,325,0,12.9159999999821
19,4,4096,46505984,1,390,0,14.9439999999886
19,1,0,61775872,0,533,0,29.9640000000072
20,5,0,51580928,0,434,0,23.3240000000078
20,3,0,39370752,0,330,0,13.7960000000021
20,7,4096,30556160,1,266,0,7.4400000000128
20,2,4096,32743424,1,289,0,10.1399999999969
20,6,0,43175936,0,369,0,15.6600000000035
20,4,0,41132032,0,358,0,14.2600000000083
20,1,0,36372480,0,305,0,9.14400000000023
21,5,0,35926016,0,308,0,12.1600000000035
21,3,0,31690752,0,272,0,9.5
21,7,4096,68542464,1,589,0,36.3040000000037
21,2,0,37965824,0,317,0,12.7640000000093
21,6,4096,81117184,1,686,0,50.2559999999995
21,4,4096,86654976,1,731,0,39.1359999999986
21,1,4096,26292224,1,226,0,6.09200000000419
22,3,0,39538688,0,355,0,8.57600000000198
22,5,0,51609600,0,431,0,22.3999999999942
22,7,0,39063552,0,344,0,14.4199999999986
22,6,0,39849984,0,354,0,17.0679999999977
22,2,0,70610944,0,600,0,38.7359999999955
22,4,4096,46542848,1,389,0,18.7679999999964
22,1,0,36450304,0,312,0,7.15600000000187
23,3,0,32980992,0,283,0,8.43600000000069
23,5,0,36913152,0,320,0,11.2400000000052
23,6,0,50446336,0,436,0,16.8040000000029
23,7,0,30511104,0,261,0,8.7839999999851
23,4,0,41082880,0,353,0,14.4120000000079
23,2,0,32681984,0,282,0,9.48799999999756
23,1,0,26247168,0,226,0,6.10399999999208
24,5,4096,51662848,1,435,0,18.7920000000013
24,3,4096,39452672,1,334,0,12.6879999999946
24,6,0,39055360,0,333,0,9.49999999999105
24,7,8192,38027264,2,317,0,13.516000000017
24,2,0,38944768,0,324,0,9.54800000000978
24,4,4096,46596096,1,389,0,19.1520000000019
24,1,4096,43683840,1,365,0,13.639999999997
25,3,16384,33046528,4,282,0,8.39600000000792
25,5,4096,87515136,1,737,0.0279999999999996,57.6479999999865
