moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,12848197632,0,296,0,0.463999999999942
1,4,0,10220982272,0,241,0,0.367999999994936
1,5,0,16760115200,0,381,0,0.584000000002561
1,3,0,11467816960,0,309,0,0.419999999998254
1,7,0,10362777600,0,287,0,0.399999999998201
1,1,0,13124587520,0,321,0,0.684000000001575
1,6,0,19272314880,0,433,0,0.707999999998719
2,2,0,180391936,0,39,0,0.0119999999951688
2,4,0,667648,0,38,0,0
2,5,0,1003520,0,38,0,0.0280000000000058
2,3,0,32768,0,4,0,0
2,7,0,135168,0,6,0,0.00800000000162981
2,1,0,937984,0,37,0,0.00799999999435386
2,6,0,1110016,0,37,0,0.00400000000081491
3,2,0,134230016,0,1026,0,107.720000000003
3,3,0,134283264,0,1028,0,107.131999999998
3,4,0,16384,0,2,0,0
3,5,0,65536,0,4,0,0.00400000000081491
3,7,0,45056,0,3,0,0
3,1,0,111472640,0,915,0,80.1400000000059
3,6,0,172032,0,4,0,0.0119999999951688
4,4,0,68558848,0,531,0,22.988000000004
4,2,0,69783552,0,560,0,19.8120000000036
4,3,0,69586944,0,538,0,33.0400000000001
4,5,0,183103488,0,1444,0,124.720000000001
4,7,0,179830784,0,1454,0,116.540000000001
4,1,0,136044544,0,1099,0,69.3039999999964
4,6,0,201285632,0,1623,0,131.312000000002
5,4,20480,630784,5,19,0,0.252000000002454
5,3,0,204800,0,7,0,0.0320000000024407
5,2,4096,258048,1,11,0,0.0199999999967986
5,5,0,109457408,0,958,0,87.3759999999963
5,1,0,958464,0,11,0,0.00800000000162981
5,7,16384,67817472,4,598,0,45.7279999999947
5,6,0,125194240,0,1085,0,105.620000000003
6,4,0,905216,0,12,0,0.0119999999951688
6,3,0,966656,0,23,0,0.108000000002448
6,5,0,901120,0,14,0,0.0120000000024447
6,2,0,946176,0,14,0,0.0160000000032596
6,1,0,901120,0,12,0,0.051999999995175
6,7,0,954368,0,9,0,0.0400000000008731
6,6,0,1441792,0,18,0,0.108000000000928
7,4,0,4218880,0,40,0,0.139999999999418
7,3,0,4198400,0,39,0,0.0959999999977299
7,2,0,4161536,0,35,0,0.135999999998603
7,5,4096,4255744,1,38,0,0.131999999997788
7,1,0,4186112,0,39,0,0.156000000000233
7,6,0,6168576,0,50,0,0.203999999997905
7,7,0,4186112,0,41,0,0.116000000001748
8,3,0,65536,0,4,0,0
8,5,8192,16384,2,2,0,0
8,4,0,0,0,0,0,0
8,2,0,888832,0,10,0,0.0279999999984284
8,1,0,155648,0,14,0,0.00400000000000489
8,7,0,61440,0,3,0,0.00400000000000489
8,6,0,1220608,0,14,0,0.0480000000025029
9,3,4096,880640,1,10,0,0.0120000000024447
9,5,0,913408,0,9,0,0.0120000000024447
9,4,4096,913408,1,12,0,0.0120000000024447
9,2,12288,970752,3,10,0,0.0199999999967986
9,1,0,1253376,0,54,0,0.0160000000032596
9,7,4096,905216,1,11,0,0.0160000000024354
9,6,0,1396736,0,18,0,0.103999999997612
10,3,0,179986432,0,1548,0,165.056000000001
10,1,0,69025792,0,546,0,39.1240000000034
10,4,0,248872960,0,2071,0,242.076000000003
10,5,0,966656,0,18,0,0.127999999998423
10,2,4096,180027392,1,1549,0.0960000000000001,146.092000000004
10,6,8192,8916992,2,82,0,0.747999999999593
10,7,0,2080768,0,57,0,0.143999999996055
11,3,0,69144576,0,537,0,38.1679999999962
11,1,0,974848,0,12,0,0.00799999999435386
11,4,0,970752,0,10,0,0.0119999999951688
11,6,0,103665664,0,816,0,75.6520000000019
11,5,0,69324800,0,568,0,36.9639999999999
11,2,0,77717504,0,624,0,46.3640000000002
11,7,0,69111808,0,541,0,40.5679999999993
12,3,4096,200183808,1,1592,0,144.036
12,1,0,150593536,0,1198,0,132.664000000004
12,6,0,153600000,0,1223,0,125.536
12,5,20480,201981952,5,1603,0,179.948000000004
12,4,0,157847552,0,1255,0,131.980000000003
12,2,0,172593152,0,1375,0,145.824000000001
12,7,8192,116338688,2,926,0,91.1679999999978
13,3,8192,127459328,2,1073,0,99.2080000000027
13,1,0,88506368,0,731,0,63.4399999999951
13,5,0,127012864,0,1054,0,101.531999999998
13,6,0,99291136,0,826,0,72.8559999999998
13,4,4096,103944192,1,884,0,80.4759999999989
13,2,0,122171392,0,1015,0,95.6800000000003
13,7,4096,82964480,1,698,0,57.2280000000068
14,3,0,46604288,0,391,0,17.8919999999998
14,1,4096,39010304,1,339,0,14.1360000000048
14,5,0,33914880,0,284,0,10.4159999999974
14,6,0,39415808,0,329,0,12.5080000000016
14,4,0,43999232,0,368,0,18.7200000000012
14,2,0,46559232,0,387,0,17.7520000000004
14,7,4096,41467904,1,347,0,13.2719999999972
15,3,4096,80392192,1,669,0,51.351999999999
15,1,0,55889920,0,467,0,25.4239999999991
15,5,4096,64360448,1,535,0,36.1080000000002
15,6,4096,63467520,1,527,0,35.6759999999995
15,4,4096,69410816,1,578,0,43.3439999999973
15,2,0,79482880,0,660,0,52.771999999998
15,7,4096,65163264,1,544,0,33.0720000000001
16,3,4096,35020800,1,305,0,9.92799999999988
16,1,0,17948672,0,164,0,2.53199999999924
16,5,0,31481856,0,266,0,8.74000000000117
16,6,0,34725888,0,294,0,10.2439999999995
16,2,0,34811904,0,289,0,11.0440000000017
16,4,4096,26370048,1,223,0,5.90799999999902
16,7,4096,24694784,1,209,0.004,6.12400000000262
17,3,0,53350400,0,445,0,20.7839999999972
17,1,0,55844864,0,465,0,27.4119999999966
17,6,4096,46174208,1,381,0,17.8839999999982
17,5,0,32952320,0,275,0,10.127999999997
17,2,12288,54726656,3,473,0,17.1759999999994
17,4,0,69578752,0,595,0,33.3760000000038
17,7,8192,40538112,2,338,0,16.4839999999967
18,3,0,73695232,0,616,0,35.4000000000006
18,1,0,38936576,0,326,0,13.5880000000034
18,6,0,58175488,0,509,0,22.6239999999985
18,5,16384,64425984,4,548,0,20.1360000000051
18,2,0,80453632,0,670,0,52.351999999999
18,4,8192,44027904,2,369,0,15.051999999996
18,7,0,65318912,0,564,0,24.2440000000027
19,3,4096,44920832,1,373,0,16.1600000000035
19,1,0,55844864,0,466,0,26.3960000000006
19,6,0,26824704,0,224,0,6.87600000000384
19,5,0,31535104,0,265,0,8.68000000000029
19,4,4096,69431296,1,580,0,42.9200000000047
19,2,0,34840576,0,292,0,10.5760000000009
19,7,4096,24698880,1,210,0,6.27599999999802
20,3,0,70356992,0,585,0,33.9239999999991
20,1,4096,17960960,1,155,0,2.69999999999709
