moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,4096,0,1,0,0
1,3,0,4429090816,0,266,0,0.188000000001921
1,5,0,81920,0,10,0,0.00400000000000489
1,4,0,4318248960,0,251,0,0.19199999999546
1,1,0,5356990464,0,320,0,0.247999999999593
1,6,0,3693965312,0,226,0,0.163999999989755
1,7,0,1208320,0,38,0,0.0160000000024496
2,2,0,98304,0,8,0,0.0240000000000009
2,3,0,44371968,0,9,0,0.0400000000016263
2,5,0,179691520,0,10,0,0.0119999999951688
2,4,0,89763840,0,19,0,0.104000000001633
2,1,0,540672,0,26,0,0.00800000000162981
2,6,0,135684096,0,25,0,0.0120000000024447
2,7,0,139264,0,6,0,0.00800000000162981
3,2,0,134758400,0,1043,0,107.387999999999
3,3,0,44785664,0,365,0,16.8079999999973
3,5,0,117100544,0,974,0,91.2080000000052
3,4,0,44765184,0,362,0,18.1080000000002
3,1,0,57344,0,5,0,0.0360000000000014
3,6,0,0,0,0,0,0
3,7,0,134307840,0,1034,0,108.964
4,2,0,282316800,0,2283,0,227.984000000004
4,3,0,68534272,0,529,0,24.836000000003
4,4,0,68530176,0,529,0,35.1200000000018
4,5,0,130543616,0,1066,0,69.7160000000003
4,1,0,178425856,0,1430,0,129.608
4,6,0,185200640,0,1485,0,123.436000000002
4,7,0,69664768,0,540,0,20.8119999999964
5,2,16384,1335296,4,13,0,0.0199999999967986
5,4,12288,962560,3,11,0,0.0160000000032596
5,3,0,1024000,0,23,0,0.00800000000162981
5,5,16384,1073152,4,15,0,0.00799999999435386
5,1,0,69869568,0,614,0,47.4599999999991
5,6,8192,63197184,2,575,0,39.456000000007
5,7,0,962560,0,11,0,0.00800000000162981
6,2,0,6213632,0,52,0,0.22800000000035
6,4,0,4206592,0,38,0,0.143999999992957
6,3,0,4190208,0,41,0,0.175999999999476
6,5,0,4153344,0,36,0,0.192000000002736
6,1,0,4136960,0,34,0,0.116000000001804
6,6,0,4141056,0,34,0,0.155999999988126
6,7,0,4259840,0,46,0,0.243999999998664
7,2,0,1486848,0,31,0,0.272000000004084
7,3,0,1007616,0,12,0,0.0199999999951785
7,4,0,983040,0,15,0,0.0480000000065104
7,5,0,999424,0,14,0,0.00800000000162981
7,1,0,1011712,0,17,0,0.0440000000024412
7,6,0,978944,0,15,0,0.0160000000024496
7,7,0,1003520,0,11,0,0.0160000000024496
8,2,0,1421312,0,17,0,0.047999999995227
8,4,0,49152,0,2,0,0
8,3,0,983040,0,12,0,0.0160000000024354
8,5,4096,172032,1,18,0,0
8,1,0,81920,0,2,0,0
8,6,0,53248,0,2,0,0
8,7,0,1056768,0,32,0,0.00800000000162981
9,2,0,1372160,0,19,0,0.0279999999984284
9,4,4096,1212416,1,58,0,0.0959999999951719
9,5,0,119984128,0,976,0,91.0279999999984
9,3,0,299008,0,32,0,0
9,1,0,946176,0,13,0,0.0119999999951688
9,6,0,872448,0,8,0,0.00800000000162981
9,7,0,892928,0,10,0,0.00800000000162981
10,3,0,179679232,0,1516,0,161.920000000001
10,2,4096,11501568,1,163,0,1.92799999999988
10,4,4096,179712000,1,1508,0,160.996000000005
10,5,0,115863552,0,1008,0,92.2559999999995
10,1,0,1085440,0,32,0,0.144000000002436
10,6,0,974848,0,14,0,0.072000000002447
10,7,0,189116416,0,1616,0,164.771999999997
11,3,0,69181440,0,534,0,35.0679999999993
11,2,0,103612416,0,799,0,72.2960000000021
11,4,4096,69177344,1,534,0,38.3999999999942
11,5,20480,176205824,5,1496,0,181.796
11,1,0,69361664,0,558,0,39.5480000000025
11,6,4096,69402624,1,562,0,36.7839999999939
11,7,0,69107712,0,533,0,37.6520000000019
12,4,0,89878528,0,737,0,56.3680000000022
12,3,0,129810432,0,1082,0,97.8680000000002
12,2,0,46006272,0,374,0,18.5080000000016
12,5,12288,958464,3,12,0,0.00800000000162981
12,1,0,90734592,0,744,0,67.0199999999968
12,6,4096,81084416,1,670,0,52.044000000009
12,7,0,76750848,0,630,0,48.2039999999979
13,4,12288,64876544,3,572,0,29.275999999998
13,3,0,38543360,0,357,0,12.5599999999977
13,2,0,93163520,0,805,0,64.6520000000019
13,5,8192,983040,2,11,0,0.00800000000162981
13,1,0,66473984,0,583,0,41.5120000000024
13,6,0,62545920,0,558,0,38.2999999999884
13,7,0,63975424,0,568,0,37.7200000000012
14,3,0,38334464,0,329,0,12.0320000000065
14,4,0,47206400,0,402,0,17.2120000000019
14,2,8192,45985792,2,406,0,18.5199999999998
14,5,0,0,0,0,0,0
14,1,8192,51404800,2,432,0,23.3559999999998
14,6,4096,49299456,1,419,0,20.0120000000121
14,7,0,48410624,0,409,0,21.2079999999987
15,4,0,47185920,0,400,0,20.448000000004
15,3,0,38277120,0,327,0,11.2119999999995
15,2,0,46129152,0,393,0,18.6679999999978
15,5,8192,946176,2,9,0,0.00799999999435386
15,1,4096,70090752,1,590,0,43.5799999999945
15,6,12288,49303552,3,418,0,18.4759999999951
15,7,12288,75579392,3,644,0,47.1800000000003
16,4,0,91688960,0,421,0,18.0559999999952
16,3,8192,38449152,2,344,0,12.8399999999965
16,2,0,83730432,0,698,0,51.3119999999981
16,5,4096,136380416,1,30,0,0.0680000000024421
16,6,4096,210001920,1,632,0,40.3399999999965
16,1,0,66863104,0,574,0,34.5120000000023
16,7,0,105029632,0,511,0,31.2719999999964
17,4,16384,66314240,4,565,0,33.7520000000004
17,3,0,58687488,0,503,0,27.5599999999977
17,2,0,46043136,0,404,0,11.2680000000037
17,5,0,59260928,0,525,0,18.9799999999983
17,6,4096,49364992,1,425,0,20.0319999999992
17,1,4096,51429376,1,434,0,24.2320000000036
17,7,4096,48668672,1,430,0,14.3960000000006
18,4,0,47259648,0,401,0,18.0880000000034
18,3,0,38338560,0,327,0,11.2200000000012
18,2,4096,45936640,1,387,0,16.0959999999977
18,5,0,91873280,0,771,0,64.2560000000012
18,6,0,49401856,0,432,0,18.8320000000094
18,1,4096,59146240,1,511,0,20.8359999999957
18,7,4096,65069056,1,555,0,35.2920000000061
19,4,0,47177728,0,401,0,18.7999999999956
19,3,0,38289408,0,329,0,12.836000000003
19,2,4096,65032192,1,554,0,30.9440000000031
19,5,8192,59072512,2,499,0,28.3000000000029
19,1,4096,60338176,1,512,0,28.3000000000029
19,6,8192,72318976,2,632,0,37.2439999999915
19,7,8192,52314112,2,445,0,24.6039999999994
20,4,0,47300608,0,403,0,17.9639999999991
20,3,0,48427008,0,413,0,19.0879999999969
20,2,0,45981696,0,393,0,18.5239999999976
20,5,16384,59068416,4,500,0,27.1039999999977
20,1,12288,51531776,3,434,0,22.2719999999972
20,6,0,49336320,0,417,0,22.1800000000076
20,7,4096,48467968,1,409,0.004,17.3679999999949
21,4,0,74313728,0,624,0,44.6759999999995
21,3,8192,45142016,2,383,0,19.6160000000018
21,2,8192,46043136,2,401,0,20.408000000003
21,5,4096,59138048,1,501,0,24.9559999999975
21,1,4096,51552256,1,439,0.004,20.1639999999993
21,6,4096,49401856,1,419,0,18.8559999999998
21,7,0,48529408,0,411,0,19.0960000000001
22,4,4096,47874048,1,428,0,25.9280000000047
22,3,0,38551552,0,335,0,11.836000000003
22,2,0,46002176,0,392,0,16.8039999999956
22,5,0,83386368,0,719,0,50.8200000000053
22,1,4096,54984704,1,482,0,24.2120000000003
22,6,0,49438720,0,423,0,20.4520000000007
22,7,0,88145920,0,736,0,57.4639999999991
23,4,0,47271936,0,413,0,16.2279999999955
23,3,0,38248448,0,325,0,10.5879999999961
23,2,4096,60776448,1,509,0,21.2479999999996
23,5,0,59142144,0,505,0,28.3639999999941
23,1,4096,81899520,1,685,0,52.7560000000012
23,6,12288,59506688,3,506,0,25.6999999999971
23,7,16384,48566272,4,424,0,20.5040000000008
24,4,4096,47214592,1,402,0,16.9360000000015
24,3,0,38256640,0,329,0,10.9000000000015
24,2,0,45850624,0,389,0,14.9160000000047
24,5,8192,59232256,2,510,0,29.9440000000031
24,1,0,17735680,0,160,0,3.28800000000047
24,6,12288,39497728,3,352,0,14.4440000000031
24,7,0,21622784,0,200,0,4.63600000000343
25,4,8192,47173632,2,400,0,18.4000000000015
25,3,0,38227968,0,327,0,12.5840000000026
25,2,0,45830144,0,387,0,17.2039999999979
25,5,8192,58933248,2,498,0,25.8919999999998
25,1,12288,51380224,3,432,0,21.1960000000036
25,6,4096,49336320,1,417,0.004,17.903999999995
25,7,0,48414720,0,410,0,20.3159999999989
