moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,1,0,212713472,0,31,0,0.0200000000014455
1,5,0,287772672,0,36,0,0.0240000000012515
1,6,0,256512000,0,86,0,0.0279999999986131
1,4,0,207892480,0,30,0,0.0200000000004366
1,3,0,20480,0,2,0,0
1,2,0,227172352,0,31,0,0.0200000000004366
1,7,0,187043840,0,30,0,0.0200000000004366
2,1,0,245760,0,30,0,0
2,5,0,0,0,0,0,0
2,6,0,196608,0,6,0,0.0120000000006257
2,4,0,212992,0,25,0,0.00400000000081491
2,3,0,40960,0,2,0,0.00400000000081491
2,2,0,46436352,0,393,0,18.3959999999988
2,7,0,20480,0,2,0,0
3,1,0,16384,0,2,0,0
3,6,0,117088256,0,970,0,90.3840000000007
3,5,0,32768,0,4,0,0.019999999999996
3,7,0,200704,0,5,0,0.0119999999988067
3,4,0,118669312,0,913,0,96.2559999999994
3,3,0,262144,0,9,0,0.0120000000006257
3,2,0,180224,0,5,0,0.00800000000162981
4,1,4096,209309696,1,1660,0,146.903999999999
4,6,0,130748416,0,1103,0,56.4119999999995
4,5,0,68636672,0,547,0,36.6359999999987
4,7,0,68481024,0,527,0,28.3919999999998
4,3,0,68734976,0,567,0,30.6919999999991
4,4,0,202768384,0,1108,0,80.4120000000003
4,2,0,68542464,0,531,0,21.3999999999996
5,5,16384,1011712,4,12,0,0.00800000000162981
5,1,20480,73707520,5,674,0.004,52.4480000000001
5,7,16384,1376256,4,47,0,0.0239999999998162
5,4,4096,1019904,1,12,0,0.0120000000006257
5,3,4096,2478080,1,24,0,0.0560000000004948
5,2,0,1081344,0,24,0,0.091999999999814
5,6,4096,909312,1,10,0,0.0120000000006257
6,5,4096,4190208,1,42,0,0.119999999998981
6,3,0,4321280,0,54,0,0.235999999999166
6,2,0,4194304,0,41,0,0.123999999999796
6,7,0,4177920,0,39,0,0.152000000001038
6,1,0,6352896,0,57,0,0.260000000000218
6,6,0,4173824,0,37,0,0.127999999998977
6,4,0,4247552,0,47,0,0.399999999998528
7,5,12288,1236992,3,52,0,0.00799999999981083
7,3,8192,942080,2,12,0,0.0120000000006257
7,2,12288,925696,3,12,0,0.0120000000006257
7,1,0,1343488,0,15,0,0.0200000000004366
7,6,8192,958464,2,13,0,0.0280000000002474
7,7,16384,1028096,4,24,0.004,0.0960000000002594
7,4,0,925696,0,12,0,0.0120000000006257
8,5,4096,999424,1,11,0,0.0400000000008731
8,3,20480,180547584,5,1383,0,153.879999999999
8,2,4096,954368,1,11,0,0.00799999999981083
8,1,53248,1347584,13,13,0.012,0.0239999999994325
8,6,8192,995328,2,13,0.004,0.00799999999981083
8,7,16384,1003520,4,11,0,0.0119999999988067
8,4,8192,913408,2,9,0,0.0120000000006257
9,5,16384,1024000,4,13,0,0.00799999999981083
9,3,16384,179888128,4,1518,0,162.300000000002
9,6,0,1110016,0,19,0,0.00799999999981083
9,1,12288,1400832,3,14,0,0.0240000000012515
9,2,4096,933888,1,9,0,0.00799999999981083
9,4,0,23244800,0,184,0,5.21199999999953
9,7,24576,179765248,6,1513,0,165.42
10,5,12288,179945472,3,1516,0.288,162.432
10,1,4096,1527808,1,23,0,0.124000000000052
10,3,4096,69533696,1,564,0,42.3319999999989
10,6,12288,69402624,3,574,0.1,36.6560000000002
10,2,4096,208994304,1,1781,0,163.648
10,4,0,180264960,0,1557,0,171.912
10,7,8192,69193728,2,536,0,38.9880000000013
11,3,4096,21499904,1,223,0,5.16799999999967
11,5,12288,81629184,3,648,0,53.2720000000008
11,1,12288,108314624,3,872,0,77.0919999999987
11,6,4096,7647232,1,98,0,0.520000000000437
11,2,0,81633280,0,653,0,52.623999999999
11,4,16384,79650816,4,634,0,54.8400000000001
11,7,16384,12042240,4,129,0,1.84799999999996
