moment,node,buffer_cache,free,map,used
1,2,11473904,93362268,60088,2647240
1,5,11730272,93050528,60492,2702612
1,3,11364728,93410416,60068,2708268
1,6,11873112,92894732,60220,2715568
1,1,11271304,93509668,60160,2702440
1,4,11341528,93448668,60080,2693216
1,7,11780376,92959356,60192,2743680
2,2,11648428,92949768,72548,2885216
2,5,11730348,93043004,60200,2710060
2,3,11364740,93411212,60068,2707460
2,6,12047864,92713140,60220,2722408
2,1,11313968,93479140,60160,2690304
2,4,11473596,93338300,60188,2671516
2,7,11780380,92959828,60036,2743204
3,2,11648676,92303624,72616,3531112
3,5,11905124,91904372,72980,3673916
3,3,11539380,92707392,72688,3236640
3,6,12223116,92014968,72800,3245328
3,1,11488888,92780916,72772,3213608
3,4,11648288,92622236,72804,3212888
3,7,11954956,92363960,72604,3164496
4,2,11781844,91166476,77172,4535092
4,5,12105024,90406652,79764,4971736
4,3,11672516,91660720,77208,4150176
4,6,12356256,90945732,77388,4181424
4,1,11622016,91644540,77320,4216856
4,4,11781408,91600540,77356,4101464
4,7,12088148,91157992,77172,4237272
5,2,11800840,89818764,77172,5863808
5,5,12105864,88655412,79764,6722136
5,3,11672540,90415160,77208,5395712
5,6,12356320,89594912,77388,5532180
5,4,11784856,90307228,77356,5391328
5,1,11622032,90180232,77320,5681148
5,7,12088160,89969596,77172,5425656
6,2,12027852,84911900,77396,10543660
6,5,12291632,84568712,79764,10623068
6,3,11863040,85533584,77208,10086788
6,6,12601520,84266368,77388,10615524
6,1,11823052,85338904,77320,10321456
6,4,11981484,86172676,77356,9329252
6,7,12218820,85897448,77172,9367144
7,2,12183040,81446724,81052,13853648
7,5,12417200,79924944,84368,15141268
7,6,12751184,80693484,81380,14038744
7,3,12014024,82093392,80460,13375996
7,4,12085000,82712632,81320,12685780
7,1,11970404,81933068,81280,13579940
7,7,12317308,83655916,80832,11510188
8,2,12230256,81392316,81052,13860840
8,5,12455164,79042220,84368,15986028
8,6,12795556,79607344,81380,15080512
8,1,12000596,81893132,81276,13589684
8,3,12057820,81484424,81012,13941168
8,4,12130260,82436360,81220,12916792
8,7,12347620,83569616,81024,11566176
