moment,node,buffer_cache,free,map,used
1,2,11173120,93917924,60068,2392368
1,3,11101612,93917108,60004,2464692
1,5,11650308,93334040,59864,2499064
1,4,11188072,93820468,59676,2474872
1,1,11027404,94038280,59788,2417728
1,6,11708080,93284660,60132,2490672
1,7,11500032,93548616,59980,2434764
2,2,11479732,93477788,72244,2525892
2,3,11144868,93873252,60004,2465292
2,5,11650396,93336288,60160,2496728
2,4,11231336,93789392,60112,2462684
2,1,11027428,94038240,60152,2417744
2,6,11708096,93285164,60132,2490152
2,7,11632228,93426680,59996,2424504
3,2,11479924,92889340,72668,3114148
3,3,11319472,93515800,72660,2648140
3,5,11824868,92974068,72744,2684476
3,4,11405644,93539464,73096,2538304
3,1,11201996,93672492,72636,2608924
3,6,11882616,92929300,72568,2671496
3,7,11806680,93081744,72448,2594988
4,2,11679840,90741228,79532,5062344
4,3,11452640,92104256,77152,3926516
4,4,11539096,92098472,77300,3845844
4,5,11958160,91551072,77308,3974180
4,1,11335180,92313488,77256,3834744
4,6,12015840,91579564,77272,3888008
4,7,11940064,91657648,77144,3885700
5,2,11725328,88953224,79540,6804860
5,4,11582972,90890976,77324,5009464
5,3,11510924,90757576,77152,5214912
5,5,12016644,90136220,77332,5330548
5,1,11378884,91030056,77300,5074472
5,6,12059748,90241072,77304,5182592
5,7,11976188,90516072,77176,4991152
6,2,11807684,83450648,82860,12225080
6,4,11648600,86628844,79980,9205968
6,3,11593100,86480812,79904,9409500
6,5,12113404,84580500,79324,10789508
6,1,11487316,85410128,79956,10585968
6,6,12143952,85399832,79296,9939628
6,7,12074016,84874084,79168,10535312
7,2,11867364,83268388,84204,12347660
7,3,11631580,86434784,80880,9417048
7,4,11706416,85769388,81172,10007608
7,5,12171208,84459100,81352,10853104
7,1,11538596,85191624,81140,10753192
7,6,12196932,84816344,81200,10470136
7,7,12125808,84721056,81172,10636548
8,2,11913656,83038256,84204,12531500
8,4,11756292,85389472,81344,10337648
8,3,11674556,86018608,80892,9790248
8,5,12239124,84247580,81144,10996708
8,1,11590484,83926000,81140,11966928
8,6,12254824,84743528,81200,10485060
8,7,12179596,84587132,81172,10716684
9,2,11958720,82893944,84204,12630748
9,4,11800916,85247376,81344,10435120
9,5,12295724,82161392,81144,13026296
9,3,11711168,84357660,80880,11414584
9,1,11639768,83860740,81140,11982904
9,6,12301284,84440240,81200,10741888
9,7,12227556,84540616,81172,10715240
10,3,11747812,84326868,80880,11408732
10,2,12003156,82632040,84216,12848216
10,4,11845864,85130240,81344,10507308
10,5,12351088,81525212,81144,13607112
10,1,11687836,82794084,81140,13001492
10,6,12347412,83314892,81200,11821108
10,7,12274896,84481948,81172,10726568
11,3,11800576,84268104,80880,11414732
11,2,12071044,81934600,84204,13477768
11,4,11914668,84957264,81172,10611480
11,5,12431968,81434352,81208,13617092
11,1,11764364,82255648,81140,13463400
11,6,12414372,83239020,81656,11830020
11,7,12338424,82932468,81172,12212520
12,4,11962540,84219300,81344,11301572
12,3,11837212,84199212,80880,11446988
12,2,12119628,80846456,84204,14517328
12,5,12497840,81324824,81144,13660748
12,1,11819180,82144216,81140,13520016
12,6,12466608,82778236,81200,12238568
12,7,12397656,81869308,81172,13216448
13,4,12007752,83400632,81344,12075028
13,3,11873076,84015256,80880,11595080
13,2,12164420,79883944,84204,15435048
13,5,12554076,81166628,81208,13762708
13,1,11868596,82074408,81140,13540408
13,6,12514388,81866460,81864,13102564
13,7,12446324,81698452,81172,13338636
14,3,11909856,83981800,80880,11591756
14,4,12052872,82430456,81344,13000084
14,2,12209816,79815544,84204,15458052
14,5,12610756,81103396,81144,13769260
14,1,11918232,82006712,81140,13558468
14,6,12560832,81765800,81200,13156780
14,7,12494512,81619492,81172,13369408
15,4,12116280,82271656,81148,13095476
15,3,11964592,83910692,80880,11608128
15,2,12275572,79691820,84204,15516020
15,5,12689460,81026548,81432,13767404
15,1,11984332,81834148,81140,13664932
15,6,12628976,81682572,81368,13171864
15,7,12564584,81529588,81172,13389240
16,4,12119844,82264344,81344,13099224
16,3,12001736,83872120,80880,11609556
16,2,12321168,79593788,84204,15568456
16,5,12617616,80127700,81144,14738096
16,6,12546068,81757100,81192,13180244
16,1,12033492,80957812,81132,14492108
16,7,12569276,81529840,81172,13384296
17,4,12164932,82138164,81344,13180316
17,3,12040556,82899856,80880,12543000
17,2,12366080,79574768,84204,15542564
17,5,12673608,79659960,81144,15149844
17,6,12592900,81098944,81380,13791568
17,1,12083084,80890436,81132,14509892
17,7,12617052,81464200,81172,13402160
18,4,12190172,82113856,81340,13179384
18,3,12055652,81955936,80880,13471824
18,2,12391280,79476192,84204,15615940
18,5,12705376,79616188,81144,15161848
18,6,12617516,80635316,81192,14230580
18,1,12114196,80870468,81132,14498748
18,7,12644276,80692308,81172,14146828
19,4,12255500,82010584,81344,13217328
19,3,12112592,81455032,80880,13915788
19,2,12456824,79410544,84204,15616044
19,5,12788028,79539444,81144,15155940
19,1,12181208,80475784,81132,14826420
19,6,12687756,80555324,81192,14240332
19,7,12714348,80286424,81172,14482640
20,4,12300444,81954456,81344,13228512
20,3,12148568,81434688,80880,13900156
20,2,12502260,79114524,84204,15866628
20,5,12843724,79407872,81144,15231816
20,1,12230056,80139984,81132,15113372
20,6,12735064,80502940,81192,14245408
20,7,12762380,80228352,81172,14492680
21,4,12344380,81314820,81344,13824212
21,3,12185260,81383812,80892,13914340
21,2,12547156,78397968,84204,16538288
21,5,12899216,79327264,81208,15256932
21,1,12278588,80041828,81132,15162996
21,6,12781508,80426796,81192,14275108
21,7,12809776,80172868,81172,14500768
22,4,12389576,80904668,81344,14189168
22,3,12221304,81347768,80880,13914340
22,2,12593252,78152288,84204,16737872
22,5,12956056,79275472,81144,15251884
22,1,12327940,79998164,81132,15157308
22,6,12828776,79462576,81192,15192060
22,7,12858228,80105432,81172,14519752
23,4,12459004,79924896,81344,15099512
23,3,12275276,81268124,80880,13940012
23,2,12660712,77135964,83540,17686736
23,5,13046468,79177872,81144,15259072
23,1,12410640,79923292,81132,15149480
23,6,12901108,79215904,81176,15366400
23,7,12935384,80021584,81172,14526444
24,4,12506472,79843784,81344,15133156
24,3,12309804,81185376,80880,13988232
24,2,12708036,75821568,84204,18953808
24,5,13104388,79082812,81144,15296212
24,1,12459468,79816224,81132,15207720
24,6,12947660,79188708,81192,15347044
24,7,12982132,79349852,81172,15151428
25,4,12561300,79738060,81344,15184052
25,3,12364660,81118784,80880,13999968
25,2,12771832,75142752,84204,19568828
25,5,13156100,78946140,81192,15381172
25,1,12512316,79655152,81132,15315944
25,6,13002440,79073228,81192,15407744
25,7,13023240,79235324,81172,15224848
