moment,node,buffer_cache,free,map,used
1,1,8094364,97187668,59820,2201380
1,5,7937784,97212284,60172,2333344
1,6,7979572,97233972,59848,2269868
1,4,8159976,97039380,60040,2284056
1,3,8184600,97035108,59624,2263704
1,2,8160264,97112096,59900,2211052
1,7,7893416,97344140,59904,2245856
2,1,8094372,97189900,59824,2199140
2,5,7937804,97216796,60172,2328812
2,6,8154192,96815952,72612,2513268
2,4,8291764,96925308,60040,2266340
2,3,8359648,96854620,60040,2269144
2,2,8203536,97075032,59900,2204844
2,7,7893500,97344420,59904,2245492
3,1,8269116,96257960,72624,2956336
3,6,8154436,96124184,72708,3204792
3,5,8112444,96452560,72892,2918408
3,7,8068152,96598484,72476,2816776
3,4,8466748,96178340,72712,2838324
3,3,8534616,96067196,72564,2881600
3,2,8378180,96327352,72480,2777880
4,1,8468912,94519220,79480,4495280
4,6,8287568,95037452,77212,4158392
4,5,8245568,95388212,77432,3849632
4,7,8201272,95602968,77036,3679172
4,3,8667736,95082844,77084,3732832
4,4,8599940,94990716,77252,3892756
4,2,8511868,95171116,77020,3800428
5,5,8262752,93157772,77432,6062888
5,1,8484752,92114868,79480,6883792
5,7,8212384,93005472,77036,6265556
5,4,8618084,92637236,77252,6228092
5,3,8688140,92362620,77084,6432652
5,2,8531484,92616488,77020,6335440
5,6,8301260,92399468,77212,6782684
6,5,8305676,90978200,81572,8199536
6,3,8725492,88443320,80680,10314600
6,2,8572052,89989736,80856,8921624
6,7,8241820,90593556,80964,8648036
6,1,8522620,89366740,84100,9594052
6,6,8346996,88624204,81228,10512212
6,4,8653500,90608372,80996,8221540
7,5,8365460,88989192,81572,10128760
7,3,8770240,88260220,80680,10452952
7,2,8622568,88926588,80856,9934256
7,1,8570276,86583568,84100,12329568
7,6,8406128,87671652,81228,11405632
7,7,8277948,90276656,80968,8928808
7,4,8696516,88639128,80996,10147768
8,5,8432672,87705744,81588,11344996
8,3,8821024,88082348,80680,10580040
8,2,8682148,88752900,80860,10048364
8,1,8626476,86283224,84100,12573712
8,6,8471444,87299584,81228,11712384
8,7,8321652,89324244,80964,9837516
8,4,8746336,88502364,80996,10234712
9,5,8496592,87271076,81568,11715744
9,3,8863756,85265500,80680,13354156
9,6,8529780,84142308,81228,14811324
9,1,8672128,85758664,84100,13052620
9,2,8735160,86673856,80856,12074396
9,4,8788596,88404096,80996,10290720
9,7,8359536,87965912,80964,11157964
10,5,8553976,86068052,81576,12861384
10,1,8719040,83210064,84100,15554308
10,3,8907232,85213632,80684,13362548
10,6,8587452,83886456,81228,15009504
10,2,8786844,86223784,80856,12472784
10,4,8832988,86561480,80996,12088944
10,7,8396248,87892052,80964,11195112
11,3,8950412,85075980,80680,13457020
11,5,8614120,84730372,81576,14138920
11,1,8768760,82210832,84100,16503820
11,6,8647136,83795912,81228,15040364
11,2,8837972,85998084,80856,12647356
11,4,8877476,85508020,80996,13097916
11,7,8433396,87807356,80964,11242660
