moment,node,recv_packets,send_bytes,send_packets
1,2,59,29184,62
1,5,77,29069,76
1,3,63,27783,64
1,6,36,11812,42
1,1,58,27828,61
1,4,58,14968,59
1,7,57,36553,59
2,2,4978,196818,2911
2,5,53,138097,62
2,3,16,5980,23
2,6,6233,462539,6261
2,1,3706,88858184,3381
2,4,12286,336547323,11428
2,7,16,5198,23
3,2,283,156475,318
3,5,5105,410210,3049
3,3,4927,192110,2830
3,6,8524,542049034,10880
3,1,6537,177758162,5688
3,4,1306,74113,806
3,7,5699,191674,2831
4,2,19741,1188944,10685
4,5,27034,1160546,14175
4,3,19965,847304,10647
4,6,16414,754411,9367
4,1,17981,839896,9772
4,4,16137,684621,8418
4,7,15210,620756,7777
5,2,22441,1664766,10339
5,5,28672,1135630,12740
5,3,23458,984270,10827
5,6,22703,986110,10863
5,4,21140,960775,10231
5,1,22369,1034011,11134
5,7,24151,872128,9997
6,2,23995,212957662,23998
6,5,16623,164789682,19065
6,3,18186,165693381,20050
6,6,21845,213789118,21137
6,1,19704,174183016,21024
6,4,19660,182508188,19009
6,7,14703,120283436,16331
7,2,12688,121319308,13634
7,5,11716,95675177,13762
7,6,11633,117606760,13171
7,3,11939,119480314,13138
7,4,10869,79026955,12914
7,1,10916,119315499,12234
7,7,10307,78459307,11707
8,2,6719,38433966,7133
8,5,5806,31488228,6522
8,6,6027,35334291,6809
8,1,4871,30629745,5266
8,3,6201,35916667,6629
8,4,6115,35915004,6670
8,7,5017,27468840,5358
9,2,7732,38990918,7953
9,5,6026,35212688,6738
9,6,5922,36716909,6419
9,1,7023,37492381,7568
9,3,7215,36297006,7792
9,4,5977,38118371,6554
9,7,5849,31309361,6165
10,2,6491,42172849,6847
10,5,5686,34788868,6508
10,6,6714,38906652,7749
10,1,5261,30270127,5532
10,3,5794,40340755,6355
10,4,6047,40650298,6479
10,7,5028,28886596,5285
11,2,6660,36849336,6805
11,5,5522,31969816,6206
11,6,5966,31932019,6445
11,3,6041,33516788,6384
11,1,5805,38402143,5968
11,4,6462,31467144,7304
11,7,5117,29667260,5326
12,2,5672,42646525,5846
12,5,5185,33692977,5832
12,6,5132,40193538,5511
12,3,5172,40044173,5632
12,1,5214,26260896,5764
12,4,5226,39946034,5642
12,7,4856,27353433,5183
13,2,5907,31456505,6054
13,5,5215,28138333,5778
13,6,5188,27350926,5745
13,3,5383,28925958,5834
13,1,4841,36240449,4853
13,4,5189,28916608,5765
13,7,4556,26830791,4767
14,2,5571,42376721,5678
14,6,4935,40026184,5316
14,5,4971,33563959,5767
14,1,5103,26012797,5542
14,3,5018,39696317,5295
14,4,4988,39700008,5463
14,7,4669,27112539,4920
15,2,8478,59811518,8457
15,5,8271,48853543,9497
15,6,7672,53740266,8362
15,1,7031,53896477,7214
15,3,7979,55467976,8398
15,4,7810,55498033,8571
15,7,7051,44548512,7614
16,2,5493,36053847,5721
16,5,5093,30817367,5673
16,1,5431,32384707,5946
16,6,4987,32620818,5235
16,3,5083,33661470,5325
16,4,4923,33725062,5343
16,7,4668,27762859,4948
17,2,7053,43628127,7581
17,5,5630,37364483,6162
17,1,5175,34031235,5435
17,6,6151,41685559,6867
17,4,5737,43416792,6290
17,3,6263,42008847,6799
17,7,4988,31745079,5354
18,2,6179,38348014,6406
18,5,5387,33560721,5856
18,6,5549,33067783,6052
18,1,5314,39598033,5493
18,3,5866,34513190,6271
18,4,6205,33078782,7003
18,7,4817,30350378,5039
19,2,5387,42689178,5489
19,6,4831,40359956,5188
19,5,4980,33749864,5624
19,1,4882,26155597,5481
19,3,5000,39785199,5299
19,4,4933,39949835,5406
19,7,4708,27277343,5070
20,2,5559,31431626,5647
20,5,4727,28127221,5334
20,6,4833,27069918,5257
20,1,4499,36236868,4504
20,3,4972,28856915,5267
20,4,4935,28953944,5563
20,7,4128,26977466,4369
21,2,7987,56960079,8227
21,5,8051,50029317,9282
21,6,7393,58406821,7897
21,1,7809,47816542,8399
21,4,7588,58182744,8355
21,3,7626,58827156,8193
21,7,7358,43907534,7740
22,2,6201,45472614,6395
22,5,5213,32340344,5819
22,6,5097,35562532,5554
22,1,4409,32325530,4514
22,4,5318,37140253,5926
22,3,5222,36621143,5735
22,7,4231,27885840,4474
23,2,5906,37741743,6044
23,5,4984,32768120,5579
23,6,4853,34436461,5145
23,1,5648,34411521,6201
23,3,5473,34783437,5896
23,4,4969,35801642,5492
23,7,4726,29156897,4918
24,2,6871,44089294,7100
24,5,5468,37243003,6090
24,6,6268,41055119,6903
24,1,5030,33213761,5158
24,4,5741,42880499,6122
24,3,5794,42455449,6322
24,7,5426,30993275,5691
25,2,6160,36779360,6253
25,5,5218,32089317,5853
25,1,5409,38503693,5653
25,6,5195,32073074,5522
25,4,6104,31668837,6888
25,3,5795,33151106,6046
25,7,4531,29933859,4823
26,2,5509,42441600,5570
26,5,4954,33414831,5575
26,1,4959,26086859,5499
26,6,4754,40010880,5116
26,4,4883,39685401,5343
26,3,4809,39660694,5305
26,7,4649,26923792,4964
27,2,5273,31378294,5333
27,5,4560,28103589,5209
27,6,4628,27098920,5123
27,1,4277,36126597,4344
27,4,4737,29006782,5275
27,3,4792,28959985,5190
27,7,3990,27018704,4232
28,2,8036,63920322,8220
28,5,8357,50945611,9367
28,6,7236,58720083,7832
28,1,7837,49344086,8336
28,4,7369,59416462,8135
28,3,7427,59520539,7857
28,7,7174,44397689,7568
29,2,5792,38542603,6036
29,5,5294,31461268,5989
29,6,5189,35313442,5638
29,1,4419,30768734,4537
29,4,5286,35879566,5926
29,3,5305,35803725,5663
