moment,node,recv_packets,send_bytes,send_packets
1,2,57,28402,58
1,4,55,27515,57
1,5,57,30281,59
1,3,63,17595,64
1,7,843,50486844,1049
1,1,36,11687,40
1,6,61,30556,61
2,2,4017,374871,5237
2,4,13,5346,20
2,5,1665,256596,1737
2,3,11788,271209871,10108
2,7,35,53390,45
2,1,4920,219517,2974
2,6,3692,88861137,3425
3,2,7673,406585115,8853
3,3,3476,135733751,3506
3,4,4908,199962,2933
3,5,5197,88892482,4025
3,7,5622,452907,2913
3,1,227,100491,266
3,6,5116,88978822,4072
4,4,14297,754642,8194
4,2,15783,804032,8695
4,3,11735,596996,6855
4,5,12323,701013,7546
4,7,14393,598785,6697
4,1,14654,736166,8375
4,6,14281,898809,8222
5,4,19879,50502638,14281
5,3,24396,66701430,16757
5,2,21606,53665184,14616
5,5,25518,66752378,17194
5,1,21080,49928681,14895
5,7,22716,36492598,13374
5,6,21559,48399913,15615
6,4,13562,132443815,16087
6,3,16416,155771399,18960
6,5,16180,158499511,18248
6,2,15448,143619739,18069
6,1,11337,127157504,13598
6,7,12013,103105289,14443
6,6,14323,128246532,17518
7,4,9109,43954870,9754
7,3,10068,52614984,10465
7,2,10032,52927767,10864
7,5,8239,57798106,8598
7,1,6979,36302364,7816
7,6,7838,48943604,8668
7,7,8796,36571087,9285
8,3,9969,58098410,10302
8,5,8840,46243103,9556
8,4,8405,52834464,8882
8,2,9876,58067068,10846
8,1,6957,45118859,7848
8,7,8576,50123968,9091
8,6,9592,48990303,10888
9,3,8891,47249167,9399
9,5,7210,37748464,7581
9,4,7582,44963075,8210
9,2,9070,47345666,9871
9,1,6060,40165973,6524
9,7,7345,42784032,7603
9,6,6928,43071187,7605
10,3,9053,55749391,9309
10,1,7148,37533488,7961
10,4,8116,47427249,8792
10,5,7661,46937280,7930
10,2,8771,55654959,9308
10,6,9008,44908440,10026
10,7,8466,44677564,8711
11,3,8987,40037565,9177
11,1,5475,27774857,5786
11,4,7456,34420503,7753
11,6,6950,36089286,7558
11,5,7271,35926653,7638
11,2,8813,40247452,9406
11,7,7151,32823546,7311
12,3,8636,54465661,9110
12,1,6545,44772693,7177
12,6,8684,49351053,9731
12,5,8019,45537551,8636
12,4,7625,52854831,8032
12,2,8952,57655794,9676
12,7,8140,50061555,8494
13,3,8100,49493134,8451
13,1,5421,38536995,5941
13,5,5872,38245881,6221
13,6,6437,41137115,7255
13,4,6863,43146836,7368
13,2,8103,45875572,8808
13,7,6729,41196241,7213
14,3,6055,30902801,6154
14,1,4182,17238260,4575
14,5,5361,27912700,5600
14,6,5220,26042381,5686
14,4,5185,24139331,5450
14,2,5811,31264792,6156
14,7,5424,22849347,5533
15,3,10056,62429170,10551
15,1,6700,47910729,7019
15,5,8425,51600598,8859
15,6,9108,52959630,9961
15,4,8254,56779926,8708
15,2,10397,61872949,11241
15,7,8596,53467118,8954
16,3,6779,42607302,7106
16,1,5130,37013025,5370
16,5,5918,32247768,6523
16,6,5685,38527084,6336
16,2,6278,43219535,6732
16,4,5881,40804887,6398
16,7,5609,39128063,5987
17,3,9866,63214115,9958
17,1,7158,44950602,7813
17,6,9191,52530960,10355
17,5,8225,52442167,8441
17,2,10404,60959495,11263
17,4,8882,54534903,9349
17,7,8683,52457480,8942
18,3,6954,32997056,7176
18,1,4670,20491713,5036
18,6,5627,28981433,6070
18,5,5847,30538378,6065
18,2,6098,35283187,6252
18,4,5747,27516664,6019
18,7,5696,25257250,5810
19,3,8612,58481816,8765
19,1,6281,45402699,6624
19,6,8301,49470815,9488
19,5,7574,46554316,8153
19,4,7412,53348879,7929
19,2,8802,58104100,9376
19,7,7575,50363896,8066
20,3,7958,46595004,8389
20,1,5371,39628221,5944
20,6,6254,42717861,6779
20,5,6501,37332980,6844
20,4,6965,44418156,7526
20,2,7783,46914686,8287
20,7,6679,42373705,7223
21,3,8945,57467298,9293
21,1,6942,39624807,7460
21,6,8414,46918179,9365
21,5,7281,48224981,7510
21,2,8555,57154596,9155
21,4,7809,49649193,8279
21,7,7646,46948892,8334
22,3,7575,38577737,7864
22,1,5057,25824669,5340
22,5,6504,34634399,6861
22,6,6027,34401626,6363
22,2,7461,38935102,8018
22,4,6652,32364912,7050
22,7,6326,30686775,6523
23,3,8296,58086523,8724
23,5,7614,46223015,8131
23,1,6066,45112248,6608
23,6,8303,49249023,9326
23,2,8338,58129002,9012
23,7,7205,50053383,7538
23,4,7345,52819990,7723
24,3,8428,47176252,8876
24,5,6845,37761830,7279
24,1,5630,39963516,6003
24,6,6673,43143444,7344
24,2,8473,47172398,9058
24,7,6949,42832495,7199
24,4,7103,44904901,7783
25,3,8265,55605587,8437
25,1,6365,37468187,7004
25,5,6839,46813549,7005
25,6,8112,45012400,9000
25,2,8033,55808543,8378
25,7,7508,44595875,8136
25,4,7694,47357171,8019
26,3,7986,40388811,8276
26,1,5030,27876909,5242
26,5,6695,36100519,7095
26,6,6572,36433142,6926
26,2,7847,40285748,8581
26,7,6491,33054769,6745
26,4,6577,34585068,6966
27,3,5669,38318236,6068
27,1,3894,35048445,4108
27,5,4989,28402602,5448
27,6,5082,35200402,5753
27,2,5638,38376928,6199
27,7,4662,36037646,5049
27,4,4784,37993166,5049
28,3,10194,65586089,10432
28,1,7327,47848260,7816
28,5,8487,54428871,8702
28,6,9205,55178535,10261
28,2,10305,64857762,11122
28,7,8896,55034192,9576
28,4,9099,58143697,9775
29,3,6099,30295385,6147
29,1,4049,17423174,4544
29,5,4974,28475425,5265
29,6,4946,25894830,5473
29,2,5492,31013116,5672
29,7,4804,22492435,5093
29,4,4768,23644319,5050
30,3,8634,58931375,8988
30,5,7673,47134348,8173
30,1,6196,45526885,6599
30,6,8394,50020866,9650
30,2,8678,58815138,9716
30,7,7493,51026427,8079
30,4,7422,53959375,7894
31,3,8095,46302323,8323
31,1,5446,39538611,5848
31,5,6407,36694031,6894
31,6,6079,42401254,6615
31,2,7458,46386215,7957
31,7,6474,41820250,7087
31,4,6691,43703989,7248
32,3,8783,56609588,8786
32,1,6906,38743747,7629
32,5,7399,47724470,7881
32,6,8768,46390355,9611
32,2,8711,56735087,9195
32,7,7756,45903406,8446
32,4,7828,48722838,8370
33,3,7840,39368971,8137
33,1,4883,26636694,5219
33,5,6408,35286823,6705
33,6,5963,35196142,6450
33,2,7524,39469011,8017
33,7,6278,31666277,6540
33,4,6182,33254273,6577
34,3,5923,38363565,6200
34,1,4139,35279802,4269
34,5,5013,28454905,5436
34,6,5354,36238332,5965
34,2,5793,38405744,6382
34,7,4841,36262209,5181
34,4,4972,38131991,5346
35,1,25309,50193262,17486
35,3,27393,79411995,20361
35,5,29039,64687605,21105
35,6,33687,80944337,25825
35,2,26636,80700547,20332
35,7,35996,58082915,21960
35,4,25293,60241607,18979
36,1,13637,143846838,15274
36,3,14131,161298602,14366
36,5,14070,155980547,14706
36,6,13002,153996380,14433
36,2,14884,157640220,16573
36,7,13653,166714266,14371
36,4,13899,176566989,14990
