moment,node,recv_packets,send_bytes,send_packets
1,2,23,5526,28
1,3,57,27707,59
1,5,57,14990,59
1,4,62,26709,66
1,1,36,17113,41
1,6,54,26119,55
1,7,80,44122,82
2,2,6002,384417,5387
2,3,1530,123191,1693
2,5,595,34390942,741
2,4,3757,88860136,3427
2,1,34,20380,37
2,6,34,6979,39
2,7,12000,135998645,8171
3,2,4521,271104710,5703
3,3,5128,88878963,3992
3,5,4967,253003,2880
3,4,5110,88867782,3783
3,1,4865,196686,2872
3,6,4978,202208,2919
3,7,7768,406866375,8876
4,2,3223,424205,2420
4,3,3994,266479,2396
4,4,4619,281585,2698
4,5,3727,461981,2438
4,1,2944,224337,2030
4,6,2182,229086,1717
4,7,3191,311636,2181
5,2,24397,25181358,15224
5,4,19063,26891020,11961
5,3,22832,35822604,14305
5,5,18974,35219079,12153
5,1,19379,27104376,12616
5,6,15675,26765767,10383
5,7,23524,22809573,12710
6,2,13021,78669265,14820
6,4,11727,68265197,13511
6,3,12071,80005523,13734
6,5,14674,86429531,16462
6,1,14789,93110518,16370
6,6,13169,77191658,14872
6,7,14963,84978054,16925
7,2,11775,39750911,13070
7,3,10061,34143998,10756
7,4,11540,41055230,12222
7,5,13870,49409949,14595
7,1,12469,44786154,12706
7,6,11933,42424911,12662
7,7,12693,43835198,12889
8,2,14531,50368939,16349
8,4,13239,52080146,13761
8,3,12477,46091915,13387
8,5,15846,63515976,16717
8,1,15002,54496674,15269
8,6,14230,55929939,14844
8,7,15219,55714507,15354
9,2,11061,43948208,12009
9,4,10698,45359873,11326
9,5,14532,52987974,15004
9,3,9227,38802444,9892
9,1,12805,47521386,13220
9,6,12057,46647871,12656
9,7,12026,48240715,12029
10,3,9003,36055813,9667
10,2,11198,41796581,12297
10,4,10638,42107817,11318
10,5,12102,51683917,12418
10,1,11035,46123086,10985
10,6,10431,44591114,10897
10,7,12122,44964237,12266
11,3,8330,34053584,8959
11,2,10422,39816445,11435
11,4,9504,41058455,10047
11,5,11364,49342074,11886
11,1,10553,44705524,10608
11,6,10233,42361535,10687
11,7,10833,44040766,10780
12,4,13447,61801485,14126
12,3,11185,47554216,12042
12,2,14204,59180252,15731
12,5,16046,74143937,16745
12,1,14355,71446390,14197
12,6,14502,61533858,15258
12,7,14527,65846620,14220
13,4,9579,43424937,10083
13,3,8807,35323919,9609
13,2,9902,42230624,11147
13,5,11930,52583509,12324
13,1,10749,47733054,10769
13,6,10097,44510952,10483
13,7,11772,45181535,11892
14,3,8341,33961780,8833
14,4,9528,41174186,9928
14,2,9788,39897464,10996
14,5,11367,49518140,11840
14,1,10403,44930420,10360
14,6,9885,42455507,10398
14,7,10579,43870920,10599
15,4,9201,40969515,9739
15,3,8117,34070664,8676
15,2,9703,39798655,10933
15,5,11311,49361478,11845
15,1,10257,44674702,10241
15,6,9667,42371874,10038
15,7,10831,44372996,10759
16,4,11630,52116629,12138
16,3,10583,45898852,11182
16,2,12720,50159637,14302
16,5,13782,63322655,14247
16,6,11962,55574237,12360
16,1,12167,54332268,12170
16,7,13391,55663226,13455
17,4,8993,40812989,9369
17,3,7803,33907037,8254
17,2,9164,39559226,10084
17,5,10979,49311622,11511
17,6,9524,42346836,10002
17,1,10020,44621431,10148
17,7,10262,43658198,10468
18,4,6846,29560217,7144
18,3,5561,21996775,5989
18,2,6751,28983320,7303
18,5,8793,34807811,9088
18,6,7269,28664811,7624
18,1,7923,34708162,7792
18,7,7701,31200203,7869
19,4,11722,52107265,12299
19,3,10528,45971795,10942
19,2,12772,50295290,14471
19,5,13352,63487423,13846
19,1,12358,54452121,12239
19,6,12153,55883770,12600
19,7,13321,56217309,13320
20,4,10663,46039962,11320
20,3,8968,40156907,9217
20,2,10664,45470448,11749
20,5,13791,54717934,14189
20,1,12533,48555309,12610
20,6,11625,48509499,12109
20,7,12040,49903114,12237
21,4,9256,41260056,9568
21,3,7980,34494243,8316
21,2,9664,40161988,10834
21,5,11119,49858088,11558
21,1,9986,44924060,9960
21,6,9499,42677354,9905
21,7,10878,43800172,10890
22,4,9049,40908523,9454
22,3,7749,33917391,8190
22,2,9213,39711018,10442
22,5,10738,49288971,11287
22,1,10011,44620713,9928
22,6,9458,42220833,9882
22,7,10406,43965165,10495
23,4,11612,56728571,12099
23,3,10430,44120275,11092
23,2,12803,53636121,14659
23,5,14152,69093104,14525
23,1,12842,64383159,12962
23,6,12196,57292157,12672
23,7,13769,60363173,14016
24,4,10756,44952877,11140
24,3,8577,36988035,9178
24,2,10505,44486406,11612
24,5,13429,53249302,14170
24,1,11077,50347539,10980
24,6,10573,46204858,11177
24,7,11210,48975546,11155
25,4,15501,11065704,9852
25,3,16024,9622327,10543
25,2,21271,14203952,13907
25,5,15200,12553620,9788
25,1,14869,12266953,9506
25,6,16763,10128049,10496
25,7,22741,14876308,12702
