moment,node,recv_packets,send_bytes,send_packets
1,1,86,31211,82
1,5,100,50294,101
1,6,51,12869,56
1,4,63,26820,61
1,3,389,17299725,417
1,2,78,35244,84
1,7,57,26045,57
2,1,15,5604,24
2,5,17,4677,23
2,6,4990,296415,2991
2,4,11442,271388800,10449
2,3,8267,89202037,8260
2,2,1528,111952,1538
2,7,28,6255,38
3,1,4901,199339,2883
3,6,252,303772,294
3,5,4934,199508,2861
3,7,5539,345257,2863
3,4,5518,271071629,6190
3,3,5638,359796106,7244
3,2,5232,89011424,4068
4,1,6945,611948,4377
4,6,5459,507010,3297
4,5,6046,542428,3988
4,7,6309,395234,3379
4,3,5002,399902,3097
4,4,6682,624422,4248
4,2,6367,1226293,4440
5,5,13772,16355967,12704
5,1,13748,14233321,13678
5,7,11685,10849375,10636
5,4,13302,15630434,12473
5,3,15615,18374799,14822
5,2,13646,18697682,12830
5,6,13161,12488926,12801
6,5,35122,36824125,35229
6,3,27696,33073009,28034
6,2,30195,36713101,30884
6,7,24227,26382339,24287
6,1,28433,32304643,30984
6,6,33331,38756006,34806
6,4,24759,27505880,25346
7,5,50582,55192269,50522
7,3,39051,44135326,38517
7,2,41817,49700152,42485
7,1,39821,46252783,43188
7,6,46909,54615927,49135
7,7,34461,37226046,34078
7,4,34194,37282125,34479
8,5,48246,56338077,48916
8,3,39046,42591124,38712
8,2,40402,52614530,40819
8,1,38068,45408072,40676
8,6,46662,54780356,49040
8,7,34015,36773327,33404
8,4,32648,36791746,32762
9,5,49882,60541452,50283
9,3,39295,47314868,38290
9,6,49229,59759164,52606
9,1,43462,49975612,45683
9,2,43114,54906066,43321
9,4,34062,40278284,34545
9,7,35752,40267949,34935
10,5,41771,50270744,41210
10,1,34064,41485774,36205
10,3,32351,38765982,32037
10,6,41565,49335625,44118
10,2,34015,47469732,34054
10,4,27446,33354146,27809
10,7,28513,33386945,28539
11,3,33745,43752172,33452
11,5,44328,54688067,43794
11,1,33954,45817513,36218
11,6,44082,54453243,46461
11,2,36773,50442659,36619
11,4,28946,36968727,29711
11,7,30325,36965265,30520
