moment,node,load5,load10,load15,procs
1,2,5.85,6.23,6.75,516
1,5,5.58,6.9,9.37,516
1,3,5.77,6.15,6.83,516
1,6,5.42,6.15,6.72,501
1,1,5.44,5.81,6.44,515
1,4,6.25,6.35,6.9,514
1,7,10.92,9.36,8.49,516
2,2,5.38,6.12,6.71,556
2,5,5.13,6.78,9.32,517
2,3,5.31,6.05,6.79,516
2,6,4.98,6.05,6.68,501
2,1,5,5.71,6.41,516
2,4,5.75,6.24,6.86,515
2,7,10.04,9.2,8.45,516
3,2,4.95,6.02,6.67,704
3,5,4.72,6.67,9.27,692
3,3,4.88,5.94,6.76,619
3,6,4.59,5.95,6.64,609
3,1,4.6,5.62,6.37,624
3,4,5.29,6.14,6.83,618
3,7,9.24,9.05,8.4,608
4,2,4.63,5.94,6.64,738
4,5,4.58,6.61,9.24,729
4,3,4.81,5.91,6.74,656
4,6,4.3,5.87,6.61,640
4,1,4.31,5.54,6.35,658
4,4,4.94,6.05,6.79,654
4,7,8.5,8.9,8.35,658
5,2,5.06,6,6.66,741
5,5,5.26,6.71,9.26,731
5,3,4.43,5.81,6.71,656
5,6,3.95,5.77,6.58,639
5,4,5.19,6.09,6.8,656
5,1,4.61,5.58,6.35,658
5,7,7.9,8.77,8.31,658
6,2,5.06,5.99,6.65,750
6,5,6.44,6.93,9.31,746
6,3,4.79,5.87,6.72,668
6,6,4.2,5.79,6.58,653
6,1,4.24,5.49,6.32,667
6,4,6.69,6.38,6.89,666
6,7,8.55,8.89,8.36,668
7,2,4.65,5.89,6.62,784
7,5,6,6.84,9.27,797
7,6,4.74,5.88,6.6,686
7,3,5.37,5.97,6.75,702
7,4,6.16,6.28,6.86,700
7,1,4.22,5.46,6.31,701
7,7,8.58,8.89,8.36,702
8,2,4.6,5.86,6.6,784
8,5,5.6,6.74,9.22,797
8,6,5.64,6.05,6.65,686
8,1,4.36,5.47,6.31,701
8,3,4.94,5.87,6.71,702
8,4,6.31,6.31,6.86,700
8,7,7.97,8.76,8.32,702
9,2,4.55,5.82,6.59,784
9,5,5.15,6.63,9.18,797
9,6,5.83,6.08,6.66,686
9,1,4.73,5.53,6.32,701
9,3,4.54,5.77,6.68,702
9,4,6.6,6.37,6.88,700
9,7,7.5,8.65,8.29,702
10,2,4.59,5.81,6.58,784
10,5,4.74,6.52,9.13,797
10,6,5.77,6.06,6.65,686
10,1,4.35,5.44,6.29,701
10,3,4.18,5.68,6.64,702
10,4,6.63,6.38,6.88,700
10,7,6.9,8.5,8.24,702
11,2,4.22,5.71,6.54,784
11,5,4.36,6.41,9.08,797
11,6,5.3,5.96,6.62,686
11,3,4.57,5.73,6.65,702
11,1,4.09,5.37,6.26,701
11,4,6.66,6.39,6.88,700
11,7,6.34,8.36,8.2,702
12,2,3.88,5.62,6.51,784
12,5,4.01,6.3,9.03,796
12,6,4.96,5.88,6.59,685
12,3,5,5.8,6.67,700
12,1,3.76,5.28,6.22,700
12,4,6.53,6.37,6.87,699
12,7,5.91,8.24,8.16,698
13,2,4.45,5.71,6.53,783
13,5,3.69,6.2,8.98,796
13,6,4.56,5.78,6.55,685
13,3,5,5.79,6.66,701
13,1,3.46,5.19,6.19,699
13,4,6.49,6.36,6.87,700
13,7,6,8.22,8.15,698
14,2,4.9,5.78,6.55,782
14,6,4.2,5.68,6.52,685
14,5,5.48,6.52,9.07,796
14,1,3.82,5.24,6.2,699
14,3,4.84,5.74,6.64,701
14,4,6.69,6.4,6.88,700
14,7,6.24,8.23,8.16,698
15,2,5.31,5.85,6.57,762
15,5,6.24,6.67,9.1,794
15,6,4.26,5.67,6.51,684
15,1,4.32,5.31,6.22,698
15,3,4.77,5.71,6.63,700
15,4,7.11,6.5,6.91,699
15,7,6.22,8.19,8.14,698
16,2,5.44,5.87,6.57,759
16,5,6.38,6.69,9.1,790
16,1,4.61,5.36,6.23,695
16,6,4.56,5.71,6.52,681
16,3,4.39,5.62,6.59,697
16,4,7.19,6.52,6.91,696
16,7,6.45,8.21,8.15,694
17,2,5.49,5.87,6.57,759
17,5,6.11,6.63,9.06,791
17,1,4.56,5.34,6.22,695
17,6,4.76,5.73,6.52,681
17,4,7.33,6.56,6.92,696
17,3,4.04,5.52,6.55,697
17,7,6.01,8.09,8.11,694
18,2,5.13,5.79,6.54,759
18,5,5.62,6.52,9.01,791
18,6,4.37,5.64,6.48,681
18,1,4.44,5.3,6.2,695
18,3,4.28,5.55,6.56,697
18,4,7.22,6.55,6.92,696
18,7,5.53,7.95,8.07,694
19,2,4.72,5.69,6.5,759
19,6,4.1,5.56,6.45,681
19,5,5.17,6.41,8.97,791
19,1,4.08,5.21,6.17,695
19,3,4.73,5.62,6.58,697
19,4,6.89,6.5,6.9,696
19,7,5.32,7.87,8.04,694
20,2,4.98,5.73,6.51,759
20,5,5.72,6.5,8.98,791
20,6,3.78,5.47,6.42,681
20,1,3.91,5.16,6.14,695
20,3,5,5.66,6.58,697
20,4,6.98,6.52,6.9,696
20,7,5.7,7.91,8.05,694
21,2,5.38,5.8,6.53,759
21,5,6.46,6.64,9.02,791
21,6,3.71,5.43,6.4,681
21,1,4.4,5.24,6.17,695
21,4,7.3,6.6,6.93,696
21,3,4.84,5.62,6.56,697
21,7,6.04,7.94,8.06,694
22,2,5.43,5.81,6.53,759
22,5,7.06,6.77,9.04,791
22,6,4.14,5.49,6.41,681
22,1,4.61,5.27,6.17,695
22,4,7.35,6.62,6.93,696
22,3,4.69,5.57,6.54,697
22,7,6.04,7.91,8.05,694
23,2,5.56,5.83,6.53,759
23,5,6.5,6.65,8.99,791
23,6,4.29,5.49,6.41,681
23,1,4.96,5.33,6.19,695
23,3,4.31,5.48,6.51,697
23,4,7.65,6.69,6.95,696
23,7,6.04,7.88,8.04,694
24,2,5.27,5.76,6.51,759
24,5,5.98,6.54,8.94,791
24,6,4.5,5.52,6.41,681
24,1,4.56,5.24,6.15,695
24,4,7.59,6.7,6.95,696
24,3,3.97,5.39,6.47,697
24,7,5.55,7.75,8,694
25,2,4.85,5.67,6.47,759
25,5,5.5,6.43,8.9,791
25,1,4.36,5.18,6.13,695
25,6,4.14,5.43,6.38,681
25,4,7.47,6.69,6.95,695
25,3,4.21,5.42,6.48,697
25,7,5.11,7.62,7.95,694
26,2,4.46,5.57,6.44,759
26,5,5.06,6.33,8.85,791
26,1,4.01,5.1,6.1,695
26,6,3.89,5.35,6.35,681
26,4,6.95,6.59,6.92,695
26,3,4.67,5.49,6.5,697
26,7,5.42,7.64,7.96,694
27,2,4.42,5.55,6.42,759
27,5,5.29,6.35,8.84,791
27,6,3.66,5.28,6.32,681
27,1,4.17,5.11,6.1,695
27,4,6.95,6.6,6.92,695
27,3,5.42,5.64,6.54,697
27,7,5.71,7.66,7.96,694
28,2,4.71,5.59,6.43,759
28,5,5.99,6.48,8.87,791
28,6,3.93,5.31,6.33,681
28,1,4.56,5.18,6.11,695
28,4,7.04,6.62,6.92,695
28,3,5.47,5.64,6.53,697
28,7,6.05,7.7,7.98,694
29,2,5.05,5.64,6.45,759
29,5,6.15,6.51,8.87,791
29,6,3.69,5.24,6.3,681
29,1,4.75,5.21,6.12,695
29,4,7.11,6.64,6.93,695
29,3,5.03,5.55,6.5,697
29,7,5.97,7.66,7.96,694
30,2,5.13,5.65,6.44,759
30,5,5.66,6.4,8.82,791
30,6,3.88,5.25,6.3,681
30,1,4.93,5.24,6.12,695
30,4,7.43,6.72,6.95,695
30,3,4.63,5.46,6.46,697
30,7,5.49,7.53,7.92,694
31,2,4.72,5.56,6.41,759
31,5,5.21,6.29,8.77,791
31,1,4.54,5.15,6.09,695
31,6,4.05,5.26,6.29,681
31,3,4.26,5.36,6.43,697
31,4,7.39,6.72,6.95,695
31,7,5.05,7.4,7.87,694
32,2,4.34,5.46,6.37,759
32,5,4.79,6.19,8.72,791
32,1,4.25,5.08,6.06,695
32,6,3.72,5.18,6.26,681
32,3,4.72,5.44,6.45,697
32,4,6.96,6.64,6.92,695
32,7,5.2,7.4,7.87,694
33,2,3.99,5.37,6.34,759
33,5,4.41,6.08,8.68,791
33,1,3.91,5,6.03,695
33,6,3.43,5.09,6.23,681
33,3,5.14,5.52,6.47,697
33,4,6.72,6.6,6.91,695
33,7,5.59,7.44,7.88,694
34,2,4.31,5.42,6.35,759
34,5,4.93,6.17,8.69,791
34,1,4,5,6.02,695
34,6,4.03,5.19,6.25,681
34,3,5.37,5.56,6.48,697
34,4,6.9,6.64,6.92,695
34,7,5.94,7.48,7.89,694
35,2,4.77,5.49,6.37,759
35,5,5.82,6.33,8.73,791
