moment,node,load5,load10,load15,procs
1,2,5.34,3.9,3.09,513
1,4,4.76,3.49,2.66,512
1,5,5.59,4.51,3.15,511
1,3,4.78,4.35,3.74,515
1,7,5.69,3.73,2.86,509
1,1,4.91,3.83,2.89,508
1,6,7.8,7.16,4.59,499
2,2,4.91,3.84,3.07,513
2,4,4.37,3.43,2.65,512
2,5,5.14,4.43,3.13,512
2,3,4.39,4.28,3.72,516
2,7,5.23,3.67,2.84,509
2,1,4.52,3.77,2.88,547
2,6,7.18,7.04,4.56,500
3,2,4.52,3.78,3.06,614
3,3,4.04,4.21,3.7,608
3,4,4.02,3.38,2.63,606
3,5,4.73,4.36,3.12,608
3,7,4.81,3.6,2.83,605
3,1,4.48,3.77,2.88,694
3,6,6.76,6.95,4.55,674
4,4,3.86,3.35,2.63,652
4,2,4.32,3.75,3.05,657
4,3,3.72,4.14,3.68,654
4,5,4.51,4.32,3.11,650
4,7,4.51,3.56,2.82,647
4,1,4.52,3.79,2.89,727
4,6,6.46,6.89,4.54,711
5,4,3.55,3.3,2.61,663
5,3,4.22,4.24,3.71,667
5,2,3.97,3.68,3.03,668
5,5,4.15,4.25,3.09,663
5,1,4.16,3.73,2.88,741
5,7,4.39,3.55,2.82,661
5,6,7.95,7.19,4.65,729
6,4,4.07,3.41,2.65,661
6,3,5.57,4.51,3.81,665
6,5,5.74,4.57,3.2,661
6,2,4.78,3.85,3.09,668
6,1,5.51,4.02,2.98,739
6,7,5.56,3.81,2.91,659
6,6,10.19,7.67,4.82,726
7,4,4.78,3.57,2.71,698
7,3,5.6,4.54,3.82,701
7,2,5.19,3.96,3.13,702
7,5,6.4,4.73,3.26,697
7,1,6.19,4.18,3.04,775
7,6,9.46,7.56,4.8,780
7,7,5.43,3.81,2.91,695
8,3,6.43,4.73,3.88,701
8,5,7.09,4.9,3.33,697
8,4,5.36,3.71,2.76,698
8,2,5.74,4.09,3.18,702
8,1,5.69,4.11,3.02,775
8,7,5.56,3.87,2.93,695
8,6,9.34,7.56,4.82,780
9,3,6.24,4.72,3.89,701
9,5,6.68,4.85,3.32,697
9,4,5.49,3.76,2.78,698
9,2,6,4.17,3.21,702
9,1,6.04,4.21,3.06,775
9,7,5.51,3.88,2.95,695
9,6,8.59,7.44,4.79,780
10,3,6.3,4.75,3.9,701
10,1,5.55,4.14,3.04,775
10,4,5.05,3.7,2.77,698
10,5,6.39,4.82,3.32,697
10,2,5.52,4.1,3.19,702
10,6,8.22,7.38,4.79,780
10,7,5.63,3.94,2.97,695
11,3,6.27,4.78,3.91,701
11,1,5.51,4.15,3.05,775
11,4,4.81,3.67,2.76,698
11,6,7.72,7.29,4.77,780
11,5,6.59,4.89,3.35,697
11,2,5.48,4.12,3.2,702
11,7,5.5,3.94,2.97,695
12,3,6.57,4.86,3.95,699
12,1,5.71,4.22,3.08,775
12,6,7.27,7.2,4.76,779
12,5,6.39,4.88,3.35,695
12,4,4.58,3.64,2.76,697
12,2,5.04,4.05,3.18,701
12,7,5.06,3.87,2.96,694
13,3,6.61,4.9,3.96,699
13,1,6.05,4.31,3.12,774
13,5,6.2,4.86,3.36,696
13,6,6.92,7.13,4.75,779
13,4,4.78,3.7,2.78,697
13,2,5.12,4.08,3.2,700
13,7,4.97,3.87,2.96,694
14,3,6.24,4.85,3.95,699
14,1,5.97,4.33,3.13,773
14,5,6.34,4.91,3.38,696
14,6,7.41,7.23,4.79,779
14,4,4.88,3.74,2.8,697
14,2,5.03,4.08,3.2,700
14,7,4.58,3.81,2.95,694
15,3,6.3,4.89,3.97,699
15,1,6.53,4.47,3.18,754
15,5,6.79,5.03,3.43,696
15,6,6.9,7.13,4.77,777
15,4,5.13,3.81,2.83,697
15,2,5.26,4.15,3.23,700
15,7,4.45,3.8,2.95,694
16,3,5.79,4.8,3.95,695
