moment,node,load5,load10,load15,procs
1,2,2.36,4.47,8.02,515
1,3,2.91,5.16,8.31,513
1,5,2.82,5.77,10.77,514
1,4,2.86,5.69,9.47,512
1,1,8.99,9.14,10.48,514
1,6,3.28,5.17,8.65,498
1,7,2.68,4.84,8.72,513
2,2,2.17,4.39,7.97,557
2,3,2.67,5.07,8.27,513
2,5,2.6,5.67,10.71,514
2,4,2.63,5.6,9.42,513
2,1,8.27,8.99,10.43,514
2,6,3.02,5.09,8.6,498
2,7,2.47,4.76,8.67,513
3,2,2.23,4.37,7.95,740
3,3,2.86,5.07,8.25,593
3,5,2.47,5.6,10.66,593
3,4,2.5,5.52,9.37,576
3,1,7.6,8.84,10.37,591
3,6,2.78,5,8.56,575
3,7,2.35,4.7,8.63,596
4,2,2.3,4.35,7.92,812
4,3,2.79,5.02,8.22,655
4,4,2.46,5.46,9.33,651
4,5,2.43,5.54,10.61,655
4,1,7.31,8.76,10.33,651
4,6,2.56,4.92,8.51,636
4,7,2.4,4.67,8.6,654
5,2,5.31,4.94,8.09,827
5,4,3.71,5.67,9.38,665
5,3,4.41,5.32,8.3,666
5,5,3.04,5.61,10.61,666
5,1,8.41,8.96,10.39,667
5,6,4.43,5.27,8.6,650
5,7,3.09,4.77,8.62,667
6,2,7.77,5.45,8.24,878
6,4,4.77,5.86,9.42,698
6,3,5.34,5.49,8.34,699
6,5,4.24,5.82,10.65,698
6,1,9.74,9.23,10.47,700
6,6,4.16,5.2,8.56,683
6,7,3.72,4.88,8.63,700
7,2,8.43,5.63,8.28,878
7,3,6.11,5.65,8.37,699
7,4,5.35,5.96,9.43,699
7,5,5.1,5.97,10.67,698
7,1,10.08,9.31,10.49,700
7,6,4.63,5.28,8.57,683
7,7,3.75,4.86,8.6,700
8,2,7.76,5.54,8.24,878
8,4,5.08,5.89,9.39,699
8,3,6.42,5.72,8.38,699
8,5,5.33,6,10.66,698
8,1,9.51,9.2,10.45,700
8,6,4.9,5.32,8.57,683
8,7,3.85,4.86,8.58,700
9,2,7.13,5.44,8.19,878
9,4,4.68,5.79,9.34,699
9,5,4.9,5.9,10.6,698
9,3,6.47,5.75,8.37,699
9,1,8.75,9.05,10.39,700
9,6,4.5,5.24,8.52,683
9,7,4.1,4.9,8.58,700
10,3,5.95,5.65,8.33,699
10,2,6.8,5.4,8.17,878
10,4,4.78,5.8,9.32,699
10,5,4.67,5.84,10.55,698
10,1,8.29,8.95,10.35,700
10,6,4.7,5.26,8.51,683
10,7,3.93,4.85,8.54,700
11,3,5.87,5.64,8.31,699
11,2,7.38,5.55,8.2,879
11,4,4.96,5.82,9.31,699
11,5,5.1,5.91,10.55,698
11,1,7.95,8.87,10.32,700
11,6,4.97,5.31,8.51,683
11,7,4.02,4.85,8.52,700
12,4,4.8,5.77,9.28,698
12,3,5.8,5.63,8.29,699
12,2,6.79,5.45,8.15,877
12,5,4.69,5.81,10.49,698
12,1,7.71,8.8,10.29,698
12,6,4.57,5.22,8.46,683
12,7,5.06,5.06,8.57,697
13,4,4.98,5.79,9.26,698
13,3,5.66,5.6,8.27,699
13,2,6.72,5.46,8.14,877
13,5,4.31,5.71,10.43,697
13,1,7.09,8.66,10.23,697
13,6,4.2,5.14,8.42,682
13,7,5.37,5.12,8.57,697
14,3,5.37,5.54,8.24,699
14,4,4.74,5.73,9.22,698
14,2,6.19,5.37,8.1,876
14,5,4.69,5.77,10.43,697
14,1,7.57,8.73,10.25,697
14,6,3.87,5.05,8.37,682
14,7,5.5,5.15,8.56,697
15,4,4.68,5.7,9.2,698
15,3,5.58,5.58,8.23,699
15,2,6.09,5.37,8.08,857
15,5,5.11,5.84,10.42,697
15,1,7.6,8.72,10.24,697
15,6,4.36,5.13,8.38,682
15,7,5.38,5.13,8.54,697
16,4,4.31,5.61,9.15,694
16,3,6.17,5.71,8.26,695
16,2,5.6,5.28,8.04,852
16,5,4.7,5.74,10.37,693
16,6,4.33,5.11,8.36,678
16,1,6.99,8.57,10.18,693
16,7,4.95,5.05,8.49,693
17,4,3.96,5.51,9.1,694
17,3,5.92,5.66,8.23,695
17,2,5.15,5.19,7.99,852
17,5,4.33,5.64,10.31,693
17,6,3.98,5.03,8.31,678
17,1,6.43,8.43,10.13,693
17,7,4.56,4.96,8.44,693
18,4,3.88,5.47,9.06,694
18,3,5.68,5.62,8.2,695
18,2,4.74,5.1,7.95,852
18,5,4.14,5.58,10.27,694
18,6,4.06,5.03,8.3,678
18,1,6.08,8.32,10.08,693
18,7,4.43,4.93,8.41,693
19,4,3.89,5.45,9.04,693
19,3,5.79,5.64,8.2,695
19,2,4.6,5.07,7.92,852
19,5,4.21,5.57,10.24,694
