moment,node,load5,load10,load15,procs
1,1,3.14,1.86,1.7,506
1,5,4.77,2.58,1.95,511
1,6,3.58,1.86,1.63,494
1,4,2.5,1.68,1.56,509
1,3,1.74,1.27,1.71,511
1,2,3.27,1.95,1.67,510
1,7,1.61,1.22,1.31,506
2,1,2.89,1.83,1.69,506
2,5,4.38,2.54,1.94,510
2,6,3.45,1.86,1.63,535
2,4,2.3,1.65,1.55,510
2,3,1.6,1.25,1.7,511
2,2,3.01,1.92,1.66,510
2,7,1.56,1.22,1.31,506
3,1,2.98,1.87,1.7,650
3,6,3.5,1.89,1.64,687
3,5,4.19,2.53,1.94,615
3,7,1.44,1.2,1.3,614
3,4,2.27,1.66,1.55,619
3,3,1.47,1.23,1.69,619
3,2,2.85,1.9,1.66,621
4,1,2.9,1.87,1.71,723
4,6,4.1,2.05,1.69,718
4,5,4.02,2.52,1.94,652
4,7,1.48,1.21,1.3,646
4,3,1.51,1.24,1.69,652
4,4,2.25,1.66,1.55,655
4,2,2.78,1.91,1.66,655
5,5,5.06,2.76,2.02,662
5,1,4.35,2.19,1.81,736
5,7,1.44,1.21,1.3,658
5,4,3.11,1.85,1.61,664
5,3,2.19,1.39,1.73,662
5,2,3.68,2.11,1.73,666
5,6,3.85,2.03,1.69,730
6,5,5.61,2.91,2.07,696
6,3,3.54,1.68,1.83,696
6,2,6.35,2.69,1.92,700
6,7,1.57,1.24,1.31,692
6,1,4.08,2.17,1.81,787
6,6,4.5,2.19,1.74,765
6,4,4.46,2.15,1.71,698
7,5,5.48,2.93,2.08,697
7,3,3.58,1.72,1.84,697
7,2,6,2.68,1.92,700
7,1,3.99,2.18,1.81,789
7,6,4.3,2.19,1.75,767
7,7,2.32,1.4,1.36,693
7,4,5.47,2.4,1.8,699
8,5,5.12,2.9,2.08,697
8,3,3.37,1.71,1.83,697
8,2,5.52,2.63,1.91,700
8,1,3.67,2.15,1.8,789
8,6,4.44,2.25,1.77,767
8,7,2.62,1.48,1.39,693
8,4,5.19,2.39,1.8,699
9,5,4.71,2.85,2.07,697
9,3,3.42,1.75,1.85,697
9,6,4.88,2.38,1.81,767
9,1,3.38,2.11,1.79,789
9,2,5.64,2.7,1.93,700
9,4,5.58,2.52,1.84,699
9,7,2.97,1.57,1.42,693
10,5,4.5,2.84,2.06,697
10,1,3.19,2.09,1.79,789
10,3,3.31,1.75,1.85,697
10,6,5.37,2.53,1.86,767
10,2,5.19,2.66,1.92,700
10,4,5.13,2.48,1.83,699
10,7,3.37,1.67,1.45,693
11,3,3.68,1.85,1.88,697
11,5,4.7,2.9,2.09,698
11,1,3.25,2.12,1.8,789
11,6,6.46,2.8,1.96,767
11,2,5.25,2.71,1.94,700
11,4,4.72,2.43,1.82,699
11,7,3.1,1.65,1.45,693
