moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,279056384,0,38,0,0.0920000000048731
1,3,0,187748352,0,62,0,0.0320000000048992
1,5,0,106496,0,7,0,0.0560000000000116
1,4,0,114688,0,13,0,0.0440000000000111
1,1,0,114688,0,11,0,0.0480000000000018
1,7,0,142675968,0,29,0,0.0199999999895226
1,6,0,356352,0,33,0,0.0319999999999823
2,2,0,134434816,0,1045,0,107.728000000003
2,3,0,44462080,0,355,0,16.819999999976
2,5,0,134430720,0,1048,0,109.940000000002
2,4,0,0,0,0,0,0
2,1,0,32768,0,4,0,0
2,7,0,81920,0,16,0,0.288000000000011
2,6,0,135340032,0,7,0,0.0160000000032596
3,2,0,1245184,0,16,0,0.0279999999895324
3,3,0,151552,0,4,0,0.00800000000162981
3,5,0,1191936,0,19,0,0.00800000000162981
3,4,0,12288,0,2,0,0
3,1,0,32768,0,4,0,0
3,7,0,44736512,0,367,0,17.948000000004
3,6,0,111505408,0,916,0,87.7320000000028
4,3,0,290816,0,7,0,0.00800000000162981
4,2,0,327680,0,7,0,0.0120000000169966
4,5,0,303104,0,7,0,0.0120000000169966
4,4,0,111603712,0,935,0,91.2439999999907
4,1,0,466944,0,35,0,0.0160000000170157
4,7,0,34410496,0,268,0,11.0440000000081
4,6,0,67829760,0,601,0,45.7519999999786
5,3,0,69169152,0,532,0,33.5400000000081
5,2,0,68206592,0,522,0,33.372000000003
5,5,0,68206592,0,522,0,26.0319999999774
5,1,0,68263936,0,525,0,42.3599999999998
5,4,0,135827456,0,1119,0,68.6640000000189
5,7,0,35151872,0,276,0,10.7719999999907
5,6,0,102395904,0,785,0,35.4479999999991
6,3,0,16384,0,3,0,0.00800000000162981
6,2,0,987136,0,15,0,0.0480000000016219
6,5,0,999424,0,15,0,0.0520000000065295
6,1,0,983040,0,12,0,0.00800000000162981
6,4,0,1011712,0,13,0,0.00799999997252598
6,7,0,516096,0,8,0,0.0240000000048894
6,6,0,1437696,0,16,0,0.0240000000048894
7,3,0,253952,0,7,0,0.0119999999878928
7,2,0,417792,0,26,0,0.207999999987891
7,1,0,262144,0,6,0,0.0239999999878933
7,5,0,323584,0,9,0,0.0280000000169878
7,4,0,294912,0,8,0,0.0600000000169985
7,7,0,372736,0,8,0,0.0159999999878835
7,6,0,368640,0,12,0,0.0120000000016205
8,3,0,1331200,0,45,0,0.0440000000170073
8,2,0,274432,0,5,0,0.00800000000162981
8,1,0,249856,0,6,0,0.0120000000169966
8,5,0,212992,0,6,0,0.0119999999878928
8,4,0,352256,0,17,0,0.00800000000162981
8,7,0,425984,0,6,0,0.0120000000169966
8,6,0,315392,0,6,0,0.00800000000162981
9,3,0,178790400,0,1489,0,161.292
9,2,0,170962944,0,1420,0,135.359999999986
9,1,0,249856,0,22,0,0.0119999999878928
