moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,5,0,144396288,0,36,0,0.0199999999967986
1,2,0,49152,0,2,0,0
1,3,0,65536,0,4,0,0
1,4,0,65536,0,4,0,0
1,1,0,20480,0,3,0,0.0120000000000005
1,7,0,16384,0,2,0,0
1,6,0,135434240,0,13,0,0.0839999999951715
2,2,0,179896320,0,34,0,0.204000000003262
2,5,0,90112,0,5,0,0.00400000000081491
2,3,0,118784,0,5,0,0.00399999999353895
2,4,0,86016,0,5,0,0.00800000000162981
2,1,0,134356992,0,1030,0,112.067999999999
2,7,0,55312384,0,466,0,28.6440000000002
2,6,0,12288,0,2,0,0
3,2,0,44711936,0,374,0,17.2479999999996
3,5,0,111783936,0,924,0,85.9320000000007
3,3,0,134545408,0,1059,0,108.748000000006
3,4,0,114688,0,11,0,0.0480000000000018
3,7,0,56692736,0,475,0,58.4440000000023
3,1,0,45592576,0,368,0,17.8120000000003
3,6,0,65536,0,2,0,0
4,4,0,179802112,0,1449,0,116.703999999998
4,1,0,68591616,0,530,0,21.8959999999998
4,3,0,69709824,0,542,0,24.7239999999947
4,5,0,136183808,0,1120,0,80.1799999999985
4,2,0,68538368,0,529,0,25.7359999999971
4,7,0,169725952,0,1365,0,104.508000000001
4,6,0,180006912,0,1464,0,121.156000000002
5,1,4096,942080,1,10,0,0.0120000000024447
5,4,0,68612096,0,604,0,47.004
5,3,12288,983040,3,11,0,0.00800000000162981
5,5,0,1024000,0,11,0,0.00800000000162981
5,7,28672,1306624,7,23,0.004,0.187999999996791
5,2,0,958464,0,11,0,0.00400000000081491
5,6,0,68616192,0,589,0,42.4079999999958
6,1,0,0,0,0,0,0
6,4,0,16384,0,2,0,0
6,3,0,344064,0,27,0,0.244000000002444
6,5,0,12288,0,2,0,0
6,7,0,1351680,0,15,0,0.0480000000025029
6,2,0,0,0,0,0,0
6,6,0,249856,0,5,0,0.0200000000040745
7,1,0,557056,0,10,0,0.0279999999951741
7,4,0,335872,0,9,0,0.0320000000016307
