moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,357646336,0,39,0,0.0319999999992433
1,3,0,465768448,0,98,0,0.0360000000000582
1,5,0,501936128,0,72,0,0.0800000000000551
1,4,0,86016,0,4,0,0.00799999999435386
1,1,0,395227136,0,50,0,0.0319999999992433
1,6,0,71905280,0,31,0,0.0520000000040852
1,7,0,143040512,0,29,0,0.0239999999967893
2,2,0,1822720,0,44,0,0.116000000001804
2,3,0,16384,0,2,0,0
2,4,0,111755264,0,897,0,91.0720000000001
2,5,0,134635520,0,1052,0,110.112000000001
2,1,0,12288,0,2,0,0
2,6,0,44564480,0,364,0,17.2079999999987
2,7,0,357711872,0,49,0,0.0679999999992447
3,4,0,88383488,0,724,0,62.4240000000055
3,2,0,178364416,0,1374,0,152.896
3,3,0,65536,0,2,0,0
3,5,0,1110016,0,13,0,0.00800000000162981
3,1,0,134692864,0,1061,0,112.363999999998
3,6,0,167936,0,4,0,0.0200000000032503
3,7,0,180224,0,9,0,0.0160000000032596
4,4,0,92442624,0,773,0,68.7559999999945
4,2,0,246824960,0,549,0,37.1399999999999
4,3,4096,219357184,1,1740,0,111.739999999998
4,5,0,68517888,0,529,0,19.9040000000023
4,1,0,69566464,0,538,0,39.0279999999984
4,6,0,68530176,0,530,0,20.555999999996
4,7,4096,180092928,1,1459,0,108.511999999995
5,4,0,962560,0,11,0,0.00800000000162981
5,3,12288,63705088,3,599,0,38.4320000000022
5,2,0,974848,0,11,0,0.00800000000162981
5,5,0,958464,0,11,0,0.0119999999951688
5,1,0,1052672,0,15,0,0.00800000000162981
5,6,0,537415680,0,78,0,0.267999999993592
5,7,8192,68603904,2,604,0,46.3120000000054
6,3,0,1409024,0,19,0,0.0279999999984284
6,4,0,24576,0,2,0,0
6,2,0,28672,0,4,0,0
6,5,0,24576,0,3,0,0
6,1,0,86016,0,13,0,0
6,6,0,253952,0,3,0,0.0120000000024447
6,7,0,299008,0,6,0,0.0199999999967986
7,4,0,356352,0,9,0,0.00800000000162981
7,3,0,712704,0,10,0,0.00800000000162981
7,2,0,352256,0,8,0,0.00800000000162981
7,5,0,471040,0,28,0,0.164000000002446
7,1,0,339968,0,8,0,0.0199999999967986
7,6,0,335872,0,13,0,0.0120000000024447
7,7,0,409600,0,8,0,0.0120000000024447
8,4,0,389120,0,7,0,0.0280000000024501
8,3,0,782336,0,9,0,0.0120000000024447
8,1,0,413696,0,7,0,0.0120000000024447
8,2,0,405504,0,6,0,0.0119999999951688
8,5,0,401408,0,6,0,0.0159999999959837
8,6,0,479232,0,7,0,0.0279999999911524
8,7,0,73728,0,6,0,0.0640000000000072
9,4,0,45535232,0,97,0,0.0119999999951688
9,3,0,524288,0,10,0,0.0199999999951643
9,1,0,344064,0,8,0,0.0199999999967986
9,2,0,178966528,0,1488,0,161.100000000006
9,5,0,179777536,0,1546,0,160.580000000002
9,6,0,181010432,0,61,0,0.0480000000097789
9,7,0,225280,0,5,0,0.0119999999951688
10,4,0,22515712,0,181,0,5.28000000000361
10,3,0,113811456,0,988,0,88.0599999999992
10,1,0,180572160,0,1578,0,173.116000000003
10,2,0,1093632,0,35,0,0.128000000000057
10,5,0,1114112,0,30,0,0.0879999999992549
10,6,0,179789824,0,1518,0,162.303999999992
10,7,0,81235968,0,702,0,55.0080000000016
11,4,0,47026176,0,376,0,35.9279999999999
11,3,0,2875392,0,63,0,0.140000000006694
11,2,0,69410816,0,591,0,36.8919999999998
11,1,0,68521984,0,530,0,40.3559999999998
11,5,0,68521984,0,528,0,36.351999999999
11,6,0,68521984,0,528,0,37.2440000000061
11,7,0,958464,0,13,0,0.0120000000024447
12,4,0,208896,0,3,0,0.0159999999959837
12,3,0,4100096,0,15,0,0.0319999999992433
12,2,0,274432,0,5,0,0.00799999999435386
12,1,0,192512,0,3,0,0.00800000000162981
12,5,0,200704,0,5,0,0.0120000000024447
12,6,0,266240,0,14,0,0.0200000000040745
12,7,0,3584000,0,8,0,0.0119999999951688
13,4,0,225280,0,3,0,0.0120000000024447
13,3,0,503808,0,5,0,0.0119999999951688
13,2,0,196608,0,2,0,0
13,1,0,294912,0,18,0,0.0119999999951688
13,5,0,86016,0,13,0,0.0959999999999894
13,6,0,57344,0,5,0,0.00800000000000978
13,7,0,225280,0,3,0,0.00800000000162981
14,4,0,6000640,0,99,0,0.635999999996102
14,3,0,561152,0,10,0,0.0319999999992433
14,2,0,0,0,1,0,0.0120000000024447
14,1,0,0,0,0,0,0
14,5,0,217088,0,5,0,0.0120000000024447
14,6,0,221184,0,6,0,0.0159999999887077
14,7,0,241664,0,9,0,0.0440000000024412
15,4,0,471040,0,10,0,0.0120000000024447
15,3,0,856064,0,12,0,0.00800000000162981
15,2,0,425984,0,5,0,0.0120000000024447
15,1,0,413696,0,8,0,0.0120000000024447
15,5,0,1208320,0,32,0,0.0159999999959837
15,7,0,17264640,0,205,0,3.13999999999942
15,6,0,483328,0,9,0,0.00800000000162981
16,1,0,14319616,0,200,0,3.47600000000239
16,3,0,81420288,0,994,0,54.8040000000029
16,4,0,335872,0,10,0,0.0480000000024461
16,2,0,15036416,0,237,0,3.90399999999813
16,5,0,15798272,0,200,0,4.06000000000495
16,7,0,229376,0,5,0,0.0160000000032596
16,6,0,1040384,0,47,0,0.0120000000024447
17,1,0,14168064,0,18,0,0.0599999999951706
17,4,0,32038912,0,216,0,2.12799999999697
17,3,8192,71102464,2,16,0,0.0239999999976135
17,2,0,15347712,0,13,0,0.0120000000024447
17,5,0,16429056,0,14,0,0.0319999999992433
17,7,0,9240576,0,21,0,0.0679999999968004
17,6,0,6098944,0,82,0,0.464000000007218
18,1,0,20480,0,2,0,0
18,4,0,16384,0,2,0,0
18,3,0,557056,0,6,0,0.0120000000024447
18,2,0,77824,0,15,0,0
18,5,0,311296,0,6,0,0.0400000000008731
18,7,0,20185088,0,262,0,3.9800000000032
18,6,0,0,0,0,0,0
19,1,0,22458368,0,293,0,6.51600000000326
19,3,0,909312,0,8,0,0.00800000000162981
19,4,0,286720,0,5,0,0.0120000000024447
19,2,0,5619712,0,89,0,0.435999999994237
19,5,0,966656,0,48,0,0.051999999995175
19,7,0,12439552,0,7,0,0.0279999999984284
19,6,0,356352,0,20,0,0.100000000002439
20,3,0,454656,0,18,0,0.0479999999976144
20,1,0,21843968,0,9,0,0.0279999999984284
20,4,0,9437184,0,95,0,0.468000000000757
20,2,0,417792,0,5,0,0.0160000000032596
20,5,0,151552,0,4,0,0.0120000000024447
20,7,0,172032,0,8,0,0.0680000000016321
20,6,0,17682432,0,145,0,2.05599999999686
21,3,0,102023168,0,1035,0,66.8719999999958
21,1,0,184320,0,4,0,0.0120000000016347
21,4,0,233472,0,4,0,0.00800000000162981
21,2,0,184320,0,3,0,0.0120000000024447
21,5,0,18153472,0,223,0,3.24799999999959
21,7,0,21057536,0,242,0,4.5879999999961
21,6,0,204800,0,3,0,0.0120000000024447
22,3,0,91770880,0,16,0,0.0160000000032596
22,1,0,23355392,0,309,0,5.10000000000338
22,4,0,253952,0,10,0,0.0359999999951697
22,2,0,18268160,0,258,0,3.59999999999768
22,5,0,286720,0,7,0,0.0120000000024447
22,7,0,270336,0,7,0,0.0120000000024447
22,6,0,180224,0,4,0,0.0359999999927823
23,3,0,20480,0,2,0,0
23,1,0,23801856,0,19,0,0.051999999995175
23,4,0,9728000,0,77,0,0.272000000004482
23,2,0,158818304,0,16,0,0.0120000000024447
23,5,0,18706432,0,11,0,0.0159999999959837
23,7,0,17260544,0,7,0,0.0119999999951688
23,6,0,12156928,0,12,0,0.0120000000024447
24,3,0,1310720,0,11,0,0.0199999999967986
24,1,0,311296,0,6,0,0.00800000000162981
24,4,0,245760,0,3,0,0.0119999999951688
24,2,0,286720,0,5,0,0.0119999999951688
24,5,0,294912,0,6,0,0.0120000000024447
24,7,0,884736,0,12,0,0.035999999999234
24,6,0,8794112,0,158,0,1.07600000000093
25,3,0,561152,0,8,0,0.0440000000032654
25,1,0,458752,0,8,0,0.0120000000024447
25,4,0,9887744,0,102,0,0.61200000000099
25,2,0,434176,0,12,0,0.0360000000024456
25,5,0,12591104,0,152,0,1.81199999999883
25,7,0,14557184,0,167,0,2.64400000000023
25,6,0,8327168,0,14,0,0.072000000001637
26,3,0,819200,0,10,0,0.00800000000162981
26,1,0,20025344,0,220,0,4.84399999999732
26,4,0,172032,0,5,0,0.0120000000024447
26,2,0,20021248,0,223,0,4.68800000000192
26,5,0,151552,0,4,0,0.0120000000024447
26,7,0,471040,0,12,0,0.0400000000032605
26,6,0,147456,0,4,0,0.0120000000024447
27,3,0,11210752,0,97,0,1.21199999999871
27,1,0,217088,0,3,0,0.00800000000162981
27,4,0,23638016,0,279,0,6.57200000000157
27,2,0,200704,0,3,0,0.0119999999951688
27,5,0,221184,0,4,0,0.0119999999951688
27,7,0,192512,0,5,0,0.0120000000024447
27,6,0,20160512,0,238,0,4.73999999999069
28,3,0,1740800,0,40,0,0.0199999999967986
28,4,0,249856,0,11,0,0.0159999999951737
28,1,0,249856,0,16,0,0.179999999995161
28,2,0,237568,0,11,0,0.0560000000016174
28,5,0,172032,0,4,0,0.0120000000024447
28,7,0,32010240,0,343,0,8.4320000000007
28,6,0,217088,0,8,0,0.0120000000024447
29,3,0,356352,0,6,0,0.00800000000162981
29,4,0,20480,0,2,0,0
29,1,0,65536,0,8,0,0
29,2,0,36864,0,4,0,0
29,5,0,23773184,0,273,0,5.93599999999988
29,7,0,167936,0,6,0,0.0119999999943587
29,6,0,40960,0,2,0,0
30,3,0,806912,0,9,0,0.0400000000008731
30,4,0,28778496,0,15,0,0.0160000000032596
30,1,0,24817664,0,137,0,0.764000000002852
30,2,0,19427328,0,9,0,0.0120000000024447
30,5,0,35119104,0,7,0,0.0120000000024447
30,7,0,33742848,0,7,0,0.0120000000024447
30,6,0,24313856,0,106,0,0.3240000000078
31,3,0,61009920,0,857,0,32.7359999999971
31,4,0,12382208,0,200,0,2.43599999999662
31,1,0,847872,0,8,0,0.00800000000162981
31,2,0,10280960,0,168,0,1.76399999999558
31,5,0,897024,0,13,0,0.00799999999435386
31,7,0,925696,0,21,0,0.112000000003263
31,6,0,946176,0,15,0,0.0559999999870655
32,3,0,61440,0,4,0,0
32,4,0,11177984,0,10,0,0.0120000000024447
32,1,0,15921152,0,151,0,1.75600000000122
32,2,0,9846784,0,18,0,0.13600000000163
32,5,0,3420160,0,76,0,0.120000000002619
32,7,4096,18288640,1,222,0.004,2.73999999999796
32,6,0,11132928,0,94,0,0.788000000000466
33,3,0,53587968,0,23,0,0.0560000000024417
33,4,0,258048,0,8,0,0.00800000000162981
33,1,0,225280,0,4,0,0.0239999999951692
33,5,0,274432,0,4,0,0.00800000000162981
33,2,0,212992,0,3,0,0.00800000000162981
33,7,0,462848,0,9,0,0.00800000000162981
33,6,0,204800,0,3,0,0.0160000000032596
34,3,0,524288,0,12,0,0.00800000000162981
34,4,0,27553792,0,332,0,6.34799999999814
34,1,0,339968,0,7,0,0.0280000000024501
34,5,0,24158208,0,299,0,5.35599999999732
34,2,0,26120192,0,322,0,8.07599999999604
34,7,0,249856,0,5,0,0.0119999999951688
34,6,0,21028864,0,250,0,5.63200000000315
35,3,0,458752,0,7,0,0.0120000000024447
35,1,0,118784,0,18,0,0.111999999999995
35,4,0,65536,0,3,0,0
35,5,0,26628096,0,11,0,0.0200000000032645
35,2,0,69632,0,2,0,0.00400000000000489
35,7,0,13492224,0,152,0,3.13999999999859
35,6,0,27000832,0,10,0,0.0280000000057044
36,3,0,69779456,0,790,0,43.351999999999
36,1,0,19943424,0,141,0,1.46800000000076
36,4,0,27361280,0,9,0,0.0120000000024447
36,5,0,380928,0,20,0,0.0159999999959837
36,2,0,25554944,0,10,0,0.0160000000032596
36,7,0,9764864,0,10,0,0.0120000000024447
36,6,0,290816,0,5,0,0.0119999999878928
37,3,0,614400,0,8,0,0.00799999999435386
37,1,0,266240,0,3,0,0.0199999999967986
37,4,0,253952,0,3,0,0.0119999999951688
37,5,0,942080,0,14,0,0.0320000000016307
37,2,0,229376,0,3,0,0.0120000000024447
37,7,0,229376,0,3,0,0.0120000000024447
37,6,0,19058688,0,260,0,5.58000000000327
38,3,0,61669376,0,18,0,0.076000000004143
38,1,0,15056896,0,75,0,0.50800000000163
38,4,0,10326016,0,140,0,1.62000000000262
38,5,0,5931008,0,101,0,0.51600000000326
38,2,0,6234112,0,83,0,0.415999999996629
38,7,0,25600000,0,195,0,2.35200000000128
38,6,0,18542592,0,10,0,0.0160000000032596
39,3,0,548864,0,20,0,0.0840000000024332
39,1,0,225280,0,5,0,0.0320000000024407
39,4,0,356352,0,24,0,0.132000000002435
39,5,0,12288,0,2,0,0
39,2,0,258048,0,5,0,0.0120000000024447
39,7,0,229376,0,6,0,0.0159999999959837
39,6,0,0,0,0,0,0
40,3,0,532480,0,16,0,0.0119999999951688
40,1,0,17281024,0,227,0,4.0679999999993
40,4,0,327680,0,17,0,0.0159999999959837
40,5,0,6492160,0,89,0,0.559999999995227
40,2,0,286720,0,15,0,0.107999999996792
40,7,0,303104,0,22,0,0.100000000003263
40,6,0,339968,0,11,0,0.0560000000024417
41,3,0,67399680,0,654,0,32.0080000000016
41,1,0,21598208,0,22,0,0.0719999999976153
41,4,0,23576576,0,185,0,3.18000000000029
41,5,0,5369856,0,10,0,0.0120000000024447
41,2,0,15908864,0,174,0,1.90400000000227
41,7,0,26976256,0,233,0,3.75600000000122
41,6,0,15691776,0,204,0,3.03199999999197
42,3,0,696320,0,10,0,0.00800000000162981
42,1,0,389120,0,12,0,0.0120000000024447
42,4,0,1437696,0,18,0,0.459999999998317
42,5,0,270336,0,5,0,0.0120000000024447
42,2,0,335872,0,6,0,0.0120000000024447
42,7,0,360448,0,8,0,0.0279999999976042
42,6,0,270336,0,5,0,0.0120000000016347
43,3,0,57040896,0,16,0,0.0279999999984284
43,1,0,856064,0,10,0,0.00800000000162981
43,4,0,16261120,0,13,0,0.0120000000024447
43,5,0,13049856,0,114,0,0.827999999998028
43,2,0,11522048,0,14,0,0.0119999999951688
43,7,0,14954496,0,11,0,0.00800000000162981
43,6,0,15515648,0,18,0,0.0120000000024447
44,3,0,540672,0,7,0,0.0120000000024447
44,1,0,13746176,0,201,0,3.18000000000029
44,4,0,16384,0,2,0,0
44,5,0,290816,0,6,0,0.0120000000024447
44,2,0,245760,0,3,0,0.0160000000032596
44,7,0,290816,0,9,0,0.0359999999968039
44,6,0,311296,0,6,0,0.0120000000024447
45,3,0,880640,0,21,0,0.195999999999245
45,1,0,327680,0,5,0,0.0119999999951688
45,4,0,937984,0,57,0,0.0800000000024426
45,5,0,5697536,0,18,0,0.0119999999951688
45,2,0,8163328,0,116,0,0.879999999997381
45,7,0,430080,0,7,0,0.00800000000162981
45,6,0,417792,0,5,0,0.0120000000024447
46,3,0,83427328,0,854,0,49.9360000000015
