moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,0,0,0,0,0
1,3,0,65536,0,4,0,0
1,4,0,479232,0,39,0,0.00800000000000978
1,5,0,135168,0,6,0,0.00400000000081491
1,6,0,49152,0,2,0,0
1,7,0,462766080,0,38,0,0.0280000000002474
1,1,0,69632,0,4,0,0
2,2,0,458752,0,34,0,0.0239999999998162
2,3,0,65536,0,11,0,0.0600000000000023
2,4,0,90112,0,17,0,0
2,5,0,12288,0,2,0,0
2,6,0,65536,0,6,0,0.00799999999900081
2,7,0,0,0,0,0,0
2,1,0,116805632,0,936,0,93.5079999999996
3,2,4096,116744192,1,959,0,91.5920000000015
3,3,0,49152,0,3,0,0.00799999999981083
3,4,0,0,0,0,0,0
3,5,0,16269312,0,130,0,2.54399999999987
3,6,0,136302592,0,1080,0,104.332
3,7,0,98304,0,17,0,0.144000000000005
3,1,0,63438848,0,488,0,32.8960000000006
4,2,0,130596864,0,1069,0,67.9959999999992
4,4,4096,176017408,1,1408,0,98.1400000000012
4,3,0,68624384,0,531,0,21.2200000000003
4,6,0,73814016,0,571,0,32.7960000000003
4,5,0,102584320,0,790,0,57.9080000000008
4,7,0,175312896,0,1409,0,110.576000000001
4,1,0,68579328,0,531,0,21.2799999999988
5,2,8192,1040384,2,17,0,0.0719999999992496
5,3,0,950272,0,10,0,0.0119999999998157
5,4,24576,72286208,6,634,0,47.6839999999993
5,6,0,962560,0,11,0,0.00799999999981083
5,5,0,1880064,0,57,0,0.0519999999996799
5,7,4096,73138176,1,644,0,51.1839999999993
5,1,0,950272,0,10,0,0.00800000000080558
6,2,0,454656,0,8,0,0.0120000000006257
6,3,0,1490944,0,63,0,0.0280000000002474
6,4,0,425984,0,8,0,0.0120000000006257
6,6,0,405504,0,9,0,0.00799999999981083
6,5,0,573440,0,8,0,0.0119999999988067
6,7,0,49152,0,4,0,0
6,1,0,90112,0,6,0,0.00800000000000978
7,2,0,454656,0,8,0,0.00799999999981083
7,3,0,651264,0,12,0,0.0120000000006257
7,4,0,466944,0,10,0,0.0559999999986189
7,6,0,520192,0,20,0,0.0600000000006276
7,5,0,802816,0,28,0,0.231999999999815
7,7,0,413696,0,6,0,0.0120000000006257
7,1,0,466944,0,10,0,0.0239999999994325
8,2,0,929792,0,13,0,0.0600000000000591
8,3,20480,45293568,5,350,0,16.8999999999996
