moment,node,buffer_cache,free,map,used
1,2,11519948,93310908,59748,2652556
1,3,11460460,93313824,60072,2709128
1,5,11776344,93003908,60240,2703160
1,4,11343952,93452984,60148,2686476
1,1,11273196,93526488,59912,2683728
1,7,11875868,92826928,60072,2780616
1,6,11875752,92862584,60208,2745076
2,2,11652408,93190348,59868,2640656
2,3,11503688,93275820,60072,2703904
2,5,11908448,92880132,60232,2694832
2,4,11343952,93453472,59972,2685988
2,1,11273200,93526812,60216,2683400
2,7,11919196,92787028,60072,2777188
2,6,12050180,92503732,72456,2929500
3,2,11826744,92745924,72564,2910744
3,3,11678232,92828772,72660,2976408
3,5,12083116,92423504,72788,2976792
3,4,11518488,93013448,72772,2951476
3,1,11447744,93071036,72816,2964632
3,7,12093732,92355228,72672,3034452
3,6,12050452,91784064,72828,3648896
4,3,11704660,92243796,72728,3534956
4,2,11868700,92209260,72432,3405452
4,5,12109144,91889568,72872,3484700
4,4,11536596,92472940,72864,3473876
4,1,11495856,92524848,72884,3462708
4,7,12184404,91454688,74952,3844320
4,6,12090292,91093892,73072,4299228
5,3,11819380,91236624,77260,4427408
5,2,11967192,91173104,77124,4343116
5,5,12225476,90827416,77420,4430520
5,1,11590152,91492948,77408,4400312
5,4,11659684,91401472,77416,4422256
5,7,12264944,89917096,77232,5301372
5,6,12262996,89581072,79684,5639344
6,3,11817372,90688596,77260,4977444
6,2,11965508,90786532,77152,4731372
6,5,12223980,90352088,77420,4907344
6,1,11587476,91030732,77408,4865204
6,4,11657472,90955488,77416,4870452
6,7,12254616,87758300,77232,7470496
6,6,12260572,88965588,79684,6257252
7,3,11818220,89903632,77260,5761560
7,2,11966492,89781760,77152,5735160
7,1,11588504,90148932,77408,5745976
7,5,12225548,89519100,77424,5738764
7,4,11658708,90075924,77416,5748780
7,7,12258960,86516956,77232,8707496
7,6,12263052,87575968,79684,7644392
8,3,11826072,89306852,77260,6350488
8,2,11974384,89459748,77152,6049280
8,1,11597372,89648092,77408,6237948
8,5,12234908,88966512,77424,6281992
8,4,11666580,89643572,77416,6173260
8,7,12297596,85026288,77232,10159528
8,6,12275820,87022884,79684,8184708
9,3,11834776,88890964,77260,6757672
9,2,11982828,89072604,77152,6427980
9,1,11606744,88798604,77408,7078064
9,5,12244708,88277312,77424,6961392
9,7,12338880,83278920,77232,11865612
9,4,11675444,89208144,77416,6599824
9,6,12290188,86438120,79684,8755104
10,3,11819916,88620184,77260,7043312
10,2,11969304,88206600,77152,7307508
10,1,11591932,88640448,77424,7251032
10,5,12231796,87681652,77424,7569964
10,7,12268544,81881492,77232,13333376
10,4,11661804,88219612,77220,7601996
10,6,12270040,85927648,79684,9285724
11,3,11833668,87851716,77260,7798028
