moment,node,buffer_cache,free,map,used
1,5,10490600,94623728,60200,2369084
1,2,10472312,94736696,59936,2274404
1,3,10253276,94896564,59964,2333572
1,4,10308328,94835464,60088,2339620
1,1,10325700,94858676,60120,2299036
1,7,10304096,94856332,59940,2322984
1,6,10511000,94625584,60084,2346828
2,2,10515656,94691248,59936,2276508
2,5,10490624,94622948,60204,2369840
2,3,10385468,94757396,59964,2340548
2,4,10308336,94833084,60160,2341992
2,1,10500724,94677448,60120,2305240
2,7,10478616,94522376,72600,2482420
2,6,10511008,94626868,60084,2345536
3,2,10690272,93917488,72352,2875652
3,5,10665244,93803148,72952,3015020
3,3,10560132,93953712,72664,2969568
3,4,10482952,94054040,73116,2946420
3,7,10478904,93660556,72616,3343952
3,1,10675772,93775836,72728,3031804
3,6,10685684,93919684,72356,2878044
4,4,10615924,92922916,76784,3944572
4,1,10808620,92724852,77076,3949940
4,3,10693268,93003872,77168,3786272
4,5,10797912,92959308,77720,3726192
4,2,10823448,92888900,76564,3771064
4,7,10678812,92019032,78792,4785568
4,6,10818816,92897936,76784,3766660
5,1,10836044,91080760,77284,5566608
5,4,10621276,92738964,77304,4123172
5,3,10699300,92724964,77188,4059148
5,5,10803816,92654384,77428,4025212
5,7,10688060,91608612,79436,5186740
5,2,10829024,92641264,77088,4013124
5,6,10825696,92611632,77228,4046084
6,1,10840084,90071892,77284,6571436
6,4,10621304,92212508,77116,4649600
6,3,10701288,92218140,77188,4563984
6,5,10805744,92199660,77732,4478008
6,7,10694592,90911972,79436,5876848
6,2,10828976,92236868,77088,4417568
6,6,10829624,92107124,77064,4546664
7,1,10855276,88564268,77284,8063868
7,4,10625360,91466104,77304,5391948
7,3,10704188,91489296,77188,5289928
7,5,10807848,91486820,77428,5188744
7,7,10696380,89672068,79436,7114964
7,2,10833964,91446792,77088,5202656
7,6,10831996,91434936,77228,5216480
8,1,10889308,86824040,77284,9770064
8,4,10636552,91229236,77304,5617624
8,3,10715208,91272312,77188,5495892
8,5,10819844,91136312,77428,5527256
8,7,10714456,89288632,79436,7480324
8,2,10845248,91150688,77088,5487476
8,6,10845184,91152932,77044,5485296
9,1,10862728,84410520,77284,12210164
9,4,10626984,90806296,77304,6050132
9,3,10705464,90796308,77188,5981640
9,5,10810088,90833160,77428,5840164
9,7,10703772,88104044,79436,8675596
9,2,10835468,90435564,77088,6212380
9,6,10835540,90657668,77228,5990204
10,1,10889820,82919824,77284,13673768
10,5,10815580,90160988,77492,6506844
