moment,node,buffer_cache,free,map,used
1,2,11439724,93632660,59864,2411028
1,3,11102952,93939920,59744,2440540
1,5,11519844,93483660,60504,2479908
1,4,11278288,93735424,59980,2469700
1,1,11028624,94045840,60160,2408948
1,6,12101992,92914628,60144,2466792
1,7,11501680,93545944,60000,2435788
2,2,11439456,93634028,60012,2409928
2,3,11102956,93939800,60052,2440656
2,4,11496060,93235812,72660,2751540
2,5,11651544,93355328,60176,2476540
2,1,11160736,93915016,60172,2407660
2,6,12145252,92868332,60144,2469828
2,7,11501768,93545968,60000,2435676
3,4,11496304,92535156,72744,3451952
3,2,11614180,92818584,72364,3050648
3,3,11277736,92686440,72736,3519236
3,5,11826604,92526188,72912,3130620
3,1,11335372,93093880,73424,3054160
3,6,12319896,92011960,72756,3151556
3,7,11676464,92719676,72660,3087272
4,4,11628664,91642624,76772,4212124
4,2,11746480,91941172,76856,3795760
4,3,11477600,91137172,79304,4868640
4,5,11959628,91520516,77024,4003268
4,1,11468508,92080240,77268,3934664
4,6,11929520,91679100,77268,3874792
4,7,11809676,91792700,77164,3881036
5,4,11632708,91357480,77692,4493224
5,3,11494628,89647384,79520,6341400
5,2,11749876,91652792,77116,4080744
5,5,11962744,91344684,77248,4175984
5,1,11471420,91872140,77316,4139852
5,6,11932572,91426616,77460,4124224
5,7,11813824,91537048,77188,4132540
6,3,11514448,88152544,79520,7816420
6,4,11635000,91004740,77240,4843672
6,2,11751500,91324964,77116,4406948
6,5,11964400,91065292,77440,4453720
6,1,11472992,91532592,77316,4477828
6,6,11934708,91035180,77280,4513524
6,7,11817492,91133296,77188,4532624
7,4,11632044,90252164,77240,5599204
7,3,11500828,86040940,79520,9941644
7,2,11750452,90655904,77116,5077056
7,5,11962012,90360828,77440,5160572
7,1,11471476,90665100,77316,5346836
7,6,11932756,90395108,77732,5155548
7,7,11817032,90470156,77188,5196224
8,4,11640236,90081424,77240,5761752
8,3,11542000,83545676,79520,12395736
8,1,11478656,90442428,77316,5562328
8,2,11758272,90357008,77116,5368132
8,5,11970184,90049404,77440,5463824
8,6,11939588,90085036,77280,5458788
8,7,11826892,90264316,77188,5392204
9,4,11586640,89958588,77240,5938184
9,3,11487876,81884040,79520,14111496
9,1,11468888,90232860,77316,5781664
9,2,11747768,90139552,77116,5596092
9,5,11960188,89865736,77440,5657488
9,6,11755076,90130576,77280,5597760
