moment,node,buffer_cache,free,map,used
1,2,8596992,96696196,59888,2190224
1,3,8754284,96423388,59976,2305740
1,4,8685508,96493980,60080,2303924
1,5,8504812,96666932,60092,2311668
1,6,8414700,96784356,60352,2284356
1,7,8244432,97001540,59932,2237440
1,1,8577636,96690724,60060,2215052
2,2,8597076,96696896,59888,2189440
2,3,8797040,96376648,59976,2309724
2,4,8685508,96494016,60080,2303888
2,5,8679364,96318432,72644,2485616
2,6,8546248,96654424,60052,2282740
2,7,8244432,97001804,59932,2237176
2,1,8753224,96509288,60060,2220900
3,2,8771816,96221040,72488,2490556
3,3,8972088,95910408,72588,2600916
3,4,8859948,96011796,72760,2611668
3,5,8679732,95622388,72728,3181292
3,6,8721464,96177776,72612,2584172
3,7,8419092,96559608,72520,2504712
3,1,8927652,96010844,72680,2544916
4,2,8904020,95526464,72492,3052928
4,4,8991964,95303112,72832,3188336
4,3,9103976,94870824,74880,3508612
4,6,8853520,95452016,72648,3177876
4,5,8878756,94638836,72948,3965820
4,7,8551716,95800156,72560,3131540
4,1,9059504,95254412,72680,3169496
5,2,8907872,94693820,77016,3881720
5,3,9112484,93299108,77132,5071820
5,4,8995564,94532748,77312,3955100
5,6,8856108,94634952,77168,3992352
5,5,8882400,93410940,79692,5190072
5,7,8553732,95048916,77088,3880764
5,1,9062160,94507268,77228,3913984
6,2,8915236,94294732,77016,4273444
6,3,9131404,91579676,77132,6772332
6,4,8998776,94221708,77312,4262928
6,6,8860464,94278284,77168,4344664
6,5,8892168,92946168,79692,5645076
6,7,8557920,94620472,77088,4305020
6,1,9066016,94092088,77228,4325308
7,2,8915872,93719552,77016,4847988
7,3,9122084,90117904,77132,8243424
7,4,8996272,93657844,77312,4829296
7,6,8858556,93774396,77168,4850460
7,5,8890784,91927664,79692,6664964
7,7,8555772,94051152,77088,4876488
7,1,9063544,93537412,77228,4882456
8,2,8917444,93531092,77016,5034876
8,3,9107980,88836284,77132,9539148
8,4,8994876,93375256,77312,5113280
8,6,8854964,93523244,77168,5105204
8,5,8892284,91574420,79696,7016708
8,7,8552904,93896940,77088,5033568
8,1,9061472,93349264,77228,5072676
9,3,9148824,87232384,77132,11102204
9,2,8929248,93327220,77016,5226944
9,4,9001988,93231580,77312,5249844
9,6,8863916,93367036,77168,5252460
9,5,8907148,91340100,79692,7236164
9,7,8561268,93752008,77088,5170136
9,1,9069484,93245216,77228,5168712
10,2,8929732,93207976,77016,5345704
10,3,9141920,85777844,77132,12563648
10,4,9000404,92871556,77312,5611452
10,6,8861372,93349764,77168,5272276
10,5,8906600,91339388,79692,7237424
10,7,8558080,93595864,77088,5329468
10,1,9066648,93141248,77228,5275516
11,2,8938092,92912688,77016,5632632
11,3,9168328,84331704,77132,13983380
11,4,9006236,92690048,77312,5787128
11,6,8867036,92949312,77168,5667064
11,5,8917700,90553740,79692,8011972
11,7,8564692,93153836,77088,5764884
11,1,9073076,92893892,77228,5516444
12,2,8758112,93068768,77016,5656532
12,3,9128996,84067908,77132,14286508
12,4,8997516,92418952,77312,6066944
12,6,8858392,92841188,77168,5783832
12,5,8909308,90482028,79692,8092076
12,7,8556024,93112488,77088,5814900
12,1,9064352,92845392,77228,5573668
13,2,8769384,92876972,77016,5837056
13,3,9168456,83307392,77132,15007564
13,4,9005480,92078752,77312,6399180
13,6,8867536,92836068,77168,5779808
13,5,8924988,90270876,79692,8287548
13,7,8564636,92928456,77088,5990320
13,1,9072596,92794568,77228,5616248
14,2,8764952,92699632,77016,6018828
14,3,8860836,83394456,77132,15228120
14,4,8866144,92217004,77312,6400264
14,5,8916688,89810344,79692,8756380
14,6,8815072,92601648,77168,6066692
14,7,8556384,92929700,77088,5997328
14,1,9021912,92518236,77228,5943264
15,2,8777216,92550472,77016,6155724
15,3,8893832,83392516,77132,15197064
15,4,8873472,91900176,77312,6709764
15,6,8822284,92577780,77168,6083348
15,5,8931876,89790276,79692,8761260
15,1,9028856,92443388,77228,6011168
15,7,8563112,92762524,77088,6157776
16,2,8775972,92343064,77016,6364376
16,3,8888020,83224468,77132,15370924
16,4,8871552,91897916,77312,6713944
16,6,8821196,92419604,77168,6242612
16,5,8931664,89610332,79692,8941416
16,1,9026316,92418184,77228,6038912
16,7,8562440,92518680,77088,6402292
17,2,8785944,92117852,77016,6579616
17,3,8921776,83105676,77132,15455960
17,4,8877560,91645172,77312,6960680
17,6,8827048,92230576,77168,6425788
17,5,8942672,89599592,79464,8941148
17,1,9033608,92243888,77228,6205916
17,7,8569292,92409820,77088,6504300
18,2,8775524,92136068,77016,6571820
18,3,8873220,83136384,77132,15473808
18,6,8812616,92156428,77168,6514368
18,4,8863860,91652040,77312,6967512
18,1,9018356,92053960,77228,6411096
18,7,8553092,92422444,77088,6507876
18,5,8923124,89106896,79692,9453392
19,2,8780508,92018924,77020,6683980
19,3,8858736,83193484,77132,15431192
19,6,8815040,92115256,77168,6553116
19,4,8865736,91552644,77312,7065032
19,1,9020900,92028544,77228,6433968
19,7,8555940,92188724,77088,6738748
19,5,8931668,89102776,79692,9448968
20,2,8783344,92001588,77016,6698480
20,3,8856752,83234500,77132,15392160
20,6,8814108,92024948,77168,6644356
20,4,8863716,91503860,77312,7115836
20,1,9020084,91973876,77228,6489452
20,7,8555224,92194380,77088,6733808
20,5,8934076,88841176,79692,9708160
21,2,8794632,92023188,77016,6665592
21,3,8895128,83185016,77132,15403268
21,6,8821804,92108240,77168,6553368
21,4,8872668,91568264,77312,7042480
21,1,9028000,92014944,77228,6440468
21,7,8563076,92012388,77088,6907948
21,5,8948612,88833140,79692,9701660
22,2,8804048,92006220,77020,6673144
22,3,8915416,83332684,77132,15235312
22,6,8827424,92105584,77168,6550404
22,4,8877716,91588920,77312,7016776
22,1,9033480,92040960,77228,6408972
22,7,8568512,91996768,77088,6918132
22,5,8960872,88997788,79692,9524752
23,2,8798224,92035028,77040,6650160
23,3,8872880,83491380,77132,15119152
23,6,8817928,92178948,77168,6486536
23,4,8867668,91581728,77312,7034016
23,1,9023292,92051632,77228,6408488
23,7,8558616,92047376,77088,6877420
23,5,8950536,89023392,79692,9509484
24,2,8810460,92016860,77024,6656092
24,3,8914828,83545476,77132,15023108
24,6,8825744,92222040,77168,6435628
24,4,8876552,91605584,77312,7001276
24,1,9031712,92052176,77228,6399524
24,7,8566784,92041044,77088,6875584
24,5,8965880,88847348,79692,9670184
25,2,8804960,92064748,77024,6613704
25,3,8870680,83512036,77132,15100696
25,6,8818160,92279916,77168,6385336
25,4,8867868,91608876,77312,7006668
25,1,9023480,92067104,77228,6392828
25,5,8956972,88899144,79692,9627296
25,7,8558776,92066820,77088,6857816
26,2,8815464,92080724,77024,6587224
26,3,8900364,83614368,77132,14968680
26,7,8565052,92123444,77088,6794916
26,4,8873324,91646548,77312,6963540
