moment,node,recv_packets,send_bytes,send_packets
1,2,58,30399,61
1,3,1501,96088404,1936
1,5,38,11267,42
1,4,57,22771,60
1,1,56,25984,58
1,7,61,15234,64
1,6,38,33077,43
2,2,8870,135919360,7489
2,3,3148,44484661,2423
2,5,6706,135844202,7169
2,4,17,5984,23
2,1,16,5982,23
2,7,2640,44554272,2644
2,6,4915,195063,2879
3,2,7590,406737028,8898
3,3,4491,44535035,3103
3,5,3494,135619135,3551
3,4,4882,210150,2878
3,1,4861,191536,2819
3,7,6213,133308219,4808
3,6,277,153692,301
4,3,948,102487,787
4,2,1329,123350,988
4,5,982,149458,830
4,4,718,79068,639
4,1,1492,123567,1064
4,7,3254,280417,1348
4,6,1327,129081,1040
5,3,3771,1095818,2073
5,2,3506,1218587,1990
5,5,3214,1888412,2078
5,1,3000,1238621,1674
5,4,3549,1213032,2121
5,7,9117,1489417,6250
5,6,5196,1846048,2862
6,3,3764,13377778,4004
6,2,3689,12959561,3986
6,5,3840,12057504,3958
6,1,3739,12232745,3930
6,4,3863,13402662,4064
6,7,22071,18606761,21356
6,6,5744,20163924,6264
7,3,1064,6966230,1092
7,2,1054,6702106,1203
7,1,1252,10769396,1260
7,5,1479,17172024,1464
7,4,1198,6907713,1195
7,7,4109,14812613,3682
7,6,1780,10489348,1774
8,3,992,12299806,949
8,2,935,8262848,1009
8,1,1137,12100307,1195
8,5,1159,15386647,1151
8,4,1174,12671803,1222
8,7,3479,4657683,2863
8,6,1565,18587472,1564
9,3,797,5925103,777
9,2,616,209200,608
9,1,598,279469,581
9,5,630,783807,621
9,7,1401,4388545,1042
9,4,789,3075726,743
9,6,1042,7335202,989
10,3,875,12115751,872
10,2,848,11751157,854
10,1,791,9873245,769
10,5,1009,14549117,1011
10,7,3179,549304,2650
10,4,837,9185917,814
10,6,1331,16991254,1305
11,3,945,11232894,918
11,2,1004,10852650,965
11,1,935,11339218,875
11,5,1060,12566698,1048
11,7,3740,3182506,3117
11,4,1121,13854198,1123
11,6,1455,17261599,1481
12,3,653,10409714,631
12,2,689,11614313,701
12,1,665,11215539,635
12,5,699,11729967,706
12,7,3357,476576,3012
12,4,688,11167200,658
12,6,1030,17695586,1015
13,3,703,9454326,671
13,2,541,2109780,540
13,1,801,8447786,777
13,5,666,7305131,661
13,7,1569,350815,1354
13,4,639,2477103,627
13,6,826,3367185,835
14,3,848,6732765,857
14,2,974,7519161,971
14,1,831,7788183,853
14,5,930,8096562,930
14,7,3032,4452901,2506
14,4,838,7368039,816
14,6,1535,21607316,1544
15,3,889,4325225,912
15,2,998,8099939,963
15,1,889,5230985,880
15,5,1008,9827742,1037
15,7,2773,14612341,2422
15,4,962,7599130,1014
15,6,1512,7624461,1472
16,1,749,3958669,836
16,3,742,3229055,806
16,2,769,3794129,821
16,5,902,4777091,943
16,7,3564,1199494,3402
16,4,728,3724659,803
16,6,1173,5360675,1239
17,1,3348,14940385,3676
17,3,3346,12955559,3619
17,2,3293,12871663,3667
17,5,3544,19254530,3839
17,7,21994,10398609,19105
17,4,3339,13200159,3654
17,6,4988,22602891,5486
18,1,1082,9924503,1096
18,3,1222,14834182,1223
18,2,915,6242436,903
18,5,1045,7479541,1038
18,7,2768,3308592,2302
18,4,1046,6297689,1049
18,6,1632,15296749,1615
19,1,813,8678358,818
19,3,962,13453167,981
19,2,813,7954115,834
19,5,943,9149841,946
19,7,3022,4633407,2465
19,4,913,7938288,931
19,6,1638,23503704,1590
20,1,921,11714503,891
20,3,961,10779677,967
20,2,962,10936007,959
20,7,3680,492120,3070
20,5,1078,15214014,1083
20,4,1032,10728396,1004
20,6,1578,22407567,1571
21,1,490,178387,498
21,3,508,335860,515
21,2,570,4392975,567
21,7,843,244680,706
21,5,688,6114573,695
21,4,500,3319512,544
21,6,770,470496,756
22,1,715,13772831,712
22,3,713,12901528,705
22,2,695,12873005,717
22,7,3574,354297,3205
22,5,764,14035415,761
22,4,724,13246212,732
22,6,1059,19851126,1050
23,1,346,141912,342
23,7,989,8803573,850
23,3,433,4407083,432
23,2,349,176953,345
23,5,437,704474,429
23,4,431,215069,426
23,6,746,8848683,747
24,1,906,17387233,943
24,7,4746,478680,4332
24,3,894,16364849,934
24,2,885,16954983,949
24,5,921,17677824,965
24,4,871,16787001,879
24,6,1322,25641147,1355
25,1,510,3054900,490
25,3,331,195738,336
25,7,717,4399518,614
25,2,378,98765,388
25,5,498,4711879,514
25,4,945,14471943,1022
25,6,870,4419369,850
26,1,924,17674783,941
26,3,963,16993611,1009
26,7,5084,512623,4710
26,2,910,17278706,912
26,5,968,18030624,996
26,4,932,17536973,982
26,6,1399,26424185,1374
27,1,674,4400084,648
27,7,740,162257,568
27,3,480,186607,467
27,2,559,288423,558
27,5,595,3353930,598
27,4,641,3130747,629
27,6,895,6065382,867
28,1,647,10557278,685
28,3,641,9825135,634
28,7,2987,383563,2738
28,2,629,10319986,647
28,5,679,10383021,696
28,4,632,10157971,657
28,6,902,15230988,915
29,1,597,3880969,584
29,3,603,3626459,677
29,7,1901,4489948,1680
29,2,657,9551940,668
29,5,579,4329574,670
29,4,572,3660598,548
29,6,855,10283927,840
30,1,584,10018719,606
30,3,581,8587086,569
30,7,2743,323130,2446
30,5,656,9772871,663
30,2,604,9824906,624
30,4,629,9060491,610
30,6,835,14165661,867
