moment,node,recv_packets,send_bytes,send_packets
1,5,1608,92958677,1846
1,2,58,26869,62
1,3,58,52682,60
1,4,36,11647,42
1,1,37,10880,40
1,7,57,26660,60
1,6,79,48383,76
2,2,3325,44628310,2648
2,5,32,6733,38
2,3,6410,135658163,7113
2,4,20,4628,26
2,1,11116,180357754,9964
2,7,5537,197497,2855
2,6,19,4851,24
3,2,5213,89099672,4051
3,5,4921,196346,2684
3,3,7327,406794295,8609
3,4,4815,206980,2819
3,7,252,101480,271
3,1,3559,224263423,4569
3,6,4997,246861,2921
4,4,1933,287561,1420
4,1,6268,677854,3778
4,3,2047,184787,1587
4,5,1997,167100,1623
4,2,2084,234570,1614
4,7,5107,247809,2640
4,6,2044,247941,1590
5,1,18593,5043677,17348
5,4,4271,4971720,3291
5,3,4307,5066405,3376
5,5,4024,5239157,3319
5,7,6814,7901025,5376
5,2,4556,5373214,3477
5,6,4528,7036914,3667
6,1,5215,1548596,5250
6,4,1739,8977307,1980
6,3,1568,6329234,1677
6,5,1575,4935674,1629
6,7,2836,8271934,2612
6,2,1684,6087018,1799
6,6,1742,6956778,1820
7,1,3689,703859,4002
7,4,1259,9890807,1488
7,3,1150,9997364,1491
7,5,1323,10822524,1677
7,7,2412,15404985,2402
7,2,1249,10774359,1482
7,6,1512,13116739,1744
8,1,2062,537763,2308
8,4,1198,9128932,1338
8,3,1027,5628321,1142
8,5,1213,10450753,1313
8,7,2047,8697563,1814
8,2,1109,5575228,1191
8,6,1270,7656984,1315
9,1,4247,5036962,5120
9,4,1515,13133585,1590
9,3,1456,14838398,1625
9,5,1611,18851531,1656
9,7,2802,23007075,2456
9,2,1473,15774219,1545
9,6,1625,15816376,1573
10,1,2032,460630,2327
10,5,701,6070912,674
10,4,917,7001458,920
10,3,776,6136534,804
10,7,1819,9096814,1418
10,2,830,6089445,838
10,6,908,10695324,879
11,5,723,4504182,755
11,1,1743,431440,1960
11,4,724,4483810,714
11,3,730,4595935,734
11,7,1808,10884502,1425
11,2,636,4595964,647
11,6,855,5690748,827
12,5,1407,9656610,1476
12,1,2630,2297861,2929
12,4,1360,4950827,1436
12,3,1209,5269759,1283
12,7,2962,12512320,2560
12,2,1414,4930060,1418
12,6,1453,6739672,1463
13,5,2326,5896239,2512
13,1,13393,3809173,12569
13,4,2495,9369231,2645
13,3,2256,5212871,2545
13,7,3738,8325129,3883
13,2,2409,5492727,2584
13,6,2643,7761177,2832
14,1,11559,3349850,10842
14,5,2637,10731003,2767
14,4,2584,10563702,2683
14,3,2680,14449841,2904
14,7,4464,19861584,4264
14,2,2636,11232894,2719
14,6,2893,14577322,3057
15,1,1720,400634,1842
15,5,836,10145231,893
15,3,690,5320457,715
15,4,676,5197637,799
15,7,1486,8087200,1205
15,2,749,6085039,728
15,6,805,6493336,787
16,1,2626,1189349,2845
16,5,1330,10464352,1283
16,3,1235,6392559,1208
16,4,1370,10519778,1370
16,6,1450,8920380,1402
16,7,2624,18714382,2144
16,2,1290,6585816,1317
17,1,2385,501359,2569
17,5,816,7877776,804
17,3,810,7933397,785
17,4,932,8325267,861
17,6,1027,9175111,990
17,7,1760,11894020,1329
17,2,767,8037731,736
18,1,2995,407391,3293
18,3,807,9807054,802
18,5,829,10351654,924
18,4,863,9303724,829
18,6,1015,14679331,1054
18,7,1328,14562619,1268
18,2,868,9813242,861
19,1,3199,505677,3705
19,3,711,10924807,820
19,5,714,10868772,837
19,4,729,10682734,784
19,6,825,11855525,909
19,7,1221,16479381,1189
19,2,682,10958235,753
20,1,2390,993311,2705
20,3,801,7008546,854
20,5,836,6881680,823
20,4,815,6708108,876
20,6,929,7850952,1022
20,7,1620,10646793,1268
20,2,718,6542936,734
21,1,1942,325910,2166
21,3,790,5072669,789
21,5,775,6050755,760
21,4,856,9267852,839
21,6,822,5676920,809
21,7,1379,7784234,1180
21,2,748,5533585,745
22,1,2610,445826,3003
22,5,623,8687716,609
22,3,633,8791777,621
22,4,624,8407434,627
22,6,728,9335209,703
22,7,1100,13370359,992
22,2,614,8909799,590
23,1,2451,507016,2697
23,5,1261,12276988,1282
23,3,957,6384186,939
23,4,1083,5886158,1066
23,2,1091,6731731,1159
23,6,1272,8967261,1309
23,7,2173,10195660,1731
24,1,2858,748936,3336
24,5,1246,11348962,1269
24,3,982,7106649,1062
24,4,1116,6940129,1157
24,2,1046,6834010,1062
24,6,1300,8898351,1372
24,7,2069,12084752,1886
25,1,1730,512999,1892
25,5,1105,6801496,1163
25,3,1144,3604724,1213
25,4,1138,2396869,1163
25,7,2147,4165848,1707
25,2,1164,2982357,1311
25,6,1298,8158212,1345
26,1,2116,5067955,2343
26,5,980,2814599,1118
26,3,921,2059156,1004
26,4,958,2006525,1028
26,7,1927,3459819,1641
26,2,970,2112546,1002
26,6,1189,3906399,1266
27,1,20499,6054393,18061
27,5,3595,14902007,4060
27,3,3483,10009963,3992
27,4,3634,9415594,4010
27,7,5404,15134806,5723
27,2,3425,9980357,3926
27,6,3839,12409605,4126
28,1,3029,4825005,3188
28,5,1058,10231028,1119
28,3,1016,9504503,1092
28,7,1870,14464888,1619
28,4,1012,9355511,1067
28,2,1050,9989302,1109
28,6,1239,11602985,1260
29,1,2470,1709040,2654
29,5,1131,6940154,1161
29,3,1142,11172209,1167
29,7,1974,10777818,1686
29,4,1165,10517796,1163
