moment,node,recv_packets,send_bytes,send_packets
1,2,62,26024,63
1,3,62,35728,63
1,5,36,18331,41
1,4,58,39621,60
1,1,40,33436,46
1,6,63,26889,66
1,7,38,33580,44
2,2,60,149998,68
2,3,18,5232,24
2,4,6711,91169976,5617
2,5,4576,347619,4610
2,1,11031,271349780,9808
2,6,3019,44485288,2435
2,7,29,6147,37
3,4,3011,177562445,3767
3,2,5083,399546,2935
3,3,5079,265966,2994
3,5,7706,406588028,8866
3,1,3416,135572863,3501
3,6,4433,44551491,3198
3,7,5580,276753,2925
4,4,2097,230043,1820
4,2,2025,216961,1813
4,3,7593,809142,3993
4,5,2402,256084,1545
4,1,2097,256880,1766
4,6,2051,186732,1700
4,7,3354,222731,1602
5,4,3974,3211164,3105
5,3,16502,4202559,15407
5,2,3960,2618267,3020
5,5,3447,2977166,2867
5,1,4012,2924343,2979
5,6,3961,3037609,2977
5,7,4069,2614121,3112
6,3,6605,3955184,7048
6,4,1982,5657757,2267
6,2,1898,4920637,2220
6,5,1794,5360168,2132
6,1,1846,5237151,2119
6,6,1840,5302784,2142
6,7,2236,4800785,2229
7,4,1683,10517278,1954
7,3,5364,3061291,6095
7,2,1708,9469891,1932
7,5,1751,10046120,1983
7,1,1682,9810841,2039
7,6,1648,9990316,2028
7,7,2122,9253697,2210
8,4,1254,8604859,1353
8,3,4224,2520186,4948
8,1,1259,8016750,1411
8,2,1272,8033720,1347
8,5,1433,10700325,1572
8,6,1237,8085897,1442
8,7,1595,7777680,1393
9,4,1543,6502638,1697
9,3,4240,2839238,4838
9,1,1559,6061653,1723
9,2,1544,6061731,1636
9,5,1508,6261011,1618
9,6,1502,6179623,1773
9,7,2069,5754012,1854
10,4,3915,6692986,4293
10,3,22301,7819030,21464
10,1,3896,6034199,4202
10,2,3919,5411491,4215
10,5,3916,6253151,4244
10,6,3895,6309309,4283
10,7,4182,5434472,4273
11,4,1766,9487737,1897
11,3,4981,3617813,5609
11,2,1693,8355199,1828
11,1,1728,8855158,1919
11,5,1756,8971472,1882
11,6,1753,9150191,1983
11,7,2231,8309857,1949
12,4,1352,10327006,1408
12,3,4630,2500691,5621
12,2,1385,9548054,1434
12,1,1380,9871963,1528
12,5,1366,10043363,1406
12,6,1402,10131814,1477
12,7,1680,9457066,1445
13,4,1340,11013039,1364
13,3,5233,2259475,6209
13,2,1350,10504275,1505
13,1,1301,10391801,1382
13,5,1360,10833940,1373
13,6,1351,10518718,1408
13,7,1585,10367064,1347
14,4,1157,7596021,1169
14,3,3868,1603129,4568
14,2,1132,7004991,1153
14,1,1132,7090555,1128
14,5,1144,7312647,1132
14,6,1160,7349298,1168
14,7,1298,6698306,1117
15,4,1231,7050488,1302
