moment,node,recv_packets,send_bytes,send_packets
1,2,38,11592,41
1,3,57,26833,60
1,4,37,12312,41
1,5,1379,86945856,1716
1,6,58,16078,60
1,7,36,24719,38
1,1,65,29807,67
2,2,61,93154,71
2,3,1395,129333,1744
2,4,15,4317,22
2,5,4922,228345,2869
2,6,11578,271403486,10479
2,7,16,5122,23
2,1,8559,89238138,8458
3,2,4975,303166,2890
3,3,5123,88710612,3864
3,4,4863,206434,2822
3,5,305,414848,346
3,6,7590,406518491,8830
3,7,5564,201040,2945
3,1,3600,224260501,4573
4,2,2024,172468,1593
4,4,1834,131712,1379
4,3,4158,554371,2182
4,6,1820,223796,1561
4,5,2773,287251,2361
4,7,3413,139841,1370
4,1,1898,160457,1377
5,2,3728,1790113,3384
5,3,21419,3405525,18004
5,4,3665,1842940,3259
5,6,3830,1919662,3388
5,5,5710,3751177,5171
5,7,3720,1778731,3439
5,1,3708,1766700,3447
6,2,2394,7413579,2716
6,3,7010,2063013,7980
6,4,2348,7445755,2603
6,6,2229,7528190,2560
6,5,3585,14502526,4170
6,7,2804,7333680,2727
6,1,2168,7186802,2373
7,2,2098,5972072,2187
7,3,5172,1585791,6209
7,4,1903,5543758,1983
7,6,1905,5797257,2056
7,5,3051,11516216,3188
7,7,2333,5803337,2115
7,1,1888,5782082,1996
8,2,4736,5066675,5113
8,3,24486,4940869,23380
8,4,4519,4894811,4902
8,6,4478,5251764,5076
8,5,7296,11682697,7936
8,7,4958,4907209,4983
8,1,4492,4981787,4969
9,3,6129,1892941,7569
9,2,2215,8880709,2273
9,4,2032,8830088,2115
9,6,2073,9040155,2246
9,5,3556,17129556,3698
9,7,2584,8843233,2161
9,1,2000,8705168,2128
10,2,2062,7459169,2069
10,3,6636,1498209,7855
10,4,1896,7274042,1893
10,6,1951,7335715,2026
10,5,3190,13140629,3214
10,7,2201,7330765,1905
10,1,1920,7262297,1946
11,2,1787,7244079,1761
11,3,6345,1481920,7612
11,4,1675,6961779,1711
11,6,1725,7318645,1752
11,5,2779,12881785,2752
11,7,1967,7086783,1653
11,1,1688,7126325,1729
12,2,4954,6662723,5389
12,3,25207,5220317,23923
12,4,4678,6440990,5141
12,6,4651,6631851,5169
12,5,7703,14481476,8624
12,7,5169,6355688,5193
12,1,4673,6332823,5218
13,2,2266,10244064,2238
13,3,6455,1819783,8539
13,4,2065,10131741,2004
13,6,2082,10398769,2096
13,5,3636,18614713,3684
13,7,2530,10221736,2051
13,1,2003,10121777,2074
14,2,2376,7874838,2318
14,3,6230,1787891,7990
14,4,2252,7551693,2190
14,5,3741,14697188,3669
14,6,2215,7735393,2239
14,7,2559,7673738,2124
14,1,2162,7643188,2209
15,2,4197,6102990,4843
15,3,23198,5092547,21263
15,4,4183,6998741,4843
15,6,4104,7342865,5014
15,5,7195,16152218,7924
15,1,4004,7198267,4808
15,7,4572,7084752,4581
16,2,2434,11775358,2455
16,3,6063,1757048,7937
16,4,2147,8297350,2098
16,6,2140,8410894,2223
16,5,3527,14853401,3450
16,1,2073,8020076,2146
16,7,2526,8208321,2116
17,2,2093,10777214,2016
17,3,8445,1615063,10563
17,4,1937,10576320,1840
17,6,1912,10739603,1887
17,5,3214,17653339,3077
17,1,1927,10671913,1863
17,7,2220,10613996,1860
18,2,2177,6605905,2178
18,3,6082,1558393,7479
18,6,2056,6505367,2127
18,4,2046,6384638,2043
18,1,2067,6591413,2119
18,7,2432,6335861,2071
18,5,3456,12394315,3487
19,2,4327,4749619,4919
19,3,23948,4979711,22243
19,6,4135,4977006,4739
19,4,4104,4658724,4649
19,1,4049,4634264,4647
19,7,4583,4678001,4671
19,5,6821,11881911,7777
20,2,2573,8281962,2685
20,3,5753,2095816,7153
20,6,2394,8324731,2600
20,4,2326,8158682,2410
20,1,2372,8141142,2598
20,7,2927,8090755,2532
20,5,4134,16696927,4451
21,2,2091,10325743,2051
21,3,7103,1700870,8967
21,6,1900,10302909,1924
21,4,1925,10046668,1916
21,1,1943,10230686,1989
21,7,2334,10210730,1947
21,5,3449,18097123,3293
22,2,1982,5242705,2046
22,3,4639,1786510,5840
22,6,1745,5065988,1880
22,4,1725,4873736,1768
22,1,1745,5061210,1881
22,7,2208,4953863,1834
22,5,3132,11552459,3357
23,2,4903,7574591,5543
23,3,24530,5171186,22471
23,6,4568,7834304,5615
23,4,4544,7507555,5238
23,1,4503,7321870,5286
23,7,5102,7349934,5254
23,5,7724,16302599,8740
24,2,1982,9454872,2001
24,3,5947,1751581,7789
24,6,1844,9419367,1879
24,4,1815,9223308,1876
24,1,1767,9173761,1744
24,7,2222,9369585,1878
24,5,3345,17143350,3334
25,2,2284,7327265,2325
25,3,5589,1659810,7007
25,6,2173,7286387,2206
25,4,2091,6982635,2133
25,1,2068,7127340,2082
25,5,3644,14020437,3643
25,7,2449,7059356,2103
26,2,4348,7367941,5090
26,3,23227,5079715,20884
26,7,4329,6571476,4615
26,4,3947,6632613,4771
26,6,4005,6994633,5012
26,1,3923,6636685,4802
26,5,6831,15171249,8009
27,2,2436,8688466,2454
27,3,5826,1735387,7304
27,7,2679,8587903,2361
27,5,3874,16228580,4010
27,4,2219,8606812,2296
27,1,2248,8614693,2327
27,6,2227,8805123,2365
28,2,2168,8841110,2144
28,3,6032,1954232,7911
28,7,2292,8647005,1947
28,5,3478,16760275,3506
28,4,1892,8427342,1945
28,1,1879,8630081,1887
28,6,1952,8817672,2063
29,2,4907,6201152,5521
29,3,24574,5338801,22655
29,7,5128,5949633,5317
29,5,7629,14373083,8742
29,4,4548,6110960,5277
29,1,4614,6053717,5282
29,6,4618,6344301,5320
30,2,1892,7909318,1929
30,3,4899,1770959,6306
30,7,2154,7904448,1792
30,5,3081,15637188,3313
30,4,1734,7979528,1876
30,1,1728,7895421,1793
30,6,1717,8149265,1897
31,2,2537,10985294,2453
31,3,7816,1780191,9717
31,7,2768,10751170,2372
31,5,4059,19007134,3889
31,4,2395,10732501,2460
31,1,2402,10857876,2399
31,6,2462,11018223,2592
32,2,4198,6598247,4615
32,3,23713,4778599,21931
32,7,4171,6170556,4460
32,4,3835,6311347,4470
32,5,6619,13731853,7274
32,1,3860,6285490,4522
32,6,3886,6494699,4518
33,2,2633,9745987,2720
33,3,5908,1946137,7274
33,4,2425,9741325,2665
33,7,2874,9564728,2503
33,5,4216,19058680,4688
33,1,2366,9475794,2498
33,6,2422,10044446,2780
34,2,2058,8842393,2071
34,3,5755,1748783,7267
34,4,1829,8452982,1937
34,7,2299,8523029,1901
34,5,3386,16499519,3404
34,1,1926,8713741,1961
34,6,1881,8827714,2007
35,2,3817,5681815,4328
35,3,17958,4088240,16727
35,5,6239,13403921,6866
35,4,3477,5502471,4093
35,7,3956,5609556,4052
35,1,3555,5661521,4119
35,6,3654,5848694,4241
36,2,2766,8070641,3132
36,3,10128,2852669,10415
36,5,4488,16802585,4964
36,4,2489,8059476,2797
36,7,3084,7888826,2836
36,1,2511,7769375,2786
36,6,2529,8344469,3370
37,3,7366,1728318,9146
37,2,2450,10902634,2444
37,1,2247,10728752,2224
37,5,3842,18855037,3859
37,7,2544,10617404,2232
37,4,2226,10684187,2267
37,6,2247,11011012,2307
38,3,5347,1673973,6683
38,2,1914,7268298,1935
38,5,3219,14365637,3287
38,1,1717,7084342,1833
38,4,1799,7039795,1888
38,7,2263,7144381,1849
38,6,1820,7347554,1951
39,3,23192,4979946,20442
39,2,4476,5210747,5283
39,6,4333,5650556,5370
39,5,7277,13960284,8307
39,1,4184,5137544,4947
39,4,4170,5238650,5066
39,7,4645,5147236,4882
40,3,5634,1796643,7191
40,2,1960,9907889,2018
40,6,1860,10031006,2121
40,5,3379,18435077,3550
40,1,1816,9682628,1898
40,4,1817,9809822,1937
40,7,2284,9744290,1911
41,3,6518,1617153,8005
41,2,2156,8943072,2107
41,6,2058,8876162,2100
41,5,3506,15881420,3427
41,1,1991,8676975,1938
41,4,2000,8749785,2038
41,7,2305,8655273,2045
42,3,14631,3704460,13634
42,2,3158,5175122,3663
42,6,3115,5359261,3666
42,5,5407,12233231,5977
42,1,3126,5427599,3678
42,4,3041,5025803,3696
42,7,3512,5121257,3544
43,2,3281,8677421,3699
43,3,13940,3383626,13432
43,6,3518,11792500,4106
43,5,6911,148480972,8096
43,1,3474,12786315,3876
43,4,3043,8556094,3554
43,7,3630,8377089,3470
44,3,7349,1706614,8971
44,2,1884,10619323,1897
44,6,2144,10899650,2180
44,5,3139,16132729,3202
44,1,2178,13406931,2161
44,4,1923,10672828,2038
44,7,2294,10719962,2047
45,3,6372,1410371,7609
45,2,1894,7410612,1951
45,6,2034,7195820,2079
45,5,2924,10854386,2988
45,1,2123,9121714,2076
45,4,1907,7012183,1941
45,7,2155,7087118,1917
46,3,25267,4922463,23440
46,2,4244,7229019,4720
46,6,4502,7349914,5209
46,5,6482,10810431,7485
46,1,4638,11324687,5195
46,4,4189,7007267,4777
46,7,4581,6984578,4749
47,3,6424,1879168,7972
47,2,2240,10391708,2309
47,6,2438,10502012,2572
47,5,3555,15595567,3713
47,1,2652,13683151,2710
47,4,2177,10361311,2287
47,7,2587,10166127,2288
48,3,5871,1519345,7295
48,2,1705,7993919,1688
48,6,1897,8203378,1870
48,5,2689,11942394,2768
48,1,1977,10485863,1943
48,7,2025,7951355,1750
48,4,1646,7829490,1699
49,3,24028,5010073,21418
49,2,4330,7803873,5100
49,6,4621,7968340,5540
49,5,6654,11403227,7673
49,1,4767,12494955,5559
49,7,4525,7412056,4917
49,4,4181,7382035,4991
50,3,5923,1900588,7316
50,2,2197,9503749,2306
50,6,2515,9778142,2904
50,5,3550,14330603,3752
50,1,2657,13239914,2759
50,7,2648,9345191,2348
50,4,2208,9505359,2357
51,3,5215,1420908,6415
51,2,1455,7581202,1450
51,6,1710,7584682,1770
51,5,2459,11184533,2562
51,1,1803,9954929,1799
51,4,1532,7456068,1583
51,7,1884,7392958,1588
52,3,19401,4271828,17081
52,2,3866,5208716,4626
52,6,4096,5339394,4873
52,5,6082,7772067,7117
52,1,4341,10135384,5085
52,4,3725,5033421,4512
52,7,4152,4991857,4460
53,3,9337,2629884,9581
53,2,2499,8608484,2760
53,6,2746,8791085,3016
53,5,3871,13023010,4437
53,1,2981,12813500,3221
53,4,2464,8519643,2705
53,7,2983,8448054,2668
54,3,6282,1598117,7657
54,2,1706,9615071,1721
54,6,1890,9718753,1964
54,5,2828,14593762,2879
54,1,1990,12387401,1997
54,4,1716,9611200,1751
54,7,2042,9494823,1773
55,3,5780,1604118,7077
55,2,1923,7469458,1937
55,6,2180,7501985,2217
55,4,1914,7198266,1970
55,5,3028,11122707,3065
55,1,2247,10087899,2175
55,7,2281,7163384,1938
56,3,22599,4689553,19581
56,2,3702,4988772,4434
56,6,3911,5045696,4756
56,4,3657,4999724,4450
56,5,5843,7666969,7013
56,1,4178,9740366,5047
56,7,4001,4970308,4409
57,3,6414,2244172,7724
57,2,2418,9934510,2647
57,5,3866,15201774,4361
57,6,2737,10304217,3123
57,4,2408,9874143,2598
57,1,2946,14453178,3135
57,7,2952,9813422,2656
58,3,6382,1577368,7715
58,2,1959,8945647,1946
58,6,2053,8965120,2062
58,5,3045,13375352,2992
58,4,1890,8846208,1919
58,1,2175,11265811,2173
58,7,2130,8636088,1894
59,3,4824,2009648,5923
59,2,1682,6107280,1742
59,6,1879,6026680,2021
59,5,2597,8885653,2827
59,4,1606,5802254,1718
59,7,1964,5880623,1653
59,1,2025,9665693,2129
60,3,23817,4687404,20394
60,2,4215,9657581,5044
60,6,4390,10288939,5431
60,5,6539,14721182,7736
60,4,4024,9492861,5026
60,7,4430,9392099,4877
60,1,4531,14243910,5433
61,3,5917,1496985,7287
61,2,1616,8631380,1594
61,6,1796,8507985,1930
61,5,2537,13050473,2536
61,4,1614,8637337,1747
61,7,1890,8563334,1659
61,1,1807,10738110,1850
62,3,6073,1641136,7356
62,2,1943,7899085,1940
62,6,2190,7943013,2208
62,5,3080,11749309,3100
62,4,1991,7687442,2084
62,7,2282,7729480,2011
62,1,2249,10544661,2290
63,3,24206,4879633,21118
63,2,4252,8852213,5010
63,6,4422,9154720,5389
63,5,6645,13472297,7930
63,4,4121,8659040,5019
63,1,4621,13620951,5521
63,7,4479,8609655,4900
64,3,5468,1649373,6768
64,2,1712,9107943,1740
64,6,1908,9354625,1988
64,5,2718,13817906,2921
64,4,1688,9159478,1780
64,1,2027,12218593,2095
64,7,1980,9064076,1707
65,3,5821,1620394,7077
65,2,1893,7525234,1957
65,6,2108,7682088,2222
65,5,3030,11304530,3034
65,4,1908,7448983,1996
65,1,2186,10337039,2190
65,7,2303,7345457,2031
66,3,5424,1977157,6682
66,2,2176,6079317,2247
66,6,2502,6116510,2614
66,5,3456,10299183,3665
66,4,2202,5860237,2299
66,1,2649,10417867,2727
66,7,2578,5852279,2265
67,3,23898,4819469,21186
67,2,4185,7820226,4971
67,6,4546,8235338,5382
67,4,4217,7876538,5088
67,5,6558,12082511,7682
67,1,4626,12384292,5328
67,7,4662,7715042,5040
68,3,6571,1682073,8011
68,2,1756,9930913,1856
68,6,2009,10135567,2050
68,4,1757,9818303,1906
68,5,2875,15047370,3030
68,1,2076,12679070,2095
68,7,2130,9859082,1894
69,3,6274,1513671,7679
69,2,1899,7648533,2020
69,6,2038,7610869,2091
69,4,1871,7477108,1897
69,5,2948,11359291,2993
69,1,2139,10003373,2116
69,7,2195,7503264,1953
70,3,4692,1786565,5760
70,2,1920,4763833,2032
70,6,2193,4771455,2339
70,4,1956,4445611,2048
70,5,3026,7136669,3219
70,1,2343,8500237,2410
70,7,2361,4490637,2050
71,3,22269,4573779,18730
71,2,3672,6070117,4521
71,6,3962,6499370,5127
71,5,5693,9596149,6916
71,4,3640,6075360,4548
71,1,4035,10743818,4975
71,7,3991,6010672,4367
72,3,6126,1765140,7463
72,2,1991,9459414,2020
72,6,2257,9649985,2360
72,5,3144,14378566,3304
72,4,2032,9468112,2115
72,7,2357,9279780,2064
72,1,2370,13282757,2394
73,3,6772,1685582,8109
73,2,1912,9043134,1913
73,6,2107,9056867,2154
73,5,2959,13255552,2955
73,4,1953,8873980,1974
73,7,2246,8884574,1932
73,1,2176,11279819,2142
74,3,8154,1737447,7010
74,2,4255,6397895,2642
74,6,4452,6383502,2934
74,5,6976,9496118,4317
74,4,5804,6260720,3089
74,7,4478,6179527,2662
74,1,5356,9756890,3310
