moment,node,load5,load10,load15,procs
1,4,22.16,16.69,9.42,503
1,5,35.41,29.8,16.43,501
1,3,10.83,10.66,6.75,495
1,2,6.87,9.89,6.56,497
1,6,19.73,15.65,9.08,497
1,1,7.74,11.79,7.75,497
1,7,4.87,7.96,5.87,495
2,4,20.39,16.41,9.37,503
2,5,32.57,29.3,16.34,541
2,2,6.32,9.72,6.52,496
2,3,9.96,10.49,6.71,496
2,6,18.15,15.39,9.03,497
2,1,7.12,11.59,7.71,497
2,7,4.48,7.83,5.84,496
3,4,18.84,16.16,9.32,641
3,1,6.63,11.41,7.67,633
3,5,29.96,28.82,16.26,687
3,3,9.4,10.36,6.69,633
3,2,6.05,9.61,6.5,668
3,6,16.77,15.15,8.99,638
3,7,4.76,7.83,5.85,633
4,4,17.33,15.89,9.27,641
4,1,6.18,11.24,7.64,638
4,5,27.64,28.35,16.17,718
4,3,9.05,10.27,6.68,634
4,2,6.21,9.58,6.51,709
4,7,4.86,7.8,5.85,637
4,6,15.43,14.9,8.94,640
5,2,7.87,9.87,6.62,723
5,4,15.94,15.62,9.22,648
5,1,5.68,11.05,7.6,642
5,5,25.43,27.88,16.09,724
5,3,8.41,10.12,6.65,640
5,7,4.55,7.69,5.82,644
5,6,14.19,14.65,8.89,644
6,2,8.44,9.96,6.67,732
6,4,14.66,15.36,9.17,657
6,1,5.23,10.87,7.56,652
6,3,7.73,9.95,6.62,648
6,5,23.39,27.42,16,733
6,7,4.19,7.56,5.79,653
6,6,13.06,14.41,8.84,651
7,2,8.57,9.96,6.69,732
7,4,13.65,15.14,9.13,658
7,1,4.81,10.69,7.51,652
7,5,21.52,26.96,15.91,734
7,3,7.11,9.78,6.58,651
7,7,3.85,7.43,5.76,653
7,6,12.01,14.17,8.79,655
8,2,8.04,9.83,6.66,732
8,4,12.56,14.89,9.08,661
8,1,4.42,10.51,7.47,654
8,5,19.8,26.52,15.83,736
8,3,6.54,9.62,6.54,651
8,7,3.54,7.31,5.73,654
8,6,11.05,13.93,8.75,657
9,2,7.56,9.7,6.64,733
9,7,3.26,7.19,5.7,654
9,1,4.07,10.34,7.43,655
9,4,11.55,14.64,9.04,662
9,5,18.21,26.08,15.74,736
9,3,6.34,9.53,6.53,652
