moment,node,load5,load10,load15,procs
1,5,13.35,10.93,6.8,512
1,2,11.45,9.22,5.91,514
1,3,9.55,8.34,5.96,513
1,4,13.34,11.72,6.91,510
1,1,12.65,11.07,6.77,509
1,7,6.51,6.04,4.4,509
1,6,29.1,23,13,500
2,2,10.54,9.07,5.87,515
2,5,12.28,10.75,6.77,511
2,3,8.78,8.2,5.93,514
2,4,12.27,11.53,6.87,510
2,1,11.64,10.89,6.73,510
2,7,5.99,5.94,4.38,548
2,6,26.77,22.62,12.93,500
3,2,9.69,8.92,5.84,640
3,5,11.3,10.57,6.73,633
3,3,8.16,8.08,5.91,639
3,4,11.29,11.33,6.83,612
3,7,5.67,5.88,4.37,714
3,1,10.71,10.7,6.69,626
3,6,24.63,22.24,12.86,615
4,4,10.46,11.16,6.8,656
4,1,10.01,10.56,6.67,650
4,3,7.51,7.95,5.87,654
4,5,10.55,10.42,6.7,648
4,2,9.08,8.8,5.82,656
4,7,5.38,5.81,4.35,798
4,6,22.82,21.91,12.8,642
5,1,9.37,10.42,6.64,659
5,4,9.63,10.98,6.77,656
5,3,8.59,8.16,5.96,659
5,5,9.71,10.25,6.67,655
5,7,6.79,6.1,4.45,812
5,2,8.35,8.66,5.79,658
5,6,21.47,21.64,12.77,648
6,1,8.78,10.28,6.62,665
6,4,8.86,10.79,6.73,666
6,3,7.9,8.03,5.92,667
6,5,8.93,10.08,6.63,665
6,7,7.69,6.29,4.53,828
6,2,7.68,8.51,5.76,666
6,6,19.75,21.28,12.7,658
7,1,8.08,10.11,6.58,668
7,4,8.47,10.68,6.71,668
7,3,7.27,7.89,5.89,671
7,5,8.22,9.91,6.6,669
7,7,7.07,6.19,4.5,831
7,2,7.06,8.37,5.73,671
7,6,18.17,20.93,12.63,661
8,1,7.67,9.99,6.56,668
8,4,7.79,10.5,6.68,668
8,3,6.76,7.78,5.86,671
8,5,7.56,9.75,6.56,669
8,7,6.5,6.09,4.48,832
8,2,6.5,8.23,5.7,672
8,6,16.71,20.58,12.56,661
9,1,7.37,9.89,6.55,670
9,4,7.16,10.33,6.64,668
9,3,6.22,7.65,5.83,671
9,5,6.95,9.59,6.52,669
9,7,5.98,5.99,4.45,833
9,2,5.98,8.1,5.67,673
9,6,15.37,20.24,12.49,662
10,1,7.5,9.87,6.56,670
10,5,6.4,9.43,6.49,669
10,4,6.59,10.16,6.61,668
10,3,5.72,7.52,5.8,671
10,7,5.5,5.89,4.43,833
10,2,5.58,7.98,5.64,673
10,6,14.14,19.9,12.43,662
11,5,5.88,9.27,6.45,669
11,1,7.06,9.74,6.54,670
11,4,6.06,9.99,6.57,668
11,3,5.35,7.41,5.78,671
11,7,5.06,5.79,4.41,833
11,2,5.13,7.85,5.61,673
11,6,13.09,19.59,12.36,662
12,5,5.41,9.12,6.42,668
12,1,6.74,9.63,6.52,669
12,4,5.58,9.82,6.53,667
12,3,4.92,7.29,5.74,671
12,7,5.22,5.81,4.42,833
12,2,4.72,7.71,5.58,672
12,6,12.04,19.26,12.3,657
13,5,4.98,8.96,6.38,668
13,1,6.36,9.5,6.49,669
13,4,5.13,9.66,6.5,667
13,3,4.52,7.17,5.71,671
13,7,6.32,6.03,4.5,833
13,2,4.42,7.6,5.55,671
13,6,11.08,18.94,12.23,657
14,1,5.93,9.36,6.46,670
14,5,4.58,8.81,6.35,671
14,4,4.72,9.5,6.46,673
14,3,4.24,7.07,5.69,674
14,7,5.82,5.93,4.47,841
14,2,4.07,7.48,5.52,676
14,6,10.27,18.64,12.17,660
15,1,5.61,9.24,6.44,668
15,5,4.21,8.67,6.32,670
15,3,4.54,7.08,5.7,673
15,4,4.34,9.34,6.43,672
15,7,5.35,5.83,4.45,820
15,2,3.9,7.39,5.5,675
15,6,9.53,18.35,12.11,660
16,1,5.16,9.09,6.4,666
16,5,3.87,8.52,6.28,667
16,3,4.98,7.13,5.72,670
16,4,3.99,9.18,6.39,669
16,6,8.77,18.05,12.04,656
16,7,4.92,5.73,4.43,814
16,2,3.59,7.26,5.47,672
17,1,5.39,9.07,6.41,665
17,5,4.37,8.55,6.3,667
17,3,4.58,7.01,5.69,670
17,4,4.23,9.15,6.4,669
17,6,8.06,17.75,11.98,656
17,7,4.53,5.64,4.4,814
17,2,3.62,7.21,5.47,672
18,1,5.76,9.08,6.43,665
18,3,4.21,6.9,5.66,670
18,5,4.02,8.41,6.27,667
18,4,3.89,9,6.36,669
18,6,7.42,17.45,11.91,656
18,7,4.16,5.54,4.38,814
18,2,3.33,7.09,5.44,672
19,1,6.34,9.15,6.47,665
19,3,4.04,6.81,5.64,670
19,5,3.69,8.27,6.23,667
19,4,3.58,8.85,6.33,669
19,6,6.9,17.18,11.86,656
19,7,3.83,5.45,4.35,814
19,2,3.07,6.97,5.41,672
20,1,6.31,9.1,6.47,665
20,3,4.51,6.87,5.67,670
20,5,3.4,8.13,6.2,667
20,4,3.3,8.7,6.29,669
