moment,node,load5,load10,load15,procs
1,2,17.55,11.82,9.77,515
1,3,26.64,17.08,11.96,517
1,5,16.36,11.49,11.18,512
1,4,16.63,12.04,10.6,513
1,1,14.74,11.13,10.52,512
1,6,18.04,12.27,10.25,497
1,7,5.44,4.91,7.31,511
2,2,16.15,11.63,9.71,516
2,3,24.51,16.8,11.9,517
2,4,15.46,11.87,10.56,558
2,5,15.05,11.3,11.12,512
2,1,13.56,10.94,10.47,513
2,6,16.59,12.07,10.2,497
2,7,5,4.83,7.27,511
3,4,14.3,11.69,10.5,720
3,2,14.93,11.45,9.67,643
3,3,22.79,16.57,11.85,706
3,5,14.09,11.16,11.08,640
3,1,12.55,10.78,10.42,639
3,6,15.35,11.88,10.15,621
3,7,4.76,4.78,7.24,623
4,4,13.24,11.51,10.45,731
4,2,13.74,11.26,9.62,653
4,3,22,16.51,11.86,733
4,5,12.96,10.97,11.02,656
4,1,11.55,10.6,10.36,655
4,6,14.12,11.68,10.09,636
4,7,4.86,4.81,7.23,653
5,4,12.26,11.33,10.4,739
5,3,23.12,16.83,11.99,745
5,2,12.64,11.07,9.56,661
5,5,11.92,10.79,10.96,658
5,1,10.7,10.44,10.31,659
5,6,12.99,11.49,10.04,642
5,7,4.79,4.79,7.22,660
6,3,21.83,16.67,11.96,752
6,4,11.67,11.23,10.37,747
6,2,12.75,11.12,9.59,668
6,5,12.01,10.83,10.97,665
6,1,10.33,10.37,10.29,667
6,6,11.95,11.3,9.98,652
6,7,4.41,4.71,7.18,670
7,4,10.74,11.04,10.32,751
7,3,20.56,16.49,11.93,759
7,2,11.73,10.94,9.54,674
7,5,11.04,10.65,10.91,671
7,1,9.5,10.19,10.23,672
7,6,10.99,11.11,9.93,656
7,7,4.37,4.7,7.16,673
8,4,9.96,10.88,10.27,752
8,3,19.56,16.35,11.91,759
8,1,8.74,10.02,10.18,673
8,2,10.79,10.75,9.48,674
8,5,10.16,10.47,10.85,671
8,6,10.67,11.04,9.91,657
8,7,4.02,4.62,7.12,673
9,4,9.24,10.71,10.22,752
9,3,18.07,16.1,11.85,760
9,1,8.52,9.96,10.15,673
9,2,9.92,10.58,9.43,674
9,5,9.51,10.33,10.8,671
9,6,9.81,10.86,9.86,657
9,7,3.7,4.54,7.08,673
10,4,8.5,10.53,10.16,752
10,3,16.62,15.83,11.78,760
10,1,8.56,9.94,10.15,674
10,2,9.53,10.48,9.41,676
10,5,8.98,10.21,10.76,672
10,6,9.03,10.68,9.81,657
10,7,3.4,4.47,7.04,673
11,4,7.9,10.37,10.11,752
11,3,15.29,15.56,11.72,760
11,2,8.76,10.31,9.36,676
11,1,7.87,9.78,10.09,674
11,5,8.27,10.04,10.7,673
11,6,8.38,10.52,9.76,658
11,7,3.13,4.39,7.01,674
12,4,7.35,10.22,10.06,751
12,3,14.07,15.31,11.66,758
12,2,8.06,10.14,9.31,674
12,1,7.24,9.61,10.04,673
12,5,7.6,9.87,10.65,672
12,6,7.71,10.34,9.71,656
12,7,2.88,4.32,6.97,673
13,4,7.24,10.15,10.04,751
13,3,14.94,15.47,11.73,758
13,2,8.14,10.12,9.31,674
13,1,6.98,9.52,10,672
13,5,7.64,9.84,10.63,672
13,6,7.1,10.17,9.65,656
13,7,2.65,4.25,6.93,673
14,4,6.66,9.98,9.99,754
14,3,14.95,15.46,11.75,758
14,2,7.49,9.95,9.26,677
14,1,6.42,9.36,9.95,674
14,5,7.02,9.68,10.58,672
14,6,6.53,10,9.6,658
14,7,2.44,4.18,6.89,674
15,4,6.21,9.83,9.94,735
15,3,14.55,15.37,11.74,756
15,2,6.89,9.78,9.21,676
15,1,5.91,9.21,9.9,673
15,5,6.46,9.52,10.52,671
15,7,2.24,4.11,6.86,673
15,6,6,9.84,9.55,657
16,1,5.43,9.05,9.84,670
