moment,node,load5,load10,load15,procs
1,2,9.88,4.84,2.77,511
1,3,13.29,5.19,3.03,511
1,4,5.6,3.33,2.2,509
1,5,9.93,4.94,2.89,508
1,6,11.12,5.2,2.88,494
1,7,13.11,5.12,2.68,506
1,1,21.42,8.52,4.09,511
2,2,9.09,4.76,2.75,511
2,3,12.23,5.1,3.01,511
2,4,5.16,3.28,2.19,509
2,5,9.14,4.86,2.87,549
2,6,10.31,5.13,2.87,495
2,7,12.06,5.04,2.66,506
2,1,19.7,8.37,4.07,512
3,2,8.52,4.71,2.75,607
3,3,11.25,5.02,3,589
3,4,4.9,3.25,2.19,600
3,5,8.81,4.86,2.88,737
3,6,9.57,5.06,2.86,589
3,7,11.49,5.04,2.67,581
3,1,18.12,8.24,4.04,605
4,2,7.84,4.63,2.73,645
4,4,4.51,3.2,2.18,645
4,3,10.59,4.98,3,650
4,6,8.88,5,2.85,626
4,5,8.1,4.78,2.87,793
4,7,10.81,5,2.68,638
4,1,16.67,8.1,4.02,648
5,2,7.21,4.55,2.72,658
5,3,10.38,5.03,3.02,663
5,4,4.31,3.18,2.18,654
5,6,8.17,4.91,2.83,639
5,5,7.45,4.7,2.85,809
5,7,9.94,4.92,2.66,650
5,1,15.34,7.96,4,657
6,2,6.63,4.48,2.7,672
6,3,10.59,5.17,3.08,670
6,4,3.96,3.13,2.16,663
6,6,7.52,4.83,2.82,651
6,5,6.85,4.63,2.83,830
6,7,9.15,4.84,2.65,663
6,1,14.11,7.83,3.98,671
7,2,6.1,4.4,2.69,671
7,3,10.7,5.28,3.13,671
7,4,3.65,3.08,2.15,664
7,6,6.91,4.75,2.8,652
7,5,6.31,4.55,2.82,832
7,7,9.38,4.96,2.7,662
7,1,12.98,7.7,3.96,674
8,2,5.61,4.33,2.67,673
8,3,10.01,5.22,3.12,672
8,4,3.35,3.02,2.14,667
8,6,6.52,4.7,2.8,654
8,5,5.88,4.49,2.81,834
8,7,8.63,4.88,2.68,663
8,1,11.94,7.57,3.94,674
9,3,9.6,5.22,3.13,672
9,2,5.16,4.26,2.66,673
9,4,3.08,2.97,2.13,670
9,6,6,4.63,2.78,654
9,5,5.41,4.41,2.79,834
9,7,7.93,4.79,2.67,665
9,1,10.98,7.45,3.91,674
10,2,4.75,4.19,2.65,673
10,3,9.48,5.27,3.16,672
10,4,2.84,2.92,2.12,670
10,6,5.52,4.55,2.77,654
10,5,4.97,4.34,2.78,834
10,7,7.3,4.71,2.65,665
10,1,10.1,7.32,3.89,674
11,2,4.45,4.13,2.64,674
11,3,9.6,5.36,3.2,672
11,4,2.61,2.87,2.11,670
11,6,5.08,4.47,2.75,655
11,5,4.58,4.27,2.76,834
11,7,6.71,4.64,2.64,665
11,1,9.29,7.2,3.87,674
12,2,4.17,4.08,2.63,675
12,3,9.23,5.36,3.21,672
12,4,2.4,2.83,2.09,670
12,6,4.67,4.4,2.74,655
12,5,4.69,4.3,2.78,833
12,7,6.18,4.56,2.62,665
12,1,8.79,7.13,3.87,670
13,2,3.84,4.01,2.61,674
13,3,8.97,5.37,3.22,671
13,4,2.21,2.78,2.08,670
13,6,4.29,4.32,2.72,654
13,5,4.31,4.23,2.77,833
13,7,5.92,4.53,2.63,665
13,1,8.08,7.01,3.85,669
14,2,3.53,3.95,2.6,675
14,3,8.49,5.33,3.22,671
14,4,2.03,2.73,2.07,670
14,5,3.97,4.16,2.75,832
14,6,3.95,4.25,2.71,654
14,7,5.45,4.46,2.61,665
14,1,7.44,6.9,3.83,669
15,2,3.25,3.88,2.58,675
15,3,8.13,5.3,3.23,671
15,4,1.87,2.69,2.06,670
15,6,3.63,4.18,2.69,654
15,5,3.73,4.1,2.74,812
15,1,6.84,6.78,3.8,669
