moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,231632896,0,49,0,0.0199999999999818
1,5,0,417792,0,31,0,0.0519999999999925
1,3,0,227254272,0,35,0,0.0399999999999778
1,4,0,408772608,0,37,0,0.148000000000252
1,7,0,364486656,0,36,0,0.0280000000002474
1,1,0,224030720,0,30,0,0.115999999999346
1,6,0,228147200,0,29,0,0.10400000000034
2,2,0,274432,0,15,0,0.120000000000005
2,3,0,16384,0,2,0,0
2,5,0,28672,0,4,0,0
2,4,0,20480,0,2,0,0
2,7,0,0,0,0,0,0
2,1,0,135421952,0,24,0,0.0600000000006276
2,6,0,159744,0,8,0,0.00799999999981083
3,2,0,45056,0,3,0,0.0119999999998157
3,5,0,356352,0,18,0,0.24799999999972
3,3,0,40960,0,2,0,0.00799999999981083
3,4,0,40960,0,2,0,0.00799999999981083
3,7,0,4096,0,1,0,0
3,1,0,57344,0,4,0,0.00399999999990541
3,6,0,20480,0,2,0,0
4,2,0,68526080,0,529,0,28.4200000000002
4,4,0,68501504,0,529,0,35.308
4,5,0,68378624,0,526,0,35.7360000000003
4,3,0,68517888,0,531,0,20.3200000000002
4,7,0,102662144,0,790,0,63.6319999999996
4,1,118784,68513792,7,529,0.00799999999999912,22.2159999999994
4,6,0,68616192,0,543,0,28.5560000000005
5,2,0,188416,0,6,0,0.00799999999981083
5,3,0,135168,0,4,0,0.0119999999998157
5,4,0,188416,0,15,0,0.0599999999998175
5,5,0,135168,0,4,0,0.00799999999981083
5,7,0,233472,0,9,0,0.0359999999997171
5,1,0,376832,0,29,0,0.0120000000006257
5,6,0,143360,0,4,0,0.0319999999998117
6,2,0,40960,0,5,0,0
6,3,0,20480,0,2,0,0
6,4,0,28672,0,5,0,0
6,5,0,159744,0,6,0,0
6,7,0,143360,0,22,0,0.063999999999993
6,1,0,4096,0,1,0,0
6,6,0,28672,0,4,0,0.00399999999999068
7,2,0,45056,0,6,0,0
7,3,0,499712,0,48,0,0.160000000000352
7,4,0,454656,0,40,0,0.012000000000171
7,5,0,57344,0,6,0,0.00399999999990541
7,1,0,118784,0,9,0,0.0479999999999023
7,7,0,434176,0,32,0,0.00399999999990541
7,6,0,118784,0,8,0,0.0239999999999156
8,2,0,135385088,0,1053,0,105.36
8,5,0,28672,0,2,0,0
8,3,0,28672,0,2,0,0
8,4,0,53248,0,2,0,0
8,7,0,12288,0,2,0,0.0120000000000005
8,1,0,135491584,0,1051,0,114.144
8,6,0,40960,0,6,0,0.00799999999989609
9,3,0,44322816,0,340,0,16.1759999999999
9,2,0,389120,0,33,0,0.0440000000001675
9,5,0,223207424,0,1853,0,211.48
9,4,0,77824,0,2,0,0
9,7,0,81920,0,6,0,0.0400000000000063
9,1,0,569344,0,9,0,0.0079999999999103
9,6,0,561152,0,11,0,0.00799999999981083
10,3,0,178872320,0,1513,0,158.444
10,5,0,557056,0,62,0,0.0159999999997211
10,2,0,246829056,0,2025,0,225.712
10,4,0,178888704,0,1514,0,141.464
10,7,0,178905088,0,1522,0,165.288
10,1,0,246947840,0,2032,0,229.476
10,6,0,178987008,0,1529,0,171.348
11,3,0,68235264,0,525,0,24.5480000000002
11,2,0,217088,0,8,0,0.0159999999998206
11,4,0,68214784,0,525,0,37.1399999999999
11,5,0,68173824,0,525,0,38.464
11,7,0,102301696,0,788,0,73.1040000000004
11,1,0,249856,0,8,0,0.0320000000006218
11,6,0,68321280,0,542,0,37.268
12,3,0,81920,0,5,0,0.0079999999999103
12,5,0,49152,0,4,0,0.00799999999981083
12,2,0,0,0,0,0,0
12,4,0,135168,0,19,0,0.0199999999998965
12,7,0,45056,0,4,0,0.00399999999990541
12,1,0,217088,0,17,0,0
12,6,0,102400,0,5,0,0.00799999999981083
13,3,0,40960,0,3,0,0.0240000000000009
13,4,0,184320,0,14,0,0
13,5,0,0,0,0,0,0
13,7,0,20480,0,5,0,0
13,2,0,12288,0,2,0,0
13,1,0,57344,0,5,0,0.00399999999990541
13,6,0,53248,0,5,0,0.00399999999990541
14,3,0,12288,0,2,0,0
14,4,0,16384,0,2,0,0
14,5,0,24576,0,1,0,0.00400000000000489
14,7,0,110592,0,8,0,0
14,2,0,69632,0,12,0,0.244
14,1,0,98304,0,18,0,0.283999999999907
14,6,0,40960,0,6,0,0.00399999999990541
15,3,0,86016,0,14,0,0.156000000000006
15,4,0,0,0,0,0,0
15,5,0,184320,0,10,0,0.0999999999998096
15,7,0,49152,0,2,0,0
15,2,0,184320,0,16,0,0.0439999999999969
15,1,0,991232,0,13,0,0.00400000000000489
15,6,0,12288,0,2,0,0
16,3,0,159744,0,13,0,0
16,4,0,61440,0,4,0,0.0480000000000018
16,5,0,204800,0,21,0,0
16,7,0,65536,0,3,0,0
16,2,0,4096,0,1,0,0
16,1,0,135168,0,6,0,0.0119999999998015
16,6,0,1187840,0,17,0,0.0400000000005321
17,3,0,20480,0,2,0,0.00399999999999068
17,4,0,16384,0,2,0,0
17,5,0,12288,0,2,0,0.00400000000000489
17,7,0,163840,0,11,0,0.0639999999998082
