moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,108150784,0,30,0,0.0199999999986176
1,5,0,76001280,0,74,0,0.139999999999418
1,3,0,75923456,0,70,0,0.160000000000792
1,1,0,72175616,0,25,0,0.0160000000014406
1,4,0,3702784,0,17,0,0.0160000000014406
1,6,0,106246144,0,26,0,0.0159999999996217
1,7,0,72216576,0,20,0,0.0119999999988067
2,2,0,45056,0,2,0,0
2,5,0,16384,0,2,0,0
2,3,0,36864,0,3,0,0
2,4,0,45056,0,3,0,0
2,1,0,49152,0,3,0,0.00399999999899592
2,6,0,495616,0,32,0,0
2,7,0,16384,0,2,0,0
3,2,0,512000,0,45,0,0.0600000000000023
3,5,0,106496,0,16,0,0.176000000000002
3,3,0,61440,0,4,0,0.00399999999899592
3,4,0,290816,0,7,0,0.0319999999998117
3,1,0,184320,0,16,0,0.0440000000012617
3,6,0,98304,0,4,0,0.0120000000000005
3,7,0,53248,0,4,0,0.00800000000162981
4,2,0,185257984,0,1476,0,127.116
4,5,0,179761152,0,1454,0,117.324000000001
4,3,4096,202899456,1,1569,0,138.468000000001
4,4,0,102559744,0,789,0,48.4679999999989
4,1,0,68567040,0,531,0,21.8719999999986
4,6,0,68583424,0,540,0,20.728000000001
4,7,0,68567040,0,532,0,36.7599999999994
5,2,0,62275584,0,556,0,35.4560000000001
5,5,0,67825664,0,601,0,42.6080000000002
5,1,0,192512,0,6,0,0.00799999999981083
5,4,0,323584,0,19,0,0.13200000000063
5,3,0,224350208,0,1856,0,205.923999999999
5,6,0,131072,0,4,0,0.00799999999981083
5,7,0,491520,0,34,0,0.0199999999998113
6,2,0,135168,0,10,0,0.0559999999998126
6,5,0,24576,0,4,0,0
6,4,0,36864,0,5,0,0
6,1,0,36864,0,5,0,0
6,3,0,61440,0,10,0,0.0640000000000072
6,6,0,45056,0,4,0,0.0480000000000018
6,7,0,135168,0,19,0,0.103999999999999
7,2,0,122880,0,19,0,0.0640000000008172
7,1,0,614400,0,51,0,0.00800000000162981
7,3,0,40960,0,4,0,0.00400000000081491
7,5,0,53248,0,6,0,0.00399999999899592
7,4,0,540672,0,47,0,0.00400000000081491
7,7,0,45056,0,4,0,0.00400000000081491
7,6,0,86016,0,7,0,0.00399999999899592
8,2,0,12288,0,2,0,0.00400000000081491
8,1,0,57344,0,6,0,0.00399999999899592
8,3,0,106496,0,16,0,0
8,5,0,49152,0,3,0,0
8,4,0,28672,0,4,0,0
8,6,0,57344,0,5,0,0.00799999999981083
8,7,0,0,0,0,0,0
9,2,0,69632,0,5,0,0.0240000000000009
9,1,0,44380160,0,343,0,17.9
9,3,0,65536,0,5,0,0
9,5,0,12288,0,2,0,0
9,4,0,314019840,0,2525,0,313.419999999998
9,7,0,110592,0,3,0,0
9,6,0,40960,0,3,0,0
10,2,0,786432,0,17,0,0.0599999999989933
10,1,0,179630080,0,1526,0,168.636
10,5,0,167936,0,20,0,0.180000000000007
10,3,0,90112,0,5,0,0
10,4,0,458752,0,55,0,0.0120000000006257
10,7,0,178888704,0,1512,0,134.371999999999
10,6,4096,178831360,1,1508,0.0960000000000001,142.044
11,2,0,68419584,0,552,0,37.4840000000004
11,5,0,68456448,0,555,0,37.5799999999999
11,1,0,68317184,0,530,0,39.0200000000004
11,3,0,68431872,0,563,0,37.3760000000002
11,4,0,102264832,0,789,0,79.0040000000008
11,7,0,68227072,0,526,0,38.7039999999997
11,6,0,68587520,0,563,0,21.4359999999997
12,2,0,3358720,0,30,0,0.0679999999993015
12,5,0,3371008,0,30,0,0.128000000000611
12,1,0,3411968,0,31,0,0.0839999999999321
12,3,0,3342336,0,28,0,0.108000000000175
12,4,0,5091328,0,50,0,0.175999999999476
12,7,0,3575808,0,60,0,0.123999999999725
12,6,0,3391488,0,31,0,0.132000000001426
13,2,0,282624,0,4,0,0.0200000000004366
13,5,0,278528,0,4,0,0.0120000000006257
13,3,0,303104,0,6,0,0.0119999999988067
13,1,0,249856,0,3,0,0.0119999999988067
13,4,0,368640,0,4,0,0.0120000000006257
13,7,0,270336,0,4,0,0.0160000000014406
13,6,0,274432,0,4,0,0.0119999999988067
14,2,0,229376,0,11,0,0.0440000000006222
14,5,0,270336,0,4,0,0.0119999999988067
14,3,0,258048,0,5,0,0.0120000000006257
14,1,0,540672,0,22,0,0.0120000000006257
14,4,0,811008,0,25,0,0.0119999999988067
14,7,0,233472,0,6,0,0.00799999999981083
14,6,0,262144,0,5,0,0.0159999999996217
15,2,0,520192,0,13,0,0.0119999999988067
15,5,0,499712,0,8,0,0.00799999999981083
15,1,0,385024,0,6,0,0.00799999999981083
15,3,0,524288,0,18,0,0.0479999999988081
15,4,0,663552,0,10,0,0.0120000000006257
15,6,0,503808,0,11,0,0.0280000000006311
15,7,0,487424,0,8,0,0.051999999999623
16,2,0,12197888,0,300,0,2.19599999999991
16,5,0,675840,0,8,0,0.0120000000006257
16,3,0,1343488,0,169,0,0.0120000000006257
16,4,0,921600,0,12,0,0.0280000000006169
16,1,0,618496,0,8,0,0.0280000000002474
16,6,0,667648,0,8,0,0.0120000000006257
16,7,0,643072,0,11,0,0.00799999999981083
