moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,250753024,0,1497,0,147.008000000002
1,3,0,120999936,0,435,0,22.7039999999979
1,5,0,72183808,0,29,0,0.0120000000024447
1,4,0,417792,0,35,0,0.00400000000081491
1,1,0,108265472,0,53,0,0.184000000004076
1,6,0,72241152,0,33,0,0.0160000000032596
1,7,0,167936,0,14,0,0.11999999999999
2,2,0,524288,0,37,0,0.00800000000162981
2,3,0,438272,0,31,0,0.00800000000162981
2,5,0,179027968,0,1501,0,162.155999999995
2,4,0,4096,0,1,0,0
2,1,0,622592,0,26,0,0.00400000000081491
2,6,0,565248,0,29,0,0.0119999999943587
2,7,0,3858432,0,57,0,0.468000000000757
3,2,0,61440,0,6,0,0
3,4,0,48021504,0,376,0,21.3600000000006
3,3,0,315392,0,10,0,0.0120000000024447
3,1,0,45056,0,3,0,0
3,5,0,237568,0,17,0,0.00800000000162981
3,6,0,61440,0,13,0,0
3,7,0,81920,0,5,0,0.0120000000016347
4,2,0,68554752,0,529,0,32.7280000000028
4,1,0,179843072,0,1447,0,127.768
4,3,0,102596608,0,788,0,69.2560000000012
4,4,0,68640768,0,546,0,33.5719999999998
4,5,0,68526080,0,530,0,20.3040000000037
4,6,0,68521984,0,529,0,34.2720000000045
4,7,0,68538368,0,529,0,38.3719999999958
5,2,0,139264,0,4,0,0.00799999999435386
5,1,0,67784704,0,598,0,46.6959999999963
5,3,0,126976,0,18,0,0.14800000000001
5,4,0,176128,0,5,0,0.0120000000024447
5,5,0,147456,0,4,0,0.0119999999951688
5,6,0,139264,0,4,0,0.00799999999435386
5,7,0,262144,0,25,0,0.124000000001629
6,2,0,118784,0,23,0,0.156000000000006
6,1,0,4096,0,1,0,0
6,4,0,4096,0,1,0,0
6,3,0,16384,0,4,0,0
6,5,0,69632,0,5,0,0.0159999999999911
6,6,0,65536,0,4,0,0
6,7,0,16384,0,4,0,0
7,2,0,94208,0,6,0,0.00400000000081491
7,1,0,102400,0,7,0,0.00400000000081491
7,3,0,114688,0,7,0,0.00400000000081491
7,4,0,143360,0,14,0,0.0760000000008176
7,5,0,102400,0,5,0,0.00800000000162981
7,6,0,36864,0,6,0,0.0200000000008203
7,7,0,167936,0,9,0,0.00400000000081491
8,2,0,327680,0,31,0,0
8,1,0,188416,0,23,0,0.236000000002448
8,3,0,397312,0,38,0,0
8,4,0,36864,0,2,0,0
8,5,0,135385088,0,1042,0,107.464
8,6,0,12288,0,3,0,0
8,7,0,106496,0,6,0,0
9,2,0,3526656,0,36,0,0.0800000000017462
9,1,0,3518464,0,31,0,0.195999999996275
9,3,0,183992320,0,1541,0,160.303999999997
9,4,0,3817472,0,61,0,0.115999999994528
9,5,0,49938432,0,416,0,19.4559999999983
9,6,0,139018240,0,1089,0,111.736000000004
9,7,0,182554624,0,1560,0,163.743999999999
10,2,4096,179150848,1,1512,0,160.044000000002
10,1,0,2912256,0,41,0,0.100000000001742
10,3,0,733184,0,56,0,0.00800000000162981
10,4,4096,247136256,1,2030,0.104,242.560000000005
10,5,4096,179179520,1,1521,0,162.067999999999
10,6,8192,179261440,2,1524,0.032,150.931999999999
10,7,0,68513792,0,532,0,38.0559999999969
11,1,0,69111808,0,571,0,38.3919999999998
11,2,0,68460544,0,527,0,36.5360000000001
11,3,0,102477824,0,784,0,70.9119999999966
11,5,0,68206592,0,524,0,35.8840000000055
11,4,0,462848,0,8,0,0.023999999995155
11,6,0,68403200,0,525,0,35.8280000000013
11,7,0,352256,0,7,0,0.0120000000024447
12,1,0,466944,0,7,0,0.0120000000024447
12,3,0,643072,0,8,0,0.00800000000162981
12,2,0,487424,0,7,0,0.0279999999984284
12,5,0,483328,0,13,0,0.00799999999435386
12,4,0,577536,0,27,0,0.0120000000024447
12,6,0,532480,0,11,0,0.0119999999951688
12,7,0,487424,0,7,0,0.0120000000024447
