moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,135331840,0,1038,0,107.808
1,2,0,172032,0,20,0,0.0919999999999987
1,7,0,73728,0,4,0,0
1,5,0,44421120,0,352,0,16.0879999999996
1,1,0,65536,0,5,0,0.0159999999999911
1,4,0,118784,0,7,0,0.0240000000008109
1,6,0,49152,0,2,0,0.00400000000000489
2,3,0,4046848,0,70,0,0.124000000000805
2,2,0,339968,0,40,0,0
2,7,0,139264,0,19,0,0.24799999999999
2,5,0,178696192,0,1475,0,149.796
2,1,0,61440,0,3,0,0
2,4,0,138526720,0,1148,0,124.204
2,6,0,179015680,0,1512,0,160.396000000001
3,3,0,178790400,0,1498,0,148.48
3,2,0,182575104,0,1514,0,163.824000000001
3,7,0,178872320,0,1505,0,164.196
3,1,0,179048448,0,1512,0,169.552
3,5,0,380928,0,39,0,0.00799999999981083
3,4,0,204800,0,20,0,0.11199999999981
3,6,0,204800,0,12,0,0.0200000000006213
4,3,0,68624384,0,532,0,38.4200000000001
4,2,4096,102559744,1,788,0.012,41.0079999999998
4,1,0,68583424,0,533,0,20.9280000000017
4,7,0,68595712,0,530,0,30.0999999999985
4,5,0,68554752,0,531,0,32.1280000000006
4,6,0,68554752,0,529,0,20.503999999999
4,4,0,68694016,0,543,0,28.2160000000003
5,3,0,172032,0,5,0,0.00799999999981083
5,2,0,225280,0,8,0,0.0119999999988067
5,1,0,151552,0,4,0,0.00799999999981083
5,7,0,147456,0,4,0,0.0120000000006257
5,5,0,208896,0,7,0,0.00799999999981083
5,6,0,184320,0,6,0,0.0119999999998157
5,4,0,163840,0,6,0,0.0120000000006257
6,2,0,4902912,0,39,0,0.340000000000146
6,3,0,3268608,0,26,0,0.111999999999171
6,1,0,3543040,0,32,0,0.191999999999098
6,7,0,3284992,0,28,0,0.131999999999607
6,5,0,3317760,0,28,0,0.092000000000553
6,6,0,3379200,0,45,0,0.159999999999926
6,4,0,3346432,0,28,0,0.175999999999476
7,2,0,577536,0,23,0,0.22800000000025
7,1,0,483328,0,9,0,0.0360000000006266
7,3,0,385024,0,10,0,0.0200000000006213
7,7,0,372736,0,9,0,0.0120000000006257
7,5,0,331776,0,8,0,0.0479999999996181
7,6,0,303104,0,7,0,0.0159999999996217
7,4,0,335872,0,10,0,0.0280000000006311
