moment,node,buffer_cache,free,map,used
1,2,2420076,103085528,60136,1977808
1,5,2424132,103038664,59888,2020616
1,3,2433968,102962344,59964,2087100
1,4,2420364,103143336,59956,1919712
1,7,2426128,103159548,59832,1897736
1,1,2409664,103075044,60152,1998704
1,6,2411184,103093272,59928,1978956
2,2,2551948,102969476,60136,1961988
2,3,2476760,102929536,59964,2077116
2,5,2641880,102635664,72276,2205868
2,4,2420368,103143936,59756,1919108
2,7,2426128,103159172,59832,1898112
2,1,2541364,102937676,60152,2004372
2,6,2411208,103094236,59928,1977968
3,2,2726688,102500040,72540,2256684
3,5,2642048,102037416,72528,2803948
3,3,2651704,102467656,72644,2364052
3,4,2594988,102666156,72284,2222268
3,7,2600836,102165776,72460,2716800
3,1,2716548,102456936,72720,2309928
3,6,2585848,102602488,72584,2295076
4,2,2859952,101310864,77312,3312596
4,4,2728220,101407892,76908,3347300
4,5,2775276,100887060,77104,3821076
4,3,2784924,101134596,77116,3563892
4,7,2800540,100534532,79264,4148340
4,1,2849812,101122240,77320,3511360
4,6,2719028,101328000,77136,3436384
5,2,2859968,98105728,77312,6517716
5,3,2784940,98030948,77120,6667524
5,4,2728228,98117928,76908,6637256
5,5,2775292,97739088,77104,6969032
5,7,2800560,96531528,79264,8151324
5,1,2849828,98075512,77320,6558072
5,6,2719044,98021164,77136,6743204
6,2,2859976,94068652,77312,10554784
6,3,2784940,94309312,77120,10389160
6,4,2728236,94052872,76908,10702304
6,5,2775292,93737748,77104,10970372
6,7,2800560,91018996,79264,13663856
6,1,2850016,94074260,77320,10559136
6,6,2719232,94443148,77136,10321032
7,2,2859992,91760484,77312,12862936
7,3,2784956,91647160,77120,13051296
7,4,2728252,91439468,76908,13315692
7,5,2775308,91018896,77104,13689208
7,1,2850096,91617984,77320,13015332
7,7,2800576,89045500,79264,15637336
7,6,2719312,91219468,77136,13544632
8,2,2860004,88441264,77312,16182144
8,5,2775308,88775268,77104,15932836
8,3,2784960,89334852,77120,15363600
8,4,2728260,89089172,76908,15665980
8,7,2800576,85156000,79264,19526836
8,1,2850312,89354772,77320,15278328
8,6,2719516,89894832,77136,14869064
9,3,2784964,86959836,77120,17738612
9,2,2860024,86961688,77312,17661700
9,5,2775328,86726368,77104,17981716
9,4,2728260,86726220,76908,18028932
9,7,2800584,81772396,79264,22910432
9,1,2850460,86789256,77320,17843696
9,6,2719656,87132944,77136,17630812
10,3,2784992,84735696,77120,19962724
10,5,2775344,84544160,77104,20163908
10,2,2860048,84959740,77312,19663624
10,4,2728288,85079564,76908,19675560
10,7,2800604,78292572,79264,26390236
10,1,2850560,84913680,77320,19719172
10,6,2719736,85109844,77136,19653832
11,3,2785020,84619892,77120,20078500
11,2,2860072,84756212,77312,19867128
11,4,2728312,84652972,76908,20102128
11,5,2775372,84198188,77104,20509852
11,7,2800632,76520344,79264,28162436
11,1,2850776,84606380,77320,20026256
11,6,2719948,84926336,77136,19837128
12,3,2785028,83254620,77228,21443764
12,5,2775388,83256892,77104,21451132
12,2,2860072,84154588,77312,20468752
12,4,2728324,83713896,76908,21041192
12,7,2800644,75823900,79264,28858868
12,1,2850976,83157172,77320,21475264
12,6,2720164,83640260,77136,21122988
13,3,2785036,82305044,77120,22393332
13,4,2728324,82334692,76908,22420396
13,5,2775388,81906900,77104,22801124
13,7,2800648,75230204,79264,29452560
13,2,2860080,82351408,77312,22271924
13,1,2851108,81808316,77320,22823988
13,6,2720296,82752908,77136,22010208
14,3,2785036,80479180,77120,24219196
14,4,2728332,80693332,76908,24061748
14,5,2775392,80286472,77104,24421548
14,7,2800656,73752900,79264,30929856
14,2,2860080,80635908,77312,23987424
14,1,2851188,80133784,77320,24498440
14,6,2720376,80907476,77136,23855560
15,3,2785044,80137068,77120,24561300
15,4,2728332,80517200,76908,24237880
15,5,2775416,80270552,77104,24437444
15,7,2800656,71556768,79264,33125988
15,2,2860080,80282940,77312,24340392
15,1,2851384,80102128,77320,24529900
15,6,2720572,80589020,77136,24173820
16,3,2785052,78806108,77120,25892252
16,4,2728340,79502680,76908,25252392
16,5,2775424,79061676,77104,25646312
16,7,2800660,69921608,79264,34761144
16,2,2860088,79828348,77460,24794976
16,1,2851532,79480428,77320,25151452
16,6,2720720,80135620,77136,24627072
17,3,2785060,77838976,77120,26859376
17,4,2728348,78784140,76908,25970924
17,5,2775432,78347184,77104,26360796
17,7,2800692,69102324,79264,35580396
17,2,2860096,78694784,77312,25928532
17,1,2851728,78095196,77320,26536488
17,6,2720924,78716016,77136,26046472
18,3,2785064,76849832,77120,27848516
18,5,2775432,77219952,77104,27488028
18,4,2728348,77574612,76908,27180452
18,2,2860096,77674104,77312,26949212
18,7,2800692,68847296,79264,35835424
18,1,2851924,77026432,77320,27605056
18,6,2721120,77420168,77136,27342124
19,3,2785088,75356916,77120,29341408
19,4,2728356,75625396,76908,29129660
19,5,2775432,75815548,77104,28892432
19,2,2860104,77116296,77312,27507012
19,7,2800700,66386720,79264,38295992
19,1,2852064,75396228,77320,29235120
19,6,2721252,76390088,77136,28372072
20,3,2785088,74789552,77120,29908772
20,4,2728364,74472964,76908,30282084
20,5,2775432,74759360,77104,29948620
20,2,2860104,75332004,77312,29291304
20,7,2800700,65264496,79264,39418216
20,1,2852136,74653720,77320,29977556
20,6,2721332,75006420,77136,29755660
21,3,2785096,74015944,77120,30682372
21,5,2775440,74288636,77104,30419336
21,4,2728364,74424820,76908,30330228
21,2,2860104,74118440,77312,30504868
21,7,2800700,63963304,79264,40719408
21,1,2852276,74297272,77320,30333864
21,6,2721472,74877052,77136,29884888
22,3,2785096,72922632,77120,31775684
22,4,2728372,74405224,76908,30349816
22,5,2775448,73712556,77104,30995408
22,2,2860112,74021556,77312,30601744
22,7,2800708,62649544,79264,42033160
22,1,2852472,73591688,77320,31039252
22,6,2721660,74629296,77136,30132456
23,4,2728380,73936700,77064,30818332
23,5,2775456,73188416,77104,31519540
23,3,2785112,72318168,77120,32380132
23,2,2860120,74058860,77312,30564432
23,1,2852580,72931136,77320,31699696
23,7,2800708,60504760,79264,44177944
23,6,2721740,73582236,77136,31179436
24,3,2785128,72328924,77120,32369360
24,5,2775464,71912084,77104,32795864
24,4,2728380,72943800,76908,31811232
24,2,2860128,73918784,77312,30704500
24,7,2800716,59765936,79264,44916760
24,1,2852788,71862976,77320,32767648
24,6,2721976,73204700,77136,31556736
25,4,2728432,71834144,76908,32920836
25,5,2775480,70777348,77104,33930584
25,3,2785140,72353344,77120,32344928
25,2,2860144,73531156,77312,31092112
25,7,2800724,59346396,79264,45336292
25,1,2853000,71760456,77320,32869956
25,6,2722184,72489128,77136,32272100
26,4,2728492,71865600,76908,32889320
26,5,2775496,70763432,77104,33944484
26,3,2785160,71768688,77120,32929564
26,2,2860144,71129288,77312,33493980
26,7,2800724,58834436,79264,45848252
26,1,2853180,71813000,77320,32817232
26,6,2722328,72071180,77136,32689904
27,5,2775512,70815632,77104,33892268
27,4,2728508,71997244,76908,32757660
27,3,2785172,71346780,77120,33351460
27,2,2860168,70788664,77312,33834580
27,7,2800724,57644620,79264,47038068
27,1,2853388,71622460,77320,33007564
27,6,2722540,72091760,77136,32669112
28,5,2775532,70821396,77104,33886484
28,4,2728528,72179140,76908,32575744
28,3,2785192,71358124,77120,33340096
28,2,2860184,70758280,77312,33864948
28,7,2800776,56037520,79264,48645116
28,1,2853460,70993672,77320,33636280
28,6,2722620,72104084,77136,32656708
29,5,2775544,70902488,77104,33805380
29,4,2728540,72468644,76908,32286228
29,3,2785208,71369804,77120,33328400
29,2,2860208,70940680,77312,33682524
29,7,2800792,55087128,79264,49595492
29,1,2853664,70958352,77320,33671396
29,6,2722824,72150284,77136,32610304
30,5,2775564,71029864,77104,33677984
30,3,2785228,71385168,77120,33313016
30,4,2728560,72376524,76908,32378328
30,2,2860224,71360360,77312,33262828
30,7,2800820,54967776,79264,49714816
30,1,2853816,71110652,77320,33518944
30,6,2722968,72165780,77136,32594664
31,5,2775584,71162948,77104,33544880
31,3,2785248,71433452,77120,33264712
31,4,2728580,72193728,76908,32561104
31,2,2860244,71875928,77312,32747240
31,1,2854024,71324376,77320,33305012
31,7,2800836,54996500,79264,49686076
