moment,node,buffer_cache,free,map,used
1,2,9710572,95559904,60116,2212936
1,5,9695284,95431280,60356,2356848
1,3,9543888,95564904,60320,2374620
1,1,9740092,95455548,60428,2287772
1,4,9735872,95416000,60204,2331540
1,6,9671120,95494324,60080,2317968
1,7,9594012,95606404,59944,2282996
2,2,9710580,95560424,59724,2212408
2,5,9695292,95431464,60380,2356656
2,3,9719456,95405960,60044,2357996
2,4,10042564,94933680,72756,2507168
2,1,9783428,95412660,60060,2287324
2,6,9671128,95495356,60080,2316928
2,7,9594096,95604544,59944,2284772
3,2,9885124,95114716,72208,2483572
3,5,9869832,94978260,72720,2635320
3,3,9893828,94951584,72680,2638000
3,4,10042700,94309848,72624,3130864
3,1,9958044,94963756,72408,2561612
3,6,9845800,95048700,72668,2588912
3,7,9768604,95194952,72320,2519856
4,2,10018444,93765476,77004,3699492
4,5,10003112,93670660,77296,3809640
4,3,10027052,93714632,77236,3741728
4,4,10242700,92383688,79604,4857024
4,1,10091288,93657100,77176,3735024
4,6,9978920,93711548,77368,3792944
4,7,9901884,93823236,77112,3758292
5,2,10018472,90774192,77004,6690748
5,5,10003140,89845980,77332,7634292
5,1,10091296,90525080,77220,6867036
5,4,10242712,89072504,79632,8168196
5,3,10027084,90468968,77236,6987360
5,6,9978936,90502744,77172,7001732
5,7,9901900,91591484,77144,5990028
6,2,10018676,87042644,77004,10422092
6,5,10003140,86015268,77332,11465004
6,4,10242716,83182056,79632,14058640
6,1,10091492,86533312,77220,10858608
6,3,10027100,86367064,77236,11089248
6,6,9978936,86907772,76972,10596704
6,7,9901900,87579860,77144,10001652
7,2,10018756,84664856,77004,12799800
7,1,10091572,84098864,77220,13292976
7,3,10027108,83926524,77236,13529780
7,5,10003156,83509144,77332,13971112
7,4,10242732,80037624,79632,17203056
7,7,9901916,85174972,77144,12406524
7,6,9978960,83765184,77172,13739268
8,2,10018884,81803336,77004,15661192
8,1,10091708,81218136,77220,16173568
8,3,10027116,81799828,77236,15656468
8,5,10003164,81072632,77332,16407616
8,4,10242740,76956508,79632,20284164
8,6,9978980,81611812,76968,15892620
8,7,9901924,82909064,77144,14672424
9,2,10019088,80002256,77028,17462068
9,1,10091924,79252236,77220,18139252
9,3,10027116,79172296,77236,18284000
9,5,10003172,79532204,77332,17948036
9,4,10242796,74599364,79632,22641252
9,7,9901924,80446084,77144,17135404
9,6,9978980,79670424,77172,17834008
10,2,10019160,77921676,77176,19542576
10,1,10091948,79252396,77220,18139068
10,5,10003172,78977604,77592,18502636
10,3,10027128,79188192,77336,18268092
10,4,10242812,72776228,79632,24464372
10,7,9901952,79168180,77144,18413280
10,6,9979036,79080172,77176,18424204
11,2,10020096,77815636,77004,19647680
11,5,10003180,78124976,77332,19355256
11,1,10093496,77630200,77220,19759716
11,3,10027152,77587328,77236,19868932
11,4,10242852,71126576,79632,26113984
11,7,9901980,78819176,77144,18762256
11,6,9979052,78408424,77172,19095936
12,2,10024476,77129036,79412,20329900
12,5,10006400,77357772,79872,20119240
12,1,10097452,77200712,79560,20185248
12,3,10030352,77213044,79660,20240016
12,4,10247816,69880120,82848,27355476
12,7,9905180,77705432,79512,19872800
12,6,9982272,77418528,79508,20082612
13,2,10026108,76909464,79412,20547840
13,5,10006500,77164084,79676,20312828
13,3,10030368,77091404,79660,20361640
13,1,10099144,76995220,79560,20389048
13,4,10248040,69241240,82184,27994132
13,7,9905196,77382816,79512,20195400
13,6,9982392,77318000,79508,20183020
14,2,10027988,76862604,79412,20592820
14,5,10006804,77119040,79676,20357568
14,3,10030640,77040468,79660,20412304
14,1,10100712,76941720,79560,20440980
14,4,10248452,69121644,82184,28113316
14,7,9905420,77361832,79512,20216160
14,6,9982744,77313620,79508,20187048
15,2,10031600,76867604,79412,20584208
15,5,10007740,77120884,79676,20354788
15,1,10104288,76938252,79560,20440872
15,3,10031400,77032860,79660,20419152
15,4,10249668,69078272,82184,28155472
15,6,9983456,77318456,79508,20181500
15,7,9905888,77345028,79512,20232496
16,2,10035376,76868136,79412,20579900
16,5,10007840,77118460,79676,20357112
16,3,10031480,77033364,79660,20418568
16,4,10249792,68960352,82184,28273268
16,1,10107528,76940460,79560,20435424
16,6,9983820,77319712,79308,20179880
16,7,9906384,77197032,79512,20379996
