moment,node,buffer_cache,free,map,used
1,2,11652220,93453512,59676,2377680
1,3,11492248,93597156,60076,2394008
1,5,11823140,93196064,60128,2464208
1,4,11667084,93355208,59968,2461120
1,1,11366464,93698388,60136,2418560
1,6,11923064,93113080,60120,2447268
1,7,11770668,93293356,59980,2419388
2,2,11652216,93453868,59984,2377328
2,3,11666720,93207192,72676,2609500
2,5,11998320,93026004,60128,2459088
2,4,11710324,93313548,60100,2459540
2,1,11366464,93699084,60136,2417864
2,6,12055168,92978772,60120,2449472
2,7,11770764,93294584,59980,2418064
3,2,11826736,92975020,72544,2681656
3,4,11884880,92813084,72800,2785448
3,3,11666932,92512616,72800,3303864
3,1,11541048,93190884,72680,2751480
3,5,12173124,92529064,72456,2781224
3,6,12229756,92476216,72668,2777440
3,7,11945348,92822884,72564,2715180
4,2,11959956,91695280,77088,3828176
4,1,11674304,91916480,77288,3892628
4,3,11866788,90723544,79564,4893080
4,4,12018088,91674076,77328,3791248
4,5,12306408,91133256,77384,4043748
4,6,12362932,91246520,77212,3873960
4,7,12078540,91513948,77080,3890924
5,2,11959964,88517600,77096,7005848
5,1,11674320,88181624,77328,7627468
5,3,11866800,87210168,79564,8406444
5,4,12018088,88418448,77352,7046876
5,5,12306420,87872672,77416,7304320
5,6,12362948,88156400,77228,6964064
5,7,12078556,88382692,77088,7022164
6,2,11959972,84367928,77096,11155512
6,1,11674508,84870420,77328,10938484
6,4,12018096,84545604,77352,10919712
6,3,11866800,81886604,79564,13730008
6,5,12306612,84502228,77416,10674572
6,6,12362948,84247736,77228,10872728
6,7,12078556,85492252,77088,9912604
7,2,11959996,81820524,77096,13702892
7,1,11674532,82520316,77328,13288564
7,3,11866824,78161460,79564,17455128
7,4,12018112,82786920,77352,12678380
7,5,12306700,83473432,77416,11703280
7,6,12362964,81826192,77228,13294256
7,7,12078580,82876380,76932,12528452
8,2,11959996,81816956,77096,13706460
8,1,11675148,82497020,77328,13311244
8,3,11866824,75767944,79564,19848644
8,4,12018112,81884956,77352,13580344
8,5,12307272,81243356,77416,13932784
8,6,12362968,81824136,77228,13296308
8,7,12078580,82023368,77088,13381464
9,2,11963200,80919148,79504,14601064
9,1,11679484,80869768,79648,14934160
9,3,11871640,74497656,82024,21114116
9,4,12021324,80901740,79692,14560348
9,5,12311620,80360720,79724,14811072
9,6,12366188,80636996,79476,14480228
9,7,12081792,80963320,79492,14438300
10,2,11963356,80081572,79504,15438484
10,1,11680372,80506412,79644,15296628
10,3,11871872,73084016,82200,22527524
10,4,12021464,79822500,79692,15639448
10,5,12312728,79288236,79724,15882448
10,6,12366412,79871172,79476,15245828
10,7,12081860,79944632,79492,15456920
11,1,11682592,80256968,79648,15543852
11,2,11963836,80022348,79504,15497228
11,3,11872520,72905112,82200,22705780
11,5,12314988,79276908,79724,15891516
11,4,12021944,79714852,79692,15746616
11,6,12366932,79630416,79476,15486064
11,7,12082344,79826864,79320,15574204
12,1,11686036,79340272,79648,16457104
12,3,11873496,72126780,82200,23483136
12,2,11964516,79566212,79504,15952684
12,5,12318416,79237752,79724,15927244
12,4,12022596,79610308,79692,15850508
12,6,12367492,78433064,79476,16682856
12,7,12082896,79233752,79492,16166764
