moment,node,buffer_cache,free,map,used
1,3,7682196,97608656,59980,2192560
1,2,7617920,97723720,60180,2141772
1,7,7539984,97730672,59912,2212756
1,5,7587680,97597072,59716,2298660
1,1,7569336,97744120,60028,2169956
1,4,7678168,97552480,60048,2252764
1,6,7543388,97720516,60036,2219508
2,3,7814104,97480212,59980,2189096
2,2,7925064,97342368,72140,2215980
2,7,7539992,97730736,59912,2212684
2,5,7587712,97596620,60044,2299080
2,1,7612596,97702060,60028,2168756
2,4,7678196,97551908,60048,2253308
2,6,7586872,97671244,60036,2225296
3,3,7988708,97188876,72428,2305828
3,2,7924768,96827860,72460,2730784
3,7,7714084,97447824,72332,2321504
3,1,7786940,97405296,72316,2291176
3,5,7762156,97324876,72472,2396380
3,4,7852448,97278048,72008,2352916
3,6,7760936,97382884,72500,2339592
4,3,8122196,95803580,77104,3557636
4,2,8124708,94752196,79128,4606508
4,1,7920208,95941008,77160,3622196
4,7,7847868,95912452,77064,3723092
4,5,7895288,95876256,76824,3711868
4,6,7894548,95965740,77124,3623124
4,4,7986272,95856980,77332,3640160
5,3,8122212,94438656,77108,4922544
5,2,8124720,92724152,79336,6634540
5,1,7920428,94619884,77160,4943100
5,7,7847884,94470060,77080,5165468
5,5,7895532,94566868,77256,5021012
5,6,7894556,94637012,77148,4951844
5,4,7986032,94461992,77260,5035388
6,2,8129552,90796060,81828,8557800
6,3,8125996,93222752,79508,6134664
6,1,7923652,93354256,79492,6205504
6,7,7851760,93275172,79576,6356480
6,5,7898756,93190556,79512,6394100
6,6,7897764,93510780,79416,6074868
6,4,7989248,93177088,79508,6317076
7,2,8130172,89956140,81828,9397100
7,1,7923976,92821444,79492,6737992
7,3,8128424,92653200,79508,6701788
7,7,7854668,92766996,79576,6861748
7,5,7899000,92675892,79512,6908520
7,6,7897952,92930216,79416,6655244
7,4,7989512,92668660,79508,6825240
