moment,node,recv_packets,send_bytes,send_packets
1,2,58,14616,59
1,5,58,32270,60
1,3,38,14022,44
1,4,64,24187,65
1,1,37,31657,39
1,6,57,30502,58
1,7,58,26800,55
2,5,5109,254776,3662
2,2,14,5045,21
2,4,15,4217,20
2,3,6882,135857204,7365
2,1,43,78204,52
2,6,9091,135851842,7322
2,7,3812,44496163,2601
3,2,4990,224436,2906
3,5,3128,177719898,3915
3,4,4986,213506,2930
3,3,3493,135616038,3540
3,1,5028,398657,3009
3,6,7694,406279512,8953
3,7,4808,44523791,3093
4,2,3974,297958,2368
4,5,5726,454425,3627
4,4,3489,286920,2240
4,3,3909,343349,2582
4,1,3262,271948,2150
4,6,3707,598626,2269
4,7,3889,235310,1972
5,2,32622,1721934,25926
5,5,35990,1886104,28400
5,4,29599,1609571,24133
5,3,30879,1614552,24264
5,1,29520,1588350,23824
5,6,31481,1659578,24931
5,7,48101,1523318,22760
6,2,30571,1621204,22916
6,5,38861,2114934,29627
6,4,30122,1704563,24190
6,3,32429,1960379,24997
6,1,32384,1868621,26545
6,6,31492,1740196,24862
6,7,51502,1742868,24875
7,2,26694,1473121,20710
7,5,39553,2143110,30971
7,4,25587,1475776,20758
7,3,25235,1449373,19440
7,1,27186,1585795,22667
7,6,26085,1501452,20921
7,7,45335,1514140,22427
8,2,31475,1705804,24692
8,5,33562,1762148,25569
8,3,31400,1955075,25324
8,4,31558,1810482,26270
8,1,30497,1822223,26210
8,6,31363,1793378,25781
8,7,45751,1628550,23410
9,2,32295,1705168,24927
9,5,40637,2207329,31007
9,4,33407,1877534,27556
9,3,33299,1920432,26395
9,1,31392,1793625,25811
9,6,33582,1844705,27186
9,7,46176,1712792,24338
10,2,27427,1442253,20510
10,5,39267,2058509,30354
10,4,27776,1515355,21611
10,3,27941,1588813,21524
10,1,20920,1246717,18019
10,6,24895,1361117,19517
10,7,51261,1833148,26846
11,2,28106,1561745,22057
11,5,26511,1394260,19429
11,4,26857,1469013,20635
11,3,28607,1724357,21939
11,6,34470,1950253,27928
11,1,32440,1924745,27822
11,7,35818,1190665,17209
12,5,41562,2301193,32464
12,2,33460,1813980,26194
12,4,32218,1815419,26350
12,3,32289,1933451,25555
12,6,32993,1843856,26788
12,1,32063,1851612,26628
12,7,55510,1852808,26650
13,5,40263,2183363,32663
13,2,34781,1901934,27638
13,4,31804,1800170,26165
13,3,32216,1896130,24915
13,6,34484,1975841,28352
13,7,57330,1845318,27195
13,1,30725,1746051,25099
14,5,41377,2252752,31867
14,4,23749,1295243,18498
14,2,23307,1214382,17453
14,6,24739,1309302,19024
14,3,32598,1833260,25331
14,7,60051,1946663,28283
14,1,20330,1166297,16835
15,5,41642,2296762,32482
15,4,24478,1421297,20116
15,2,32162,1738137,24817
15,6,25306,1380996,19492
15,3,19383,1227034,14955
15,7,46254,1563995,22385
15,1,32788,1906027,27387
16,5,17890,903340,13371
16,4,31933,1804658,26217
16,2,34041,1816201,26279
16,6,34111,1835562,26749
16,3,34465,2084863,27977
16,7,42584,1467192,21610
16,1,32965,1907573,27361
17,2,35505,1942714,27812
17,5,41364,2313488,32651
17,4,33470,1905561,27758
17,6,32673,1856886,26712
17,7,52418,1850356,26566
17,3,33765,2018724,26408
17,1,31943,1866560,27007
18,5,40986,2263042,33263
18,2,24771,1320079,19009
18,4,31749,1809110,25923
18,3,34096,1914498,26321
18,6,34524,1937305,27965
18,7,58920,1923537,27717
18,1,33140,1943065,28076
19,5,40273,2186456,31469
19,2,34190,1866144,27065
19,4,33493,1894275,27263
19,3,33261,2082192,26342
19,6,22214,1208008,16874
19,1,22492,1324046,18829
19,7,54665,1865257,27329
20,5,42022,2347992,33265
20,2,26216,1420114,20173
20,4,32353,1823258,26018
20,3,15763,868525,11781
20,1,32757,1927127,27999
20,6,27137,1431750,21064
20,7,37840,1396837,19991
21,5,32099,1747294,25496
21,2,26459,1416500,20437
21,4,5662,277469,4139
21,7,57992,1940455,27959
21,3,34013,2034779,27002
21,6,31936,1799317,25833
21,1,16107,893678,12980
22,5,23918,1295960,18108
22,2,31950,1733628,25089
22,4,24459,1451374,20742
22,7,56887,1798859,26511
22,3,32332,1988260,25463
22,6,33703,1868580,26817
22,1,31512,1913202,27564
23,2,33524,1776459,25487
23,5,41194,2308935,33680
23,4,32664,1881990,27340
23,3,32233,1790313,25196
23,7,26461,952445,13652
23,6,33902,1886983,27281
23,1,31691,1858752,26673
24,2,32218,1736318,25065
24,5,41083,2233602,32212
24,4,29325,1621280,23490
24,6,34386,1915101,27406
24,7,52620,1915644,27639
24,3,31804,1912134,25676
24,1,31502,1820789,26108
25,2,22794,1228211,17210
25,5,41007,2248106,31933
25,4,30331,1718243,24501
25,7,49598,1652083,24137
25,6,35297,2002527,28256
25,3,34674,2095233,27287
25,1,33183,1908879,27282
26,2,32880,1782469,25737
26,5,39014,2112560,30248
26,4,31474,1783586,25446
26,3,33104,2017403,25818
26,7,42101,1468075,21159
26,6,34086,1922304,27631
26,1,34944,2084070,29946
27,2,33500,1744198,25341
27,5,39083,2114495,30762
27,4,31825,1807480,25765
27,3,33633,1907529,26403
27,6,35824,2034875,29028
27,7,56067,1842682,26908
27,1,33087,1952101,28108
28,2,35000,1958050,27574
28,5,28657,1551846,21659
28,4,31647,1790361,25700
28,3,34481,2030115,27078
28,6,35535,1948514,28359
28,1,33986,1992881,28380
28,7,49276,1773860,25275
29,2,34835,1871492,26967
29,5,41665,2271367,32890
29,6,34022,1865027,27082
29,4,31892,1772700,25807
29,3,34673,2095274,27423
29,7,53782,1845679,26798
29,1,32764,1906396,27576
30,2,33954,1812994,25857
30,5,44417,2458734,35376
30,4,32152,1790063,25547
30,6,35621,1958253,28069
30,3,34339,1990353,27567
30,7,47167,1767428,25514
30,1,34002,2003317,28435
31,2,33967,1868890,26690
31,5,44342,2474344,34777
31,6,35489,2034565,28916
31,4,32214,1761225,24924
31,3,34402,2087738,27118
31,7,50502,1820602,26124
31,1,33989,1996596,28831
32,5,43388,2313761,33059
32,2,33101,1760863,25082
32,6,35243,1978939,28447
32,4,32591,1796219,25574
32,3,34282,2032117,27131
32,7,51101,1801461,26173
32,1,33890,1959730,27967
33,2,33867,1819869,26004
33,5,43616,2373864,34013
33,6,34451,1937525,27491
33,4,32683,1825824,26078
33,3,34814,2108446,27463
33,7,49035,1781705,25484
33,1,33662,2000147,28670
34,2,34420,1837169,26319
34,5,43871,2404077,34427
34,6,33922,1878539,27207
34,4,33477,1870946,26715
34,3,34472,2049280,27250
34,7,54355,1867989,27032
34,1,33726,1980564,28106
35,2,36207,1983329,28253
35,5,44075,2447549,34987
35,6,34644,1959659,27872
35,4,32176,1844435,27000
35,3,33798,2057525,26980
35,7,52693,1887434,26945
35,1,33920,2008102,28924
36,2,29543,1659926,24555
36,5,35218,1935518,28173
36,6,28292,1562134,22814
36,4,28751,1670958,24234
36,3,29665,1873019,24395
36,7,50787,1640385,24441
36,1,29830,1710753,25013
37,2,6475,1035021,5073
37,5,9442,1364334,7232
37,6,9169,1116187,7265
37,4,9144,1224015,7432
37,3,7551,3313347,5991
37,7,11552,1052711,6378
37,1,7219,1061508,5712
38,2,28853,1617935,21372
38,5,28610,1709637,21012
38,6,30443,1838854,24474
38,4,26837,1538832,20585
38,3,29952,2251146,22961
38,7,51536,1854399,24643
38,1,29767,1804175,24294
39,2,33810,1788035,26164
39,5,42181,2400961,32451
39,6,34515,2030460,27504
39,4,32821,1815046,26100
39,3,33733,2079518,26500
39,7,57103,1908932,27312
39,1,32945,1946978,26695
40,2,35766,2006846,28947
40,5,41932,2304168,32375
40,6,33677,1878781,27567
40,4,34449,1947016,28487
40,3,33508,1924420,27172
40,7,58029,2013517,28924
40,1,32855,1939459,28183
41,2,36039,1982988,28465
41,5,43933,2476602,36780
41,6,36144,2132207,30622
41,4,32974,1833236,26351
41,3,36314,2228444,30156
41,7,56563,1984495,29345
41,1,35120,2078237,29872
42,2,35483,1964899,28230
42,5,44204,2499490,35743
42,4,33409,1930513,27797
42,6,33817,1880307,26900
42,3,33586,1938993,26788
42,7,53659,1912158,26724
42,1,32363,1873037,26895
43,5,41864,2331700,32998
43,2,35538,1993072,28334
43,4,33396,1913425,27393
43,6,34610,2004576,29562
43,3,32905,1941915,26637
43,7,59955,1936488,29029
43,1,34114,2003148,29248
44,2,33304,1803495,26539
44,5,42169,2389065,35438
44,4,32422,1904286,27654
44,6,35184,2062593,29292
44,3,33924,1998278,27649
44,7,59997,2175743,31684
44,1,32358,1941651,27824
45,2,35697,1999081,28988
45,5,40255,2217165,31646
45,4,32000,1774242,25438
45,6,33463,1867246,27139
45,3,32786,1911263,25882
45,7,56223,1904545,27373
45,1,31214,1899173,27908
46,5,38858,2138186,30152
46,2,33538,1772727,25253
46,4,31713,1798095,26157
46,6,21308,1189997,17393
46,3,34725,2090882,29365
46,7,58693,1993406,29240
46,1,21148,1233180,17639
47,2,34617,1918105,27952
47,5,33669,1843508,27559
47,4,32715,1836452,26088
47,6,33281,1857636,26610
47,3,34406,2062625,27378
47,7,60433,2154395,31332
47,1,32676,1889102,27476
48,2,35523,1988095,28459
48,5,19081,1063792,15001
48,4,32478,1831876,26608
48,6,34989,1997749,28906
48,3,33714,1919883,26803
48,7,61136,1998032,28880
48,1,33747,2021912,28733
49,2,33609,1814449,26038
49,5,44529,2466743,34889
49,4,33289,1924761,27620
49,6,34987,1978612,28648
49,3,34763,2135647,29010
49,7,56535,1934559,28185
49,1,32172,1836547,26587
50,2,34278,1881666,27571
50,5,42293,2303492,33131
50,4,32847,1772538,25564
50,6,34202,1932211,27798
50,3,34309,1959284,27356
50,7,60425,2023762,29471
50,1,33647,1930885,27921
51,2,36028,2061105,29669
51,5,42141,2359893,34335
51,4,32493,1872833,27301
51,6,34443,1901735,27333
51,3,35796,2179626,30135
51,7,63240,2038205,29319
51,1,33159,1905185,27784
52,2,33543,1789737,25485
52,5,46078,2569971,36615
52,4,34722,1956888,27793
52,6,22235,1207121,17520
52,3,34129,2057104,27172
52,7,64239,2116066,31336
52,1,33930,2003649,28993
53,2,33891,1879625,27514
53,5,44010,2450897,35467
53,4,31326,1784647,26072
53,6,33458,1946021,27519
53,3,32487,1875624,26387
53,7,57689,2108328,30368
53,1,31540,1894701,27227
54,2,35328,1910823,27283
54,5,45758,2632198,38443
54,4,33650,1976252,28528
54,6,34922,1921536,28464
54,3,32068,1975511,26613
54,7,52986,1837977,26321
54,1,32475,1889695,26854
55,2,32935,1819130,26484
55,5,43804,2417961,34358
55,4,24157,1350129,19111
55,6,37133,2213597,31992
55,3,11588,659101,9560
55,7,64394,2142072,31756
55,1,33671,1959634,28822
56,2,34668,1947251,28140
56,5,43860,2427163,35345
56,4,25241,1429060,20798
56,6,34815,1953197,27730
56,3,34795,2043556,26619
56,7,63974,2090259,30361
56,1,27597,1598256,22924
57,2,20482,1097823,15389
57,5,43285,2457164,35153
57,4,36785,2150294,31173
57,6,34862,1972099,28466
57,3,36768,2179606,30859
57,7,57015,1868655,26971
57,1,24226,1399375,19916
58,2,28521,1521078,22186
58,5,44518,2474691,35290
58,4,31693,1798965,25808
58,6,36028,2090471,30283
58,3,36025,2031327,28773
58,7,57854,2035962,30058
58,1,32013,1871819,27111
59,2,27730,1577920,23091
59,5,41426,2367764,34373
59,4,31212,1777566,25985
59,6,34184,1927716,28091
59,3,34946,2087410,28446
59,7,52001,1848788,26805
59,1,33389,2008352,29565
60,5,37604,2130445,31676
60,2,18259,1053117,15446
60,4,17152,999387,14793
60,6,27566,1623926,24121
60,3,30566,1808664,25690
60,7,24417,867543,12690
60,1,17797,1049444,15274
61,5,13612,807733,11695
61,2,17,8819,24
61,4,7150,445530,6372
61,6,4120,274073,3819
61,3,8399,610650,6961
61,7,7104,279910,4079
61,1,4333,249697,3671
62,5,6236,1309484,4997
62,2,10264,1273108,7525
62,4,10044,1335944,8103
62,6,5201,1000353,4167
62,3,8984,3641053,6664
62,7,10974,1074800,5771
62,1,6813,1152550,5683
63,5,36285,2115691,27934
63,2,34679,1854587,26547
63,4,32596,1810500,26073
63,6,30260,1713184,23766
63,3,33033,2164053,25738
63,7,36949,1234326,17255
63,1,30451,1804420,25355
64,5,26450,1406077,19666
64,2,35093,1987648,28767
64,4,34334,2016702,29080
64,6,34047,1887664,26811
64,3,35820,2093589,29659
64,7,42920,1465355,20845
64,1,31531,1867034,25979
65,5,43159,2402951,34200
65,4,33466,1889985,27206
65,2,33825,1849238,26686
65,6,35544,2054384,29940
65,3,36363,2270013,29830
65,7,56399,1940352,27830
65,1,20313,1184974,17189
66,5,43492,2484284,36347
66,4,31515,1766933,25402
66,2,33751,1841709,26024
66,6,30990,1773427,25166
66,3,34971,2056800,27806
66,7,55418,1939501,28081
66,1,36079,2200292,31686
67,5,43931,2456360,34646
67,4,35567,2076233,29931
67,2,33005,1829115,26325
67,3,35965,2102143,29174
67,6,28616,1668242,24094
67,7,60006,1991158,28922
67,1,32853,1920907,27689
68,5,33307,1824117,25788
68,4,34220,1957518,28602
68,2,35927,2005353,29336
68,3,34248,2007178,27101
68,6,36704,2085626,30615
68,7,51695,1758988,25204
68,1,34950,2088890,29980
69,5,38665,2231420,32758
69,2,32291,1781466,25420
69,4,33004,1897545,27151
69,6,33885,1971057,28053
69,3,38022,2219860,31374
69,7,38781,1209887,17737
69,1,34950,1987171,29028
70,5,44042,2448102,35565
70,2,33546,1862728,27218
70,4,33078,1926279,27686
70,3,33984,1985907,26368
70,6,34075,1926168,28010
70,7,66761,2197718,32276
70,1,33725,1981325,28560
71,5,43784,2433188,34146
71,2,35553,1965365,28447
71,4,31910,1848675,26495
71,3,34582,1965313,27921
71,6,35580,2098345,30222
71,7,61080,2073644,30215
71,1,32928,1936976,27927
72,5,43113,2400144,35077
72,2,33811,1799315,25694
72,4,33913,1935384,28158
72,3,34802,2142118,28307
72,6,35705,2064239,30250
72,7,65144,2128171,30918
72,1,33969,2028972,29624
73,5,45638,2627107,38129
73,2,35925,2027578,29561
73,4,34759,1987842,28834
73,3,34000,1936891,27343
73,6,34146,2042865,29430
73,7,62173,2092782,30310
73,1,33995,1980087,28684
74,5,42649,2351584,33255
74,2,35163,1937275,27525
74,4,33210,1848304,26582
74,3,36157,2227140,30230
74,6,34402,1991644,28852
74,7,61762,2058000,29939
74,1,31263,1834658,26167
75,5,44661,2554916,37439
75,2,33171,1791441,26246
75,4,32086,1850082,26732
75,3,35140,2015891,27740
75,6,33252,1899489,27162
75,7,60702,2011714,29334
75,1,31822,1790654,25886
76,5,42652,2423843,34918
76,3,34393,2105980,28737
76,2,35622,1985137,28623
76,4,33050,1903309,27194
76,6,34221,1997545,29079
76,7,56321,2012482,29124
76,1,33365,1973855,28455
77,5,43176,2454680,34928
77,3,28672,1742153,23447
77,2,33778,1814365,25772
77,4,32618,1823174,26268
77,6,35121,2069155,29572
77,7,57915,1900424,27599
77,1,34926,2078118,30485
78,5,41366,2297621,33529
78,3,30675,1807684,24813
78,2,31791,1691565,24614
78,4,34866,2025356,29628
78,6,34515,1967368,28780
78,7,59999,1997403,29024
78,1,34350,1992833,28437
79,5,44772,2562907,36732
79,3,35171,2131156,29032
79,2,35284,1986498,28376
79,4,34458,1975603,28532
79,6,34950,2046340,29454
79,7,59644,2120390,31172
79,1,32453,1888274,27094
80,5,41893,2347861,33819
80,3,36018,2087101,29094
80,2,33478,1858843,26733
80,6,33024,1859426,26773
80,4,21657,1304324,18776
80,7,51421,1857454,26988
80,1,32659,1956575,28394
81,5,42403,2411779,34797
