moment,node,recv_packets,send_bytes,send_packets
1,2,22,5424,27
1,5,80,33843,81
1,3,78,29471,79
1,1,18,5585,25
1,4,22,4780,26
1,6,77,31626,78
1,7,17,6142,23
2,2,13,4408,19
2,5,15,4255,21
2,3,11344,180355010,9940
2,4,5883,400165,5554
2,1,2957,44422488,2430
2,6,21,4866,27
2,7,54,148715,62
3,2,5057,248589,3001
3,5,4976,198435,2926
3,3,2315,135517930,2870
3,4,8547,542129140,10787
3,1,6609,177582478,5693
3,6,5056,207824,3022
3,7,5723,402270,2933
4,2,3626,427327,2275
4,5,3767,257977,2400
4,3,3589,259394,2109
4,4,4715,549617,3308
4,1,3511,456893,2130
4,6,3275,293483,1969
4,7,4223,249597,2076
5,2,29042,1482193,22218
5,5,32907,1786303,26745
5,1,28869,1567134,23557
5,4,34365,1865583,27892
5,3,30339,1575598,23656
5,6,30148,1613697,24171
5,7,43814,1390408,20708
6,2,31703,1912104,24374
6,5,32245,1758395,25185
6,4,37140,2079816,29148
6,1,29784,1651133,23477
6,3,30490,1609488,22761
6,6,31732,1786115,25524
6,7,47847,1610894,22886
7,2,28189,1575040,21368
7,1,25456,1454246,20302
7,3,27535,1478743,20798
7,5,26556,1442885,20147
7,4,38401,2097040,31225
7,7,57338,1786997,26141
7,6,26235,1450179,20315
8,2,35006,2163572,28162
8,1,31897,1829861,26674
8,3,34098,1880103,27226
8,5,31870,1710844,24590
8,4,26733,1519635,20946
8,6,33245,1921425,27659
8,7,53951,1698045,24886
9,2,35747,2037908,28179
9,1,31689,1870713,27227
9,3,33032,1784878,26286
9,5,30579,1660287,24311
9,4,37453,2131060,30944
9,7,59556,1873539,26788
9,6,32726,1888898,28083
10,2,12510,757397,9992
10,1,6645,391090,5627
10,5,9260,520576,7484
10,3,6397,372843,5200
10,4,23277,1320019,19420
10,7,56306,1692116,25206
10,6,1667,117876,1435
11,2,808,1831888,901
11,5,615,414890,703
11,1,633,356735,713
11,3,605,401095,699
11,4,2375,552336,2106
11,7,3291,455959,1790
11,6,555,349654,627
12,2,549,1162246,595
12,5,465,276267,522
12,1,585,337647,659
12,3,481,283614,530
12,4,562,336338,627
12,7,469,266145,516
12,6,493,307656,555
13,2,1078,2255174,1193
13,5,764,499088,873
13,3,775,472805,877
13,1,865,489495,977
13,4,1104,694293,1256
13,7,795,500571,897
13,6,771,492352,878
14,2,589,2012935,683
14,5,366,367641,459
14,3,383,371186,475
14,1,456,350798,548
14,4,471,442951,588
14,7,385,352646,466
14,6,362,352820,451
15,2,3549,4182457,3708
15,5,3138,956185,3270
15,1,3150,976529,3423
15,3,2871,922153,3034
15,4,4080,1236655,4262
15,6,2882,954429,3061
15,7,2817,908318,2973
16,2,1970,4116981,2095
16,5,1617,820082,1766
16,3,1367,792686,1554
16,4,1885,976939,2095
16,1,1528,802985,1718
16,6,1306,770643,1487
16,7,1372,760262,1544
