moment,node,recv_packets,send_bytes,send_packets
1,3,18,5271,24
1,2,18,5770,23
1,7,17,7613,22
1,5,16,4529,23
1,1,57,27237,57
1,4,36,17111,42
1,6,15,4920,22
2,3,9478,135878157,7721
2,2,6088,504420,5862
2,7,22,4799,29
2,5,23,5591,30
2,1,2187,44511573,2897
2,4,19,5050,29
2,6,3405,44506251,2498
3,3,5573,271083103,6241
3,2,6499,406594715,8404
3,7,5538,234349,2793
3,1,4396,44519846,3063
3,5,4977,198218,2879
3,4,4908,193288,2847
3,6,5812,133539431,4857
4,3,2114,164804,1660
4,2,2953,259083,2366
4,1,2059,236111,1719
4,7,3542,214222,1466
4,5,2096,190246,1748
4,6,1989,232090,1630
4,4,2047,201634,1692
5,3,14259,707597,10466
5,2,21425,1122168,16512
5,1,15624,858530,12644
5,7,25677,854170,12595
5,5,15379,821939,11917
5,6,15740,852078,12492
5,4,15532,884319,13023
6,2,3164,427818,2758
6,3,2243,295502,1881
6,1,552,200119,579
6,7,2195,952161,1434
6,5,758,231994,747
6,6,580,205079,601
6,4,518,187141,552
7,2,2764,966742,2952
7,1,2027,764986,2205
7,3,2102,724633,2312
7,7,2214,3610440,2311
7,5,2011,818822,2180
7,6,2132,840133,2322
7,4,2095,770548,2277
