moment,node,load5,load10,load15,procs
1,2,3.1,5.43,5.28,493
1,5,3.17,5.18,4.64,492
1,3,2.47,4.68,4.41,489
1,4,3.81,5.11,4.54,494
1,7,2.24,6.43,5.91,495
1,1,4.96,5.39,4.95,493
1,6,3.42,5.38,5.14,489
2,2,2.85,5.34,5.25,494
2,3,2.27,4.6,4.39,489
2,5,2.92,5.1,4.62,534
2,4,3.5,5.02,4.52,494
2,7,2.06,6.33,5.88,495
2,1,4.56,5.3,4.92,494
2,6,3.15,5.29,5.11,489
3,2,2.94,5.31,5.24,588
3,5,2.85,5.05,4.6,676
3,3,2.09,4.53,4.36,584
3,4,3.22,4.94,4.49,586
3,7,2.05,6.25,5.86,664
3,1,4.36,5.24,4.91,591
3,6,2.9,5.2,5.08,582
4,2,3.91,5.47,5.3,630
4,4,3.04,4.87,4.47,634
4,5,2.7,4.98,4.58,710
4,3,1.92,4.45,4.34,630
4,7,2.13,6.2,5.85,705
4,1,4.57,5.27,4.92,637
4,6,2.74,5.13,5.06,632
5,2,4.56,5.58,5.33,628
5,3,2.33,4.49,4.35,628
5,4,3.36,4.91,4.49,632
5,5,2.96,5,4.59,708
5,7,3.16,6.35,5.89,703
5,1,5.65,5.48,4.99,634
5,6,3.33,5.21,5.09,630
6,2,4.91,5.64,5.35,626
6,3,2.86,4.57,4.38,626
6,4,3.65,4.94,4.5,631
6,5,3.05,4.98,4.59,706
6,7,3.71,6.41,5.92,700
6,1,6.48,5.66,5.05,632
6,6,3.54,5.23,5.09,628
7,2,5,5.65,5.36,628
7,3,2.87,4.54,4.37,628
7,4,4.08,5.01,4.52,633
7,5,3.36,5.01,4.6,708
7,1,6.52,5.68,5.06,634
7,7,4.61,6.55,5.97,701
7,6,4.06,5.31,5.12,630
8,2,5.32,5.7,5.38,628
8,5,3.81,5.08,4.63,708
8,3,3.36,4.62,4.4,628
8,4,4.87,5.16,4.58,633
8,7,5.36,6.67,6.01,702
8,1,6.56,5.7,5.07,634
8,6,4.37,5.35,5.13,630
9,3,3.74,4.67,4.42,628
9,2,5.54,5.74,5.39,628
9,5,4.31,5.16,4.66,708
9,4,5.29,5.24,4.6,633
9,7,6.06,6.8,6.05,703
9,1,6.75,5.76,5.09,634
9,6,4.58,5.38,5.14,630
10,3,4.08,4.73,4.44,626
10,5,4.53,5.19,4.67,707
