moment,node,load5,load10,load15,procs
1,2,4.05,1.82,2.25,511
1,5,2.32,1.05,1.55,505
1,3,3.98,1.82,2.74,514
1,1,2.34,1.1,1.8,506
1,4,2.3,1.06,1.43,509
1,6,0.89,0.63,1.35,495
1,7,1.99,1.11,1.88,507
2,2,3.73,1.79,2.24,511
2,5,2.13,1.04,1.54,505
2,3,3.74,1.81,2.73,515
2,4,2.19,1.06,1.43,551
2,1,2.15,1.08,1.79,506
2,6,0.82,0.61,1.34,495
2,7,1.83,1.09,1.87,508
3,2,3.51,1.78,2.23,588
3,5,2.12,1.05,1.54,580
3,3,3.44,1.78,2.72,591
3,4,2.42,1.12,1.45,734
3,1,2.14,1.1,1.79,588
3,6,0.91,0.64,1.35,570
3,7,1.68,1.07,1.86,586
4,2,4.11,1.93,2.28,657
4,5,2.67,1.18,1.58,645
4,3,3.41,1.8,2.72,652
4,4,3.99,1.47,1.56,799
4,1,2.29,1.14,1.8,648
4,6,1.24,0.71,1.37,637
4,7,1.63,1.07,1.86,647
5,2,4.58,2.07,2.32,654
5,5,3.26,1.33,1.63,643
5,1,2.9,1.29,1.85,646
5,4,4.87,1.7,1.64,797
5,3,4.26,2,2.78,651
5,6,1.94,0.87,1.41,635
5,7,2.06,1.17,1.88,645
6,2,4.94,2.18,2.35,652
6,5,3.72,1.46,1.67,641
6,4,5.68,1.92,1.71,795
6,1,3.79,1.5,1.91,644
6,3,4.72,2.13,2.82,649
6,6,2.43,0.98,1.45,633
6,7,2.77,1.33,1.93,643
7,2,5.26,2.29,2.39,654
7,1,3.89,1.56,1.93,646
7,3,4.98,2.23,2.85,651
7,5,4.22,1.6,1.71,643
7,4,6.19,2.08,1.76,797
7,7,3.19,1.44,1.97,645
7,6,2.63,1.05,1.47,635
8,2,5.4,2.37,2.41,654
8,1,3.98,1.62,1.95,646
8,3,5.3,2.35,2.88,651
8,5,4.36,1.67,1.74,643
8,4,6.65,2.25,1.82,796
8,6,3.06,1.17,1.5,635
8,7,3.18,1.47,1.97,643
9,2,5.53,2.45,2.44,655
9,1,4.3,1.72,1.98,645
9,3,6,2.54,2.94,650
9,5,4.58,1.76,1.77,642
9,4,6.84,2.36,1.86,797
9,7,3.64,1.6,2.01,645
9,6,3.54,1.3,1.54,632
10,2,5.09,2.41,2.43,652
10,1,3.96,1.69,1.97,644
10,5,4.21,1.73,1.76,641
10,3,5.92,2.58,2.95,649
10,4,7.81,2.64,1.95,796
10,7,4.15,1.74,2.05,643
10,6,3.26,1.27,1.53,632
11,2,5.48,2.54,2.47,654
11,5,4.83,1.9,1.81,641
11,1,3.64,1.67,1.96,646
11,3,5.44,2.54,2.93,651
11,4,8.63,2.89,2.04,798
11,7,4.06,1.76,2.06,645
11,6,3,1.25,1.53,636
12,2,5.44,2.58,2.48,682
12,5,4.45,1.87,1.8,672
12,1,3.35,1.64,1.95,676
12,3,5.49,2.59,2.95,680
12,4,9.06,3.08,2.1,846
12,7,4.86,1.96,2.12,676
12,6,3.24,1.33,1.55,665
13,2,5.49,2.63,2.5,695
13,5,4.25,1.87,1.8,683
13,3,5.93,2.73,2.99,692
13,1,3.16,1.63,1.94,685
13,4,8.97,3.16,2.13,863
13,7,4.95,2.03,2.14,685
13,6,3.06,1.33,1.55,676
14,2,5.69,2.72,2.53,695
14,5,4.39,1.94,1.83,683
14,3,5.46,2.69,2.98,694
14,1,3.55,1.73,1.97,686
14,4,9.06,3.27,2.17,864
14,7,5.35,2.16,2.19,686
14,6,3.05,1.35,1.56,676
15,2,5.47,2.73,2.53,699
15,5,4.04,1.91,1.82,693
15,1,3.42,1.74,1.97,697
15,3,5.74,2.79,3.01,702
15,4,8.49,3.25,2.17,856
15,6,2.89,1.35,1.55,682
15,7,5.08,2.16,2.19,694
16,2,6.32,2.95,2.61,695
16,5,3.95,1.93,1.82,689
16,3,6.08,2.91,3.05,698
16,4,8.61,3.36,2.22,851
16,1,3.63,1.81,2,693
16,6,2.9,1.38,1.56,678
16,7,5.72,2.34,2.24,690
