moment,node,load5,load10,load15,procs
1,2,2.8,8.98,10.46,514
1,3,2.87,8.92,10.39,513
1,5,2.5,12.38,14.33,510
1,4,2.96,11.41,12.28,513
1,1,3.51,9.7,11.34,513
1,6,2.91,9.46,11.06,497
1,7,1.39,9,11.25,511
2,2,2.57,8.83,10.41,514
2,3,2.64,8.77,10.34,552
2,5,2.3,12.17,14.25,510
2,4,2.72,11.22,12.21,514
2,1,3.22,9.54,11.28,513
2,6,2.68,9.3,11,498
2,7,1.28,8.85,11.19,511
3,2,2.37,8.68,10.35,605
3,4,2.5,11.03,12.15,607
3,3,2.42,8.62,10.28,739
3,1,2.97,9.38,11.22,606
3,5,2.11,11.97,14.18,610
3,6,2.47,9.15,10.94,591
3,7,1.18,8.7,11.13,588
4,2,2.34,8.57,10.31,655
4,1,2.97,9.28,11.18,653
4,3,2.23,8.48,10.22,805
4,4,2.86,10.97,12.12,649
4,5,2.27,11.84,14.12,656
4,6,2.35,9.01,10.89,635
4,7,1.08,8.56,11.07,650
5,2,2.95,8.6,10.3,653
5,1,3.53,9.29,11.17,651
5,3,3.17,8.57,10.25,804
5,4,3.51,10.97,12.11,647
5,5,3.04,11.84,14.11,654
5,6,3.36,9.11,10.91,633
5,7,1.8,8.58,11.06,648
6,2,4,8.72,10.33,651
6,1,3.89,9.27,11.15,649
6,4,3.71,10.88,12.08,645
6,3,4.36,8.73,10.29,801
6,5,3.44,11.78,14.08,652
6,6,3.81,9.11,10.9,631
6,7,2.69,8.66,11.07,646
7,2,4.48,8.74,10.33,651
7,1,4.22,9.25,11.13,649
7,3,5.13,8.82,10.31,801
7,4,4.06,10.84,12.06,645
7,5,3.97,11.75,14.05,653
7,6,4.15,9.09,10.88,631
7,7,3.36,8.7,11.07,646
8,2,4.12,8.6,10.28,651
8,1,3.88,9.09,11.07,653
8,3,4.8,8.69,10.26,806
8,4,3.73,10.66,11.99,651
8,5,3.65,11.55,13.98,657
8,6,3.82,8.94,10.82,633
8,7,4.45,8.83,11.1,647
9,2,4.75,8.65,10.29,693
9,1,4.05,9.04,11.05,698
9,3,4.74,8.61,10.22,869
9,4,3.99,10.6,11.96,692
9,5,4,11.49,13.95,695
9,6,4.71,9.04,10.85,677
9,7,4.58,8.79,11.08,689
10,2,4.37,8.51,10.23,700
10,1,3.73,8.89,10.99,699
10,3,5.48,8.7,10.24,873
10,4,3.67,10.42,11.9,694
10,5,3.68,11.3,13.87,697
10,6,4.58,8.94,10.8,681
10,7,4.21,8.64,11.02,690
11,1,3.43,8.74,10.93,704
11,2,4.02,8.37,10.18,706
11,3,6.24,8.8,10.27,883
11,5,3.38,11.11,13.8,701
11,4,3.38,10.25,11.84,701
11,6,4.21,8.79,10.75,687
11,7,3.87,8.5,10.96,699
12,1,3.23,8.61,10.87,702
12,3,6.7,8.86,10.28,882
12,2,4.1,8.31,10.15,705
12,5,3.11,10.93,13.72,701
12,4,3.19,10.09,11.78,698
12,6,4.27,8.73,10.72,687
12,7,4.28,8.51,10.95,699
