moment,node,load5,load10,load15,procs
1,3,1.11,0.94,1.67,509
1,2,2.55,1.22,1.43,510
1,7,1.74,0.99,1.26,506
1,5,3.43,1.65,1.62,508
1,1,2.49,1.29,1.53,505
1,4,2.84,1.37,1.46,508
1,6,1.42,0.99,1.37,497
2,3,1.02,0.93,1.66,509
2,2,2.34,1.2,1.42,551
2,7,1.6,0.98,1.25,506
2,5,3.16,1.62,1.61,508
2,1,2.29,1.27,1.52,506
2,4,2.61,1.35,1.45,508
2,6,1.31,0.98,1.36,497
3,3,0.94,0.91,1.66,554
3,2,2.24,1.2,1.42,640
3,7,1.55,0.98,1.25,548
3,1,2.18,1.26,1.52,548
3,5,2.91,1.59,1.6,548
3,4,2.48,1.35,1.45,548
3,6,1.2,0.96,1.35,543
4,3,1.11,0.94,1.66,643
4,2,2.38,1.24,1.43,793
4,1,2.17,1.28,1.52,639
4,7,1.67,1.01,1.26,646
4,5,2.83,1.6,1.6,643
4,6,1.11,0.94,1.34,630
4,4,2.61,1.39,1.47,643
5,3,1.1,0.95,1.66,642
5,2,2.59,1.31,1.45,791
5,1,2.32,1.32,1.53,638
5,7,1.85,1.06,1.27,644
5,5,2.93,1.64,1.62,642
5,6,1.34,1,1.36,629
5,4,2.72,1.43,1.48,642
6,2,2.46,1.3,1.45,854
6,3,1.41,1.01,1.68,684
6,1,2.13,1.3,1.52,683
6,7,1.95,1.09,1.28,686
6,5,2.69,1.61,1.61,685
6,6,1.31,1,1.36,670
6,4,2.5,1.41,1.47,686
7,2,3.63,1.56,1.53,876
7,1,2.52,1.39,1.55,693
7,3,1.54,1.05,1.68,699
7,7,2.11,1.14,1.3,696
7,5,2.56,1.6,1.6,696
7,6,1.21,0.98,1.35,686
7,4,2.38,1.4,1.47,697
