moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,140599296,0,22,0,0.0200000000040745
1,5,0,140582912,0,22,0,0.0240000000032552
1,2,0,210993152,0,30,0,0.052000000004071
1,4,0,140627968,0,25,0,0.0719999999887051
1,7,0,45056,0,2,0,0
1,1,0,320278528,0,29,0,0.0240000000048894
1,6,0,140603392,0,22,0,0.0159999999887077
2,3,0,163840,0,6,0,0.0079999999870779
2,5,0,135368704,0,6,0,0.0120000000024447
2,2,0,44388352,0,7,0,0.00800000000162981
2,4,0,53248,0,2,0,0
2,7,0,44752896,0,370,0,17.1519999999865
2,1,0,434176,0,53,0,0.272000000000006
2,6,0,102400,0,4,0,0.0120000000000005
3,3,0,28672,0,2,0,0
3,2,0,111775744,0,940,0,85.0200000000041
3,5,0,16384,0,2,0,0
3,4,0,134627328,0,1049,0,107.40800000001
3,7,0,114688,0,5,0,0.0160000000016112
3,1,0,44351488,0,343,0,18.1839999999938
3,6,0,134553600,0,1049,0,113.26400000001
4,3,0,180027392,0,1476,0,121.652000000005
4,2,0,136097792,0,1112,0,73.6199999999953
4,4,0,282337280,0,2285,0,226.775999999998
4,5,0,179806208,0,1447,0,119.428
4,7,0,68595712,0,533,0,20.5320000000186
4,1,0,68546560,0,530,0,21.2280000000028
4,6,0,69701632,0,551,0,35.1279999999905
5,3,229376,71053312,2,624,0.0080000000000009,44.0920000000042
5,2,131072,3481600,1,31,0.00799999999999912,0.0679999999984915
5,4,131072,5144576,1,44,0.00400000000000134,0.111999999992904
5,5,131072,71135232,1,646,0.0080000000000009,45.4239999999914
5,7,131072,3510272,1,49,0.00399999999999956,0.144000000000233
5,1,131072,3444736,1,31,0.00799999999999912,0.152000000001038
5,6,0,3481600,0,32,0,0.112000000008265
6,3,0,114688,0,5,0,0.00800000000162981
6,2,98304,143360,1,10,0.00400000000000134,0.00800000000162981
6,4,98304,266240,1,28,0.00799999999999912,0.236000000002434
6,5,98304,139264,1,8,0.00399999999999956,0.00800000000162981
6,7,98304,102400,1,4,0.0080000000000009,0.00800000000162981
6,1,98304,139264,1,8,0.00400000000000134,0.00400000000081491
