moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,747167744,0,75,0,0.0480000000025029
1,5,0,608194560,0,59,0,0.0519999999927876
1,2,0,676970496,0,73,0,0.140000000000057
1,4,0,677003264,0,65,0,0.120000000000047
1,1,0,677011456,0,81,0,0.044000000008964
1,7,0,677081088,0,62,0,0.0560000000024985
1,6,0,2822144,0,51,0,0.155999999988126
2,5,0,65536,0,10,0,0
2,2,0,1007616,0,33,0,0
2,3,0,134750208,0,1057,0,109.843999999997
2,4,0,16384,0,2,0,0
2,1,0,0,0,0,0,0
2,7,0,1167360,0,54,0,0.135999999999996
2,6,0,99782656,0,814,0,71.69200000001
3,5,0,1568768,0,40,0,0.0200000000040745
3,3,0,45481984,0,354,0,16.7160000000003
3,2,0,111550464,0,919,0,85.1160000000018
3,4,0,135266304,0,1057,0,118.800000000003
3,7,0,73728,0,2,0,0
3,1,0,108347392,0,903,0,87.4799999999959
3,6,0,51822592,0,423,0,26.9919999999975
4,5,0,68546560,0,530,0,20.8120000000045
4,3,0,68710400,0,550,0,20.2960000000026
4,2,0,136044544,0,1113,0,67.9279999999998
4,4,4096,113917952,1,879,0.012,39.279999999998
4,7,0,158478336,0,1257,0,139.112000000001
4,1,0,139776000,0,1141,0,78.8960000000014
4,6,0,845185024,0,1096,0,100.988000000005
5,5,0,3461120,0,31,0,0.0760000000009313
5,3,0,3444736,0,31,0,0.0799999999944703
5,2,0,3469312,0,31,0,0.123999999996158
5,4,0,3473408,0,31,0,0.11200000000099
5,7,0,92209152,0,802,0,43.4399999999942
5,1,0,3551232,0,35,0,0.144000000000233
5,6,0,5095424,0,43,0,0.283999999999651
6,5,0,28672,0,3,0,0
6,3,0,40960,0,5,0,0
6,2,0,24576,0,3,0,0
6,4,0,24576,0,3,0,0
6,7,0,135168,0,12,0,0.0800000000016325
6,1,0,126976,0,6,0,0.00800000000162981
6,6,0,53248,0,6,0,0
7,5,0,192512,0,10,0,0.0639999999887095
7,3,0,0,0,0,0,0
7,2,0,77824,0,5,0,0.00400000000081491
7,4,0,32768,0,3,0,0
7,7,0,28672,0,2,0,0
7,1,0,12288,0,3,0,0
7,6,0,192512,0,9,0,0.0159999999887077
8,5,0,20480,0,2,0,0
8,3,0,151552,0,6,0,0.0120000000024447
8,2,0,180224,0,17,0,0.0680000000008221
8,4,0,86016,0,6,0,0.0240000000016352
8,7,0,167936,0,7,0,0.0200000000040745
8,1,0,163840,0,14,0,0.0439999999870793
8,6,0,163840,0,5,0,0.0160000000032596
9,5,0,111427584,0,928,0,84.5040000000072
9,2,0,552960,0,37,0,0.0120000000024447
9,3,0,179392512,0,1535,0,162.120000000003
9,4,0,323584,0,19,0,0.0199999999967986
9,7,0,192512,0,9,0,0.0159999999943494
9,1,0,143360,0,4,0,0.00800000000162981
9,6,0,1744896,0,96,0,0.140000000004193
10,3,0,68296704,0,536,0,36.7279999999962
10,5,0,147378176,0,1245,0,122.611999999993
10,2,0,68853760,0,552,0,37.6479999999985
10,4,0,179408896,0,1542,0,171.215999999999
10,7,0,68755456,0,564,0,43.0520000000049
10,1,0,68808704,0,575,0,39.19200000001
10,6,0,17264640,0,137,0,3.39199999999255
11,5,0,45056,0,3,0,0.00400000000000489
11,3,0,110592,0,7,0,0.0120000000024447
11,2,0,147456,0,4,0,0.0200000000032503
11,4,0,68108288,0,522,0,40.596000000005
11,7,0,81920,0,4,0,0.00799999999435386
11,1,0,135168,0,10,0,0.00800000000162981
11,6,0,85180416,0,667,0,67.8400000000111
12,5,0,114688,0,4,0,0.00800000000162981
12,3,0,28672,0,2,0,0
12,2,0,790528,0,9,0,0.00799999999435386
12,4,0,114688,0,2,0,0.00800000000162981
12,7,0,86016,0,2,0,0.00800000000162981
12,1,0,548864,0,9,0,0.0159999999887077
12,6,0,217088,0,4,0,0.0119999999878928
13,5,0,172032,0,7,0,0.0800000000032668
13,3,0,4272128,0,41,0,0.171999999998661
13,2,0,126976,0,4,0,0.0200000000040745
13,4,0,1421312,0,15,0,0.0199999999967986
13,7,0,2318336,0,20,0,0.0520000000033178
13,1,0,4362240,0,41,0,0.232000000003609
13,6,0,733184,0,16,0,0.00800000000162981
14,5,0,24576,0,2,0,0
14,3,0,5828608,0,54,0,0.372000000003027
14,2,0,5300224,0,48,0,0.239999999997963
14,4,0,1257472,0,14,0,0.0160000000032596
14,1,0,5971968,0,53,0,0.423999999999069
14,7,0,6438912,0,63,0,0.61999999999685
14,6,0,2961408,0,31,0,0.0720000000001164
15,5,0,1376256,0,13,0,0.0160000000032596
15,3,0,9388032,0,87,0,1.01999999999919
15,2,0,5648384,0,60,0,0.472000000002922
15,4,0,13783040,0,135,0,2.41599999999477
15,7,0,2752512,0,28,0,0.0639999999984866
15,1,0,5775360,0,52,0,0.423999999997434
15,6,0,2945024,0,30,0,0.0679999999993015
16,5,0,8126464,0,79,0,0.747999999995457
16,3,0,487424,0,30,0,0.0120000000016205
16,2,0,8744960,0,103,0,0.903999999994994
16,4,0,1490944,0,21,0,0.0200000000040745
16,7,0,10088448,0,97,0,1.26400000000285
16,1,0,4521984,0,55,0,0.364000000002804
16,6,0,4186112,0,41,0,0.27600000000605
17,5,0,446464,0,31,0,0.00800000000162981
17,3,0,188416,0,3,0,0.0119999999951688
17,2,0,221184,0,5,0,0.0160000000032596
17,4,0,471040,0,29,0,0.0119999999951688
17,1,0,249856,0,11,0,0.00800000000162981
17,7,0,1810432,0,17,0,0.0360000000000582
17,6,0,9023488,0,82,0,0.868000000002212
18,5,0,569344,0,7,0,0.00800000000162981
18,3,0,40960,0,6,0,0
18,2,0,1597440,0,19,0,0.0400000000008731
18,4,0,77824,0,2,0,0.00800000000162981
18,7,0,442368,0,23,0,0.0120000000016347
18,1,0,22016000,0,39,0,0.0120000000024447
18,6,0,8466432,0,110,0,0.627999999996973
19,5,0,21258240,0,15,0,0.0560000000016316
19,3,0,21184512,0,54,0,0.0360000000000582
19,2,0,20107264,0,9,0,0.0119999999951688
19,4,0,17666048,0,7,0,0.0239999999976135
19,7,0,23158784,0,7,0,0.0199999999967986
19,1,0,0,0,0,0,0
19,6,0,26083328,0,17,0,0.0120000000024447
20,5,0,4452352,0,88,0,0.216000000000349
20,2,0,131072,0,2,0,0.0200000000040745
20,3,0,233472,0,7,0,0.00800000000162981
20,4,0,3125248,0,66,0,0.124000000000166
20,7,0,3178496,0,71,0,0.200000000001793
20,1,0,4571136,0,81,0,0.267999999996391
20,6,0,184320,0,6,0,0.00800000000162981
21,5,0,126976,0,4,0,0.0120000000016205
21,3,0,61440,0,4,0,0.019999999999996
21,2,0,6361088,0,107,0,0.571999999996848
21,4,0,147456,0,7,0,0.00800000000162981
21,7,0,184320,0,6,0,0.0200000000032645
21,1,0,106496,0,4,0,0.00800000000162981
21,6,0,6475776,0,116,0,0.644000000000233
22,5,0,221184,0,14,0,0.0720000000000027
22,3,0,102400,0,8,0,0.00800000000162981
22,2,0,188416,0,13,0,0.0440000000024412
22,4,0,2830336,0,56,0,0.184000000001049
22,7,0,3944448,0,67,0,0.395999999993364
22,1,0,2723840,0,59,0,0.0960000000050059
22,6,0,155648,0,6,0,0.00800000000162981
23,5,0,6340608,0,104,0,0.555999999996857
23,3,0,5349376,0,79,0,0.515999999995984
23,2,0,196608,0,4,0,0.0120000000024447
23,4,0,126976,0,4,0,0.0120000000024447
23,7,0,192512,0,13,0,0.0120000000024447
23,1,0,114688,0,16,0,0.039999999999992
23,6,0,12288,0,2,0,0
24,5,0,155648,0,3,0,0.0120000000024447
24,3,0,44449792,0,8,0,0.0160000000032596
24,2,0,7065600,0,107,0,0.707999999998719
24,4,0,6266880,0,93,0,0.551999999996042
24,7,0,4657152,0,74,0,0.311999999998079
24,1,0,139206656,0,80,0,0.292000000001281
24,6,0,8089600,0,128,0,0.652000000001863
25,5,0,196608,0,11,0,0.00800000000162981
25,3,0,126976,0,5,0,0.0120000000024447
25,2,0,45056,0,2,0,0
25,4,0,163840,0,6,0,0.0160000000024496
25,7,0,44519424,0,8,0,0.0240000000048894
25,1,0,86016,0,5,0,0.0079999999870779
25,6,0,135532544,0,13,0,0.0519999999887091
26,5,0,159744,0,5,0,0.0119999999878928
26,3,0,6008832,0,122,0,0.939999999996857
26,2,0,172032,0,3,0,0.0159999999959837
26,4,0,4202496,0,72,0,0.195999999996275
26,1,0,159744,0,3,0,0.00800000000162981
26,7,0,237568,0,10,0,0.0479999999951701
26,6,0,163840,0,7,0,0.0120000000024447
27,5,0,8740864,0,136,0,0.884000000005472
27,3,0,163840,0,6,0,0.00800000000162981
27,2,0,7995392,0,133,0,1.04400000000007
27,4,0,163840,0,5,0,0.0120000000024447
27,7,0,208896,0,7,0,0.0120000000024447
27,1,0,5292032,0,87,0,0.400000000008731
27,6,0,8896512,0,130,0,1.14800000000105
28,5,0,192512,0,6,0,0.00800000000162981
28,2,0,339968,0,25,0,0.152000000002445
28,3,0,188416,0,9,0,0.0119999999951688
28,4,0,225280,0,22,0,0.180000000002437
28,1,0,90112,0,5,0,0.00800000000162981
28,7,0,6410240,0,116,0,0.735999999997148
28,6,0,94208,0,4,0,0
29,5,0,155648,0,5,0,0.00800000000162981
29,2,0,139264,0,4,0,0.00800000000162981
29,3,0,7753728,0,122,0,0.696000000003551
29,4,0,6225920,0,105,0,0.472000000001572
29,1,0,253952,0,16,0,0.155999999987898
29,7,0,147456,0,3,0,0.00800000000162981
29,6,0,229376,0,7,0,0.0120000000024447
30,5,0,6799360,0,99,0,0.752000000000351
30,3,0,143360,0,6,0,0.00800000000162981
30,2,0,16384,0,2,0,0
30,4,0,16543744,0,7,0,0.00799999999435386
30,1,0,15450112,0,12,0,0.0160000000032596
30,7,0,3874816,0,49,0,0.211999999999534
30,6,0,7397376,0,100,0,0.971999999994296
31,5,0,18731008,0,13,0,0.0120000000024447
31,3,0,15589376,0,10,0,0.0119999999951688
31,2,0,17014784,0,6,0,0.0199999999967986
31,4,0,147456,0,3,0,0.0120000000024447
31,1,0,6004736,0,108,0,0.512000000002445
31,7,0,16883712,0,17,0,0.0240000000024452
31,6,0,20160512,0,18,0,0.072000000002447
32,5,0,172032,0,5,0,0.0119999999878928
32,3,0,167936,0,5,0,0.00800000000162981
32,2,0,10346496,0,153,0,1.21199999999953
32,4,0,5259264,0,102,0,0.444000000000699
32,7,0,5844992,0,111,0,0.71999999999791
32,1,0,143360,0,4,0,0.00800000000162981
32,6,0,7045120,0,150,0,0.97600000000628
33,5,0,122880,0,3,0,0.00800000000162981
33,3,0,8159232,0,137,0,1.08800000000006
33,2,0,94208,0,3,0,0.0200000000016303
33,4,0,131072,0,5,0,0.00800000000162981
33,7,0,131072,0,6,0,0.00400000000081491
33,1,0,151552,0,4,0,0.0120000000024447
33,6,0,208896,0,8,0,0.0120000000024447
34,5,0,7413760,0,129,0,0.812000000005355
34,3,0,233472,0,8,0,0.0160000000024496
34,2,0,229376,0,12,0,0.108000000002434
34,4,0,5140480,0,93,0,0.379999999997381
34,7,0,155648,0,4,0,0.0160000000032596
34,1,0,7692288,0,129,0,0.88399999999092
34,6,0,262144,0,7,0,0.0199999999887126
35,5,0,110592,0,3,0,0
35,3,0,135168,0,4,0,0.00800000000162981
35,2,0,122880,0,4,0,0.0119999999951688
35,4,0,118784,0,4,0,0.0120000000024447
35,7,0,4796416,0,82,0,0.379999999997381
35,1,0,122880,0,16,0,0.171999999999997
35,6,0,6709248,0,117,0,0.628000000011525
36,5,0,12288,0,3,0,0.00800000000162981
36,3,0,16384,0,2,0,0
36,2,0,9433088,0,142,0,1.35599999999977
36,4,0,163840,0,3,0,0.0119999999951688
36,7,0,172032,0,4,0,0.0120000000024447
36,1,0,167936,0,5,0,0.0120000000024447
36,6,0,200704,0,5,0,0.0119999999878928
37,5,0,6938624,0,113,0,0.648000000000934
37,3,0,7966720,0,126,0,1.19999999999709
37,2,0,110592,0,4,0,0.00800000000162981
37,4,0,6008832,0,97,0,0.632000000005064
37,7,0,14581760,0,10,0,0.0119999999951688
37,1,0,6995968,0,102,0,1.01600000000326
37,6,0,6545408,0,113,0,0.908000000007803
38,5,0,20799488,0,18,0,0.0200000000032503
38,3,0,20074496,0,16,0,0.0280000000032601
38,2,0,17874944,0,15,0,0.0120000000024447
38,4,0,20893696,0,16,0,0.031999999995179
38,7,0,49152,0,6,0,0.0519999999999925
38,1,0,20094976,0,10,0,0.0120000000024447
38,6,0,23224320,0,19,0,0.0319999999919673
