moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,2,0,65536,0,5,0,0
1,5,0,69632,0,2,0,0
1,3,0,72429568,0,28,0,0.0120000000006257
1,4,0,77824,0,10,0,0
1,1,0,720896,0,71,0,0.00799999999981083
1,7,0,471040,0,53,0,0
1,6,0,72470528,0,30,0,0.0200000000004366
2,2,0,61440,0,2,0,0
2,5,0,49152,0,2,0,0
2,3,0,61440,0,4,0,0
2,4,0,77824,0,4,0,0.00799999999981083
2,7,0,40960,0,3,0,0
2,1,0,49152,0,2,0,0
2,6,0,36864,0,2,0,0.00400000000081491
3,2,0,258048,0,5,0,0.0160000000014406
3,5,0,532480,0,56,0,0.00800000000162981
3,4,0,65536,0,4,0,0.0119999999998015
3,7,0,40960,0,3,0,0
3,3,0,57344,0,4,0,0.00399999999899592
3,6,0,32768,0,4,0,0
3,1,0,16384,0,2,0,0
4,7,0,68534272,0,529,0,23.6080000000002
4,2,0,102596608,0,788,0,46.5319999999992
4,5,0,183087104,0,1442,0,113.735999999999
4,4,0,68542464,0,529,0,21.5720000000001
4,3,0,68841472,0,565,0,33.5240000000004
4,6,0,68550656,0,530,0,34.0559999999987
4,1,0,68538368,0,529,0,22.2800000000007
5,7,0,3551232,0,47,0,0.311999999999799
5,2,0,6012928,0,52,0,0.24000000000035
5,5,0,112152576,0,966,0,86.7120000000005
5,4,0,3477504,0,33,0,0.148000000000422
5,3,0,3510272,0,34,0,0.0760000000009313
5,6,0,4083712,0,37,0,0.140000000001237
5,1,0,3469312,0,33,0,0.115999999999985
6,7,0,204800,0,6,0,0.0160000000014406
6,2,0,282624,0,14,0,0.00799999999981083
6,5,0,118784,0,2,0,0.00799999999981083
6,3,0,20480,0,3,0,0
6,4,0,528384,0,45,0,0.0120000000006257
6,6,0,581632,0,44,0,0.0399999999996226
6,1,0,249856,0,16,0,0.10799999999881
7,7,0,45056,0,5,0,0
7,2,0,757760,0,52,0,0.0120000000006257
7,5,0,241664,0,24,0,0.191999999999425
7,4,0,180224,0,7,0,0.0119999999988067
7,3,0,188416,0,6,0,0.0399999999986136
7,6,0,172032,0,7,0,0.0120000000006257
7,1,0,589824,0,47,0,0.0200000000004366
8,7,0,200704,0,7,0,0.0159999999996217
8,2,0,178982912,0,1511,0,159.999999999999
8,3,0,135585792,0,1058,0,105.664000000001
8,5,0,503808,0,9,0,0.00799999999981083
8,6,0,44363776,0,353,0,16.4200000000001
8,4,0,135872512,0,1055,0,113.964000000001
8,1,0,45056,0,4,0,0
9,7,0,483328,0,8,0,0.0160000000006306
9,2,0,2686976,0,41,0,0.0760000000009313
9,5,0,163840,0,6,0,0.0120000000006257
9,4,0,2068480,0,21,0,0.043999999999869
9,3,0,532480,0,9,0,0.00799999999981083
9,6,0,528384,0,9,0,0.0239999999994325
9,1,0,179113984,0,1493,0,165.691999999999
10,2,0,102694912,0,824,0,72.9199999999986
10,5,0,327680,0,9,0,0.0680000000006231
10,4,0,247193600,0,2032,0,240.124
10,3,4096,179003392,1,1510,0,162.54
10,6,0,179056640,0,1514,0,165.208
10,7,4096,247853056,1,2067,0.0960000000000001,208.348
10,1,4096,68542464,1,544,0,38.1440000000014
11,2,0,311296,0,6,0,0.0200000000004366
11,5,0,69033984,0,585,0,37.5959999999995
11,4,0,344064,0,9,0,0.00799999999981083
11,3,0,69271552,0,576,0,36.2200000000001
11,6,0,68358144,0,524,0,37.9639999999999
11,7,0,315392,0,6,0,0.0119999999988067
11,1,0,352256,0,10,0,0.0239999999998162
12,2,0,335872,0,11,0,0.0120000000006257
12,5,0,245760,0,6,0,0.0120000000006257
12,4,0,753664,0,44,0,0.0119999999988067
12,3,0,241664,0,5,0,0.0120000000006257
12,7,0,294912,0,11,0,0.0120000000006257
12,6,0,299008,0,8,0,0.0119999999988067
12,1,0,249856,0,6,0,0.0159999999996217
13,2,0,339968,0,6,0,0.0239999999994325
13,5,0,557056,0,7,0,0.0239999999994325
13,4,0,512000,0,7,0,0.0200000000006213
13,3,0,258048,0,6,0,0.0119999999988067
13,6,0,798720,0,40,0,0.0159999999996217
13,7,0,516096,0,8,0,0.0120000000006257
13,1,0,557056,0,16,0,0.0120000000006257
14,2,0,1630208,0,42,0,0.0320000000006218
14,5,0,282624,0,19,0,0.10399999999963
14,4,0,245760,0,7,0,0.0120000000006257
14,3,0,507904,0,9,0,0.0600000000006276
14,6,0,471040,0,5,0,0.0120000000006257
14,7,0,241664,0,7,0,0.0119999999988067
14,1,0,765952,0,45,0,0.0119999999988067
15,2,0,4665344,0,45,0,0.271999999999025
15,5,0,0,0,0,0,0
15,4,0,16384,0,2,0,0
15,3,0,176128,0,5,0,0.0159999999996217
15,6,0,184320,0,5,0,0.00799999999981083
15,7,0,253952,0,8,0,0.0280000000014411
15,1,0,212992,0,4,0,0
16,2,0,335872,0,10,0,0.0120000000006257
16,5,0,21196800,0,243,0,5.45600000000013
16,4,0,30347264,0,351,0,7.75999999999985
16,3,0,253952,0,12,0,0.0200000000004366
16,6,0,282624,0,16,0,0.0760000000006187
16,1,0,327680,0,8,0,0.0280000000002474
16,7,0,327680,0,7,0,0.0119999999998157
17,2,0,221184,0,5,0,0.0120000000006257
17,5,0,266240,0,8,0,0.0120000000006257
17,4,0,282624,0,9,0,0.0120000000006257
17,3,0,30285824,0,343,0,9.4320000000007
17,6,0,30511104,0,334,0,8.54800000000068
17,1,0,16384,0,2,0,0
17,7,0,552960,0,48,0,0
18,2,0,2781184,0,88,0,0.12399999999873
18,5,0,163840,0,4,0,0.0359999999988077
18,3,0,12288,0,2,0,0
18,4,0,114688,0,4,0,0.0119999999988067
18,7,0,143360,0,3,0,0.0119999999988067
18,6,253952,30126080,8,11,0.0280000000000005,0.0159999999988116
18,1,0,159744,0,5,0,0.0120000000006257
