moment,node,buffer_cache,free,map,used
1,3,4300232,100974148,59948,2209032
1,5,4258844,101116256,60000,2108312
1,2,4358592,100966088,60120,2158732
1,4,4348104,100994864,60116,2140444
1,7,4415348,100799204,59904,2268860
1,1,4424980,100783404,60272,2275028
1,6,4476956,100838968,59976,2167488
2,3,4300248,100974512,59948,2208652
2,5,4258860,101117516,60004,2107036
2,2,4358720,100967592,60120,2157100
2,4,4654728,100526392,71740,2302292
2,7,4458108,100760232,59904,2265072
2,1,4468240,100750472,60272,2264700
2,6,4609020,100720304,59976,2154088
3,3,4474792,100581256,72012,2427364
3,2,4533284,100573948,72448,2376180
3,5,4433392,100712484,72504,2337536
3,4,4654876,99914380,72456,2914156
3,7,4633180,100365052,71908,2485180
3,1,4642876,100348700,72864,2491836
3,6,4783676,100294748,72596,2404988
4,3,4608048,99284072,77036,3591292
4,2,4666552,99156256,77224,3660604
4,4,4854776,97902972,79388,4725664
4,5,4566612,99401436,77104,3515364
4,7,4766392,98976128,77028,3740892
4,1,4776008,99005684,77440,3701720
4,6,4916924,98980624,77224,3585864
5,3,4611700,97826612,80140,5045100
5,2,4670084,97939336,80072,4873992
5,4,4859580,96760436,82804,5863396
5,5,4569948,97937916,80220,4975548
5,7,4769728,97639872,79912,5073812
5,1,4779340,97642556,80324,5061516
5,6,4920124,97519548,80164,5043740
6,3,4611812,96824652,80284,6046948
6,2,4670312,96984764,80328,5828336
6,4,4859812,95421024,83128,7202576
6,5,4570056,96943764,80308,5969592
6,7,4769832,96675348,79980,6038232
6,1,4779444,96700172,80384,6003796
6,6,4920364,96600096,80400,5962952
7,3,4611812,95348428,80284,7523172
7,4,4859828,94281416,83016,8342168
7,2,4670320,95527792,80328,7285300
7,5,4570056,95507468,80308,7405888
7,7,4769840,95323904,79980,7389668
7,1,4779452,95095540,80384,7608420
7,6,4920372,95025820,80400,7537220
8,3,4611820,93992652,80284,8878940
8,2,4670328,94097560,80328,8715524
8,4,4859836,94147808,83016,8475768
8,5,4570056,94222388,80308,8690968
8,7,4769848,94007412,79980,8706152
8,1,4779460,93243064,80384,9460888
8,6,4920380,93776992,80416,8786040
9,3,4611828,93758124,80284,9113460
9,2,4670340,94048164,80328,8764908
9,4,4859844,92278456,83016,10345112
9,5,4570080,94155448,80308,8757884
9,7,4769848,93933980,79980,8779584
9,1,4779480,93187636,80384,9516296
9,6,4920388,93460344,80416,9102680
10,3,4611836,92276940,80284,10594636
10,2,4670340,92422628,80328,10390444
10,4,4859852,91984620,83016,10638940
10,5,4570088,92586060,80308,10327264
10,7,4769896,92236796,79980,10476720
10,1,4779512,90730516,80384,11973384
10,6,4920400,91709276,80416,10853736
11,3,4611852,91493304,80284,11378256
11,2,4670348,92141716,80328,10671348
11,4,4859880,90856388,83016,11767144
11,5,4570100,92519704,80308,10393608
11,7,4769912,92176064,79980,10537436
11,1,4779528,90661112,80384,12042772
11,6,4920416,91644072,80416,10918924
12,3,4611876,91080476,80284,11791060
12,2,4670364,90407880,80328,12405168
12,4,4859888,90241040,83016,12382484
12,5,4570108,90571748,80308,12341556
12,7,4769920,90169848,79980,12543644
12,1,4779536,89499740,80384,13204136
12,6,4920432,90097240,80416,12465740
13,3,4611876,89366272,80284,13505264
13,2,4670364,90352572,80328,12460476
13,4,4859896,89929300,83016,12694216
13,5,4570108,90494720,80308,12418584
13,7,4769920,90095140,79980,12618352
13,1,4779536,88501820,80384,14202056
13,6,4920432,89537644,80416,13025336
14,3,4611876,89281332,80284,13590204
14,2,4670372,88657756,80328,14155284
14,4,4859904,89519664,83016,13103844
14,5,4570108,89832776,80308,13080528
14,7,4769920,88590668,79980,14122824
14,1,4779544,88489776,80384,14214092
14,6,4920440,89456308,80416,13106664
15,3,4611884,88620476,80284,14251052
15,2,4670380,88158704,80328,14654328
15,4,4859904,87841300,83016,14782208
15,5,4570116,88419056,80308,14494240
15,7,4769920,87955768,79980,14757724
15,1,4779552,87963916,80384,14739944
15,6,4920448,87831356,80416,14731608
16,3,4611892,88065844,80284,14805676
16,2,4670380,88116120,80328,14696912
16,4,4859912,87822892,83016,14800608
16,5,4570124,88306708,80308,14606580
16,7,4769920,87859728,79980,14853764
16,1,4779552,87882404,80384,14821456
16,6,4920456,87831608,80416,14731348
17,3,4611896,87994948,80284,14876568
17,2,4670392,87960676,80328,14852344
17,4,4859912,87730252,83016,14893248
17,5,4570124,88301784,80308,14611504
17,7,4769932,87724284,79980,14989196
17,1,4779560,87819664,80384,14884188
17,6,4920456,87732116,80416,14830840
18,3,4611776,87999392,80284,14872244
18,2,4670248,87924720,80328,14888444
18,4,4859812,86097300,83016,16526300
18,5,4570024,88088880,80308,14824508
18,7,4769832,87732480,79980,14981100
18,1,4779468,87818704,80384,14885240
18,6,4920336,87652324,80416,14910752
19,3,4611788,87933380,80284,14938244
19,2,4670260,87893436,80328,14919716
19,4,4859824,85262492,83016,17361096
19,5,4570036,88032488,80308,14880888
19,7,4769844,87657368,79980,15056200
19,1,4784968,87758696,80384,14939748
19,6,4920348,87666668,80416,14896396
20,3,4616436,87837872,80284,15029104
20,2,4670260,87843080,80328,14970072
20,4,4859832,85214260,83016,17409320
20,5,4570036,88048860,80308,14864516
20,7,4769844,87572044,79980,15141524
20,1,4790264,87666840,80384,15026308
20,6,4920356,87632236,80416,14930820
21,3,4616812,87833728,80284,15032872
21,2,4670260,87819484,80328,14993668
21,4,4859832,85127376,83016,17496204
21,5,4570044,87959280,80308,14954088
21,7,4775508,87549112,79980,15158792
21,1,4790276,87652932,80384,15040204
21,6,4920356,87555664,80416,15007392
22,3,4622132,87737628,80284,15123652
22,2,4670268,87780076,80328,15033068
22,4,4859840,84723252,83016,17900320
22,5,4570052,87906984,80308,15006376
22,7,4775516,87496068,79980,15211828
22,1,4790276,87530916,80384,15162220
22,6,4920364,87551164,80416,15011884
23,3,4622396,87657384,80284,15203632
23,2,4670276,87772704,80328,15040432
23,4,4859848,83282340,83016,19341224
23,5,4575372,87885448,80308,15022592
23,7,4781096,87401848,79980,15300468
23,1,4790284,87500344,80384,15192784
23,6,4925992,87497912,80416,15059508
24,3,4628380,87602904,80284,15252128
24,2,4670284,87775596,80328,15037532
24,4,4859848,82809008,83216,19814556
24,5,4575760,87854988,80308,15052664
24,7,4781104,87383096,79980,15319212
24,1,4790300,87498016,80384,15195096
24,6,4926000,87412968,80416,15144444
