moment,node,buffer_cache,free,map,used
1,2,11185148,93953568,59964,2344696
1,5,11223092,93817724,60108,2442596
1,4,11012892,94047032,60236,2423488
1,1,11030272,94076304,60108,2376836
1,7,11452528,93630088,60032,2400796
1,6,11455804,93590880,60112,2436728
1,3,11141780,93940440,59872,2401192
2,2,11185156,93952272,59964,2345984
2,5,11266096,93770176,60108,2447140
2,4,11012900,94047840,60108,2422672
2,1,11030276,94075712,60100,2377424
2,7,11627060,93211508,72552,2644844
2,6,11631268,93427008,60112,2425136
2,3,11273868,93798060,60068,2411484
3,2,11359820,92986132,72552,3137460
3,5,11441140,92704816,72816,3337456
3,4,11187596,93048676,72828,3247140
3,1,11204952,93114688,72896,3163772
3,7,11627384,92293976,72636,3562052
3,6,11805900,92436420,72700,3241092
3,3,11448540,92815284,72660,3219588
4,2,11492956,92040800,77100,3949656
4,5,11640880,91241796,79580,4600736
4,4,11321048,92337048,77368,3825316
4,1,11338092,92191712,77256,3953608
4,7,11760788,91544128,77140,4178496
4,6,11939032,91414356,77252,4130024
4,3,11581668,91975548,77164,3926196
5,5,11645772,89073576,83180,6764064
5,4,11324368,90809172,80512,5349872
5,2,11496260,90211896,80432,5775256
5,7,11764108,90002612,80320,5716692
5,1,11341396,90807176,80532,5334840
5,3,11584972,90255276,80320,5643164
5,6,11942336,89946724,80416,5594352
6,5,11645772,87566396,83192,8271244
6,4,11324376,88678968,80532,7480068
6,2,11496268,88073456,80432,7913688
6,7,11764108,88652800,80340,7066504
6,1,11341404,88790624,80532,7351384
6,3,11584980,88006948,80328,7891484
6,6,11942340,87638540,80416,7902532
7,5,11645780,86893056,83192,8944576
7,4,11324384,87789280,80532,8369748
7,2,11496268,87399836,80432,8587308
7,7,11588756,86855728,80332,9038928
7,1,11341412,87844820,80532,8297180
7,3,11410036,87294672,80328,8778704
7,6,11942288,86592240,80416,8948884
8,5,11645712,85098968,83192,10738732
8,4,11324388,87139268,80532,9019756
8,2,11496276,86376540,80432,9610596
8,7,11588772,84884572,80332,11010068
8,1,11341420,87430456,80532,8711536
8,3,11409636,86056224,80328,10017552
8,6,11942296,86075060,80416,9466056
9,5,11645724,84320216,83192,11517472
9,4,11324388,85497436,80532,10661588
9,2,11496276,84835472,80432,11151664
9,7,11588772,84686544,80332,11208096
9,1,11341420,85768552,80532,10373440
9,3,11409664,84063396,80328,12010352
9,6,11942312,84260564,80416,11280536
10,5,11645752,82890728,83192,12946932
10,4,11324428,84622472,80532,11536512
10,2,11496304,83168772,80432,12818336
10,7,11591532,83761188,80332,12130692
10,1,11341448,84762604,80532,11379360
10,3,11409680,83821340,80328,12252392
10,6,11945172,84182428,80416,11355812
11,5,11645768,82139284,83192,13698360
11,4,11324440,83429804,80532,12729168
11,2,11496320,83101192,80432,12885900
11,7,11591548,82541128,80332,13350736
11,1,11347544,83653364,80532,12482504
11,3,11409688,83163016,80328,12910708
11,6,11951352,81939412,80416,13592648
12,5,11648064,80714588,83192,15120760
12,4,11327424,82286760,80532,13869228
12,2,11503132,82350944,80432,13629336
12,7,11591548,81416472,80332,14475392
12,1,11350616,83379240,80532,12753556
12,3,11414332,81788392,80328,14280688
12,6,11954380,81793928,80416,13735104
13,5,11648072,80143936,83192,15691404
13,4,11340680,82270852,80532,13871880
13,2,11509508,81122244,80432,14851660
13,7,11594524,81357660,80332,14531228
13,1,11357324,81401056,80532,14725032
13,3,11422928,81608428,80328,14452056
13,6,11960724,80386240,80416,15136448
14,5,11648072,79248292,83192,16587048
14,4,11347548,81072096,80532,15063768
14,2,11516288,80899524,80432,15067600
14,7,11598084,80668544,80332,15216784
14,1,11357332,81250272,80532,14875808
14,3,11429780,80959476,80328,15094156
14,6,11960732,80398620,80416,15124060
15,5,11648080,78146600,83192,17688732
15,4,11358128,80870500,80532,15254784
15,2,11516292,80822760,80432,15144360
15,7,11601420,80618228,80332,15263764
15,1,11364276,80976104,80532,15143032
15,3,11440720,80898440,80328,15144252
15,6,11967628,80317800,80416,15197984
16,5,11654508,76980840,83192,18848064
16,4,11358264,80861924,80532,15263224
16,2,11527224,80804580,80432,15151608
16,7,11609200,80519316,80332,15354896
16,1,11364292,80933608,80532,15185512
16,3,11440704,80844880,80328,15197828
16,6,11967644,80260164,80416,15255604
17,5,11660836,75999956,83192,19822620
17,4,11358280,80792480,80532,15332652
17,2,11529744,80725600,80432,15228068
17,7,11623464,80486716,80332,15373232
17,1,11371988,80861764,80532,15249660
17,3,11444732,80803100,80328,15235580
17,6,11971512,80240628,80416,15271272
18,5,11663888,75966548,83192,19852976
18,4,11358288,80806460,80532,15318664
18,2,11529752,80730696,80432,15222964
18,7,11630608,80466532,80332,15386272
18,1,11378684,80842692,80532,15262036
18,3,11447760,80796644,80328,15239008
18,6,11982152,80226188,80416,15275072
19,5,11680876,75316768,83192,20485768
19,4,11367816,80812660,80532,15302936
19,2,11540260,80729980,80432,15213172
19,7,11634408,80453456,80332,15395548
19,1,11378892,80839444,80532,15265076
19,3,11450940,80799308,80328,15233164
19,6,11982160,80231780,80416,15269472
20,5,11691252,75210048,83192,20582112
20,4,11367816,80760636,80532,15354960
20,1,11382440,80838172,80532,15262800
20,2,11550336,80728212,80432,15204864
20,7,11634416,80452700,80332,15396296
20,3,11463832,80794080,80328,15225500
