moment,node,buffer_cache,free,map,used
1,3,11415512,93539868,60412,2528032
1,5,11533468,93428696,60220,2521248
1,2,11411320,93602516,60332,2469576
1,4,11238696,93714248,60164,2530468
1,1,11308192,93665072,60444,2510148
1,7,11856760,93095280,59824,2531372
1,6,12246780,92676008,60168,2560624
2,5,11533480,93428528,60220,2521404
2,2,11411404,93602904,60020,2469104
2,3,11591088,93376328,60152,2515996
2,4,11413660,93538544,60132,2531208
2,1,11308200,93665264,60144,2509948
2,7,11856240,93096340,60036,2530832
2,6,12421340,92234036,72680,2828036
3,5,11708104,92685660,72968,3089648
3,3,11765576,92617720,72764,3100116
3,2,11586088,92851444,72620,3045880
3,4,11588708,92805380,72820,3089324
3,7,12030872,92366960,72628,3085580
3,1,11482812,92930560,72708,3070040
3,6,12421720,91340696,72852,3720996
4,5,11841236,91668724,77484,3973452
4,3,11898720,91570500,77288,4014192
4,2,11719232,91770064,77152,3994116
4,4,11721856,91814164,77352,3947392
4,7,12163992,91337752,77132,3981668
4,1,11615960,91897456,77276,3969996
4,6,11923680,90434788,79672,5124944
5,5,11844444,90252132,80896,5386836
5,3,11901928,90231160,80260,5350324
5,2,11722740,90300368,80368,5460304
5,4,11725060,90450108,80436,5308244
5,7,12167200,90015892,80112,5300320
5,1,11619584,90540756,80376,5323072
5,6,11928516,88631008,83212,6923888
6,5,11846232,87426884,80628,8210296
6,3,11901928,88125548,80260,7455936
6,2,11723420,87312456,80292,8447536
6,4,11725060,88679728,80436,7078624
6,7,12167216,88222156,80112,7094040
6,1,11620544,87532760,80376,8330108
6,6,11929072,87092420,83212,8461920
7,5,11849764,85892100,81108,9741548
7,3,11907312,86687868,80260,8888232
7,2,11724572,86015464,80292,9743376
7,4,11727440,87099228,80436,8656744
7,7,12173048,86810644,80112,8499720
7,1,11623712,86469296,80376,9390404
7,6,11931832,84792512,83212,10759068
8,5,11853764,85052772,80628,10576876
8,3,11913836,85035324,80260,10534252
8,2,11731288,84692104,80288,11060020
8,4,11739460,85286160,80436,10457792
8,7,12175604,85682304,80112,9625504
8,1,11629552,85285372,80376,10568488
8,6,11934816,83737100,83212,11811496
9,5,11861168,83941212,80628,11681032
9,2,11737604,81522164,80292,14223644
9,3,11920504,84996140,80260,10566768
