moment,node,buffer_cache,free,map,used
1,2,9571196,95649772,59928,2262444
1,5,9166672,95993368,60348,2323372
1,3,9014908,96088908,59996,2379596
1,4,9208464,95915548,59932,2359400
1,1,9214312,96005128,60080,2263972
1,7,8943732,96257156,59920,2282524
1,6,9409716,95767396,60084,2306300
2,2,9746016,95324788,72404,2412608
2,5,9210000,95952244,60088,2321168
2,3,9147092,95966316,59996,2370004
2,4,9340504,95791112,60080,2351796
2,7,8943740,96257900,59920,2281772
2,1,9214316,96005644,60080,2263452
2,6,9453104,95731848,60084,2298460
3,2,9745960,94729844,72484,3007608
3,5,9384604,95561920,72884,2536888
3,4,9515172,95408588,72420,2559652
3,7,9118240,95898580,72468,2466592
3,3,9321636,95579652,72428,2582124
3,6,9627368,95347780,72944,2508264
3,1,9388852,95628888,72696,2465672
4,7,9251504,94542916,77148,3688992
4,2,9945804,92765204,79356,4772404
4,5,9517772,94213984,77308,3751656
4,4,9648424,93996932,77232,3838056
4,3,9454868,94239296,77120,3789248
4,6,9760736,93968872,77176,3753804
4,1,9522080,94223476,77184,3737856
5,7,9254960,93341508,80336,4886944
5,2,9950908,91753648,82932,5778856
5,5,9521020,92959400,80460,5002992
5,4,9651940,92841296,80460,4990176
5,3,9458068,93054388,80120,4970956
5,6,9764064,92801780,80472,4917568
5,1,9525568,93148756,81076,4809088
6,7,9261516,92049408,80336,6172488
6,2,9955040,90248664,82932,7279708
6,5,9524996,90929072,80460,7029344
6,3,9463076,91738844,80120,6281492
6,4,9657408,91569692,80460,6256312
6,6,9769340,91378052,80472,6336020
6,1,9531204,91609308,80412,6342900
7,7,9264620,90425172,80336,7793620
7,2,9960484,88891336,82932,8631592
7,5,9529344,90153892,80460,7800176
7,4,9660832,90300272,80332,7522308
7,3,9466164,90265192,80120,7752056
7,6,9772464,90287108,80472,7423840
7,1,9535400,90327324,80412,7620688
8,7,9260780,88330948,80336,9891684
8,2,9959048,86818784,82932,10705580
8,3,9466096,89184740,80120,8832576
8,5,9528524,88449312,80460,9505576
8,6,9771912,88856732,80472,8854768
8,4,9660140,88412424,80460,9410848
8,1,9532224,88562884,80412,9388304
9,7,9266056,88105184,80336,10112172
9,2,9962396,85560760,82932,11960256
9,5,9531244,88124576,80460,9827592
9,4,9661572,87921268,80460,9900572
9,3,9468792,87859376,80120,10155244
9,6,9775252,88227216,80472,9480944
9,1,9534476,88191536,80412,9757400
10,2,9970596,84658584,82932,12854232
10,5,9538156,86851624,80460,11093632
10,4,9670420,87256492,80460,10556500
10,3,9473332,87020968,80120,10989112
10,6,9782312,87325392,80472,10375708
10,7,9271968,87521508,80336,10689936
10,1,9540448,87283460,80412,10659504
11,2,9980080,82523912,82932,14979420
11,5,9544296,86233416,80460,11705700
11,4,9678472,85660120,80460,12144820
11,3,9482912,86737504,80120,11262996
11,6,9788644,86410404,80472,11284364
11,7,9280392,85936900,80336,12266120
11,1,9546808,86375928,80412,11560676
12,2,9990224,81629056,82932,15864132
12,5,9553400,86150048,80460,11779964
12,4,9687576,84665592,80460,13130244
12,3,9488708,85673232,80120,12321472
12,7,9289816,85776008,80336,12417588
12,6,9796608,86276556,80472,11410248
12,1,9553484,86278464,80412,11651464
13,2,9956520,81445804,82932,16081088
13,5,9523616,83965012,80460,13994784
13,4,9658104,84599196,80460,13226112
13,3,9459820,84767732,80120,13255860
13,6,9765932,84165832,80472,13551648
13,7,9258616,85210540,80336,13014256
13,1,9526664,85086332,80412,12870416
14,2,9966588,79841336,82932,17675488
14,5,9530636,83953160,80460,13999616
14,4,9667920,84227616,80460,13587876
14,3,9468412,84641132,80120,13373868
14,6,9772780,84090780,80472,13619852
14,7,9266856,83547280,80336,14669276
14,1,9532776,84132472,80412,13818164
15,2,9975556,78024964,82932,19482892
15,5,9535404,83774324,80460,14173684
15,4,9675544,82926780,80460,14881088
15,3,9474372,84069840,80120,13939200
15,6,9779692,83998616,80472,13705104
15,7,9273684,83545092,80336,14664636
15,1,9540172,84024488,80412,13918752
16,2,9987976,77943744,82932,19551692
16,5,9544672,83073624,80460,14865116
16,4,9686104,82910700,80460,14886608
16,3,9485368,83058928,80120,14939116
16,6,9789364,82746132,80472,14947916
16,1,9553392,83799392,80412,14130628
16,7,9284656,83303156,80336,14895600
17,2,9993760,77918664,82932,19570988
17,5,9548668,83046128,80280,14888616
17,4,9689584,82914148,80460,14879680
17,3,9487344,83065952,80120,14930116
17,6,9793208,82733780,80472,14956424
17,1,9556060,83533960,80412,14393392
17,7,9287812,83306144,80336,14889456
18,2,9958812,77946084,82932,19578516
18,5,9521280,83072196,80460,14889936
18,3,9458472,83091184,80120,14933756
18,4,9659456,82940780,80460,14883176
18,7,9255064,83334668,80336,14893680
18,6,9764576,82741028,80516,14977808
18,1,9525676,83560348,80412,14397388
