moment,node,recv_packets,send_bytes,send_packets
1,2,59,30032,61
1,3,1149,70163085,1433
1,6,36,11189,39
1,5,84,38814,84
1,1,59,17367,63
1,4,58,27083,62
1,7,58,34430,60
2,2,6969,135856841,7571
2,3,1574,116156,1576
2,6,28,22000,36
2,5,9275,135985513,7873
2,1,6593,44655491,4772
2,4,21,6209,26
2,7,17,5280,24
3,2,5503,271123919,6209
3,3,5223,88890784,3987
3,6,5018,265959,2992
3,5,5639,271012588,6301
3,1,2342,133193367,2906
3,4,4974,230494,2903
3,7,5593,196485,2855
4,2,28456,1520284,17131
4,3,29485,1346588,17381
4,6,19881,932597,11485
4,5,26551,1527096,15785
4,1,27073,1417063,17260
4,4,25881,1236957,15493
4,7,23351,934699,12457
5,2,5528,28540148,2267
5,3,5665,270054,2337
5,6,5428,8568428,1900
5,5,4034,315870,1711
5,1,9150,4173080,3229
5,4,5278,4376305,1808
5,7,7523,222275,2446
6,2,1518,64476,732
6,3,2264,78152,888
6,6,3016,78035,915
6,5,1000,55602,670
6,1,3077,77335,984
6,4,1401,37604,508
6,7,4134,97151,1293
7,2,2178,78054,899
7,3,2032,51071,711
7,6,3045,74958,966
7,5,1720,55596,654
7,1,1624,50978,474
7,4,1560,57447,587
7,7,2803,68598,866
8,2,1237,42166,571
8,3,1845,75817,840
8,6,1689,54520,656
8,5,1984,55641,673
8,1,1155,45161,498
8,4,2191,62356,882
8,7,1940,69618,873
9,2,1403,64206,689
9,3,1268,43531,603
9,6,2084,75638,959
9,5,2135,64457,800
9,1,846,42822,363
9,4,2058,67058,839
9,7,784,29452,276
10,2,951,39716,539
10,3,1553,78299,896
10,6,1823,56423,685
10,5,1332,41455,458
10,1,120,20272,95
10,4,1608,44346,609
10,7,1469,55438,663
11,2,1286,74001,830
11,3,1900,70120,1006
11,6,1146,43589,490
11,5,1723,61761,759
11,1,1390,54943,519
11,4,1397,63960,685
11,7,1142,42404,459
12,2,1074,42343,579
12,3,1159,59754,615
12,6,1492,62723,774
12,5,1299,54632,651
12,1,931,33730,331
12,4,1127,50287,699
12,7,1732,78432,1018
13,2,1067,69083,756
13,3,1719,64504,914
13,6,789,50207,580
13,5,1645,61594,763
13,1,598,36679,257
13,4,1294,60239,620
13,7,1164,45944,519
14,2,1546,65401,932
14,3,563,47454,435
14,6,894,44974,511
14,5,1208,52432,611
14,4,1794,64537,914
14,1,1711,63283,768
14,7,988,46710,531
15,2,753,47705,439
15,3,849,48034,665
15,6,1250,64012,805
15,5,2136,77225,971
15,1,1742,68691,746
15,4,2182,101187,1249
15,7,1322,66884,843
16,2,1167,40661,546
16,3,988,61890,647
16,6,942,49218,557
16,5,1870,57602,696
16,1,1630,47912,541
16,4,775,44059,605
16,7,1179,51078,597
