moment,node,recv_packets,send_bytes,send_packets
1,2,47,25216,46
1,5,68,31016,68
1,4,48,11259,48
1,1,50,11125,49
1,7,70,36094,68
1,6,68,26950,66
1,3,90,39843,88
2,2,20,5624,24
2,5,1599,176507,1667
2,4,22,5529,27
2,1,21,4814,24
2,7,5467,199988,2850
2,6,15259,360316385,13846
2,3,4778,359204,5032
3,2,5021,214891,3045
3,5,5221,89055055,4130
3,4,5044,232952,3075
3,1,4998,231614,3084
3,7,374,199254,407
3,6,3835,224436209,4767
3,3,7885,406601176,8942
4,2,18729,889685,11017
4,5,13048,683836,7815
4,4,12390,951653,7396
4,1,15308,796531,9049
4,7,11987,839931,6626
4,6,15728,891695,9087
4,3,14849,736201,8783
5,5,9889,319986,3525
5,4,6585,4414678,2349
5,2,6023,17446040,2237
5,7,10321,6374999,3899
5,1,6487,5373372,2761
5,3,4674,194455,1517
5,6,6806,14688562,2323
6,5,4229,95742,1163
6,4,2621,64449,912
6,2,1902,55234,768
6,7,3162,81260,1114
6,1,1577,53266,636
6,3,2126,59514,816
6,6,3241,93200,1078
7,5,2792,85987,1005
7,4,2543,70451,778
7,2,1201,56262,563
7,7,1658,64982,695
7,1,1695,67464,840
7,3,2354,80410,929
7,6,1269,38937,534
8,5,887,48000,514
8,4,2464,65794,935
8,2,1286,57461,817
8,7,1900,58644,820
8,1,1090,42472,481
8,3,1470,41157,568
8,6,1865,78933,900
9,5,1608,77248,883
9,4,2419,68433,750
9,2,1347,67479,728
9,7,1974,79492,860
9,1,1902,57311,681
9,3,1896,75350,814
9,6,1211,45862,629
10,5,2277,73839,932
10,4,1668,53978,756
10,2,779,34943,463
10,7,2208,85233,1113
10,1,1898,52813,738
10,3,1640,65808,928
10,6,1431,69342,628
11,5,1436,62209,763
11,4,1116,65643,701
11,2,244,29956,171
11,7,820,55681,549
11,1,791,52598,350
11,3,551,49222,448
11,6,2048,66586,702
12,5,1070,72778,704
12,4,498,28152,258
12,2,936,51815,522
12,7,1470,68027,962
12,1,1512,61203,573
12,3,717,36469,376
12,6,2267,75364,737
13,5,1126,59238,604
13,4,1618,87204,559
13,2,3204,130990,1437
13,7,2388,138616,1029
13,1,2107,71533,679
13,3,1933,89694,772
13,6,2494,83217,969
14,5,1604,62925,774
14,4,2118,74456,830
14,2,3210,91979,1102
14,7,2108,65120,802
14,1,1742,49950,584
14,3,2140,69724,751
14,6,1261,59739,614
15,5,1767,59956,617
15,4,1175,64742,571
15,2,1906,58949,611
15,7,804,44923,383
15,1,3040,99434,1071
15,3,2409,94161,1034
15,6,1180,52905,622
16,5,1239,47081,526
16,4,448,25993,340
16,2,1568,63408,733
16,7,480,122031,307
16,1,2081,63476,794
16,3,1613,54508,606
16,6,962,50564,531
17,5,428,44577,261
17,4,701,46102,464
17,2,1394,59098,675
17,7,1077,74779,617
17,1,1255,53648,569
17,3,1333,54073,541
17,6,710,25048,314
18,5,188,20253,178
18,4,916,36323,495
18,2,710,28372,315
18,7,130,74680,126
18,1,914,47621,512
18,3,981,36638,496
18,6,725,40490,316
19,5,441,48694,325
19,4,600,44242,384
19,2,578,43074,314
19,7,59,82366,59
19,1,398,34546,350
19,3,892,47102,417
19,6,658,28120,370
20,5,209,33340,245
20,4,128,13279,139
20,1,136,21218,138
20,2,27,13260,37
20,7,23,6721,35
20,3,481,29800,220
20,6,42,24003,59
21,5,34,14124,48
21,4,50,29780,62
21,1,26,14199,43
21,2,35,10961,46
21,7,25,6827,34
21,3,101,17925,102
21,6,22,9094,32
22,4,23,8532,32
22,5,28,12300,36
22,1,34,20567,47
22,2,31,6642,35
22,3,19,5868,28
22,7,15,5958,24
22,6,31,10664,39
23,4,9382,32268485,5309
23,5,13112,50423128,6339
23,1,11370,60505728,5782
23,7,11139,31329054,5959
23,3,10731,52823984,6038
23,2,10965,76391564,5758
23,6,11028,47555775,5416
24,4,2655,74533,1073
24,5,2511,82296,1020
24,1,3814,90989,1203
24,7,3331,97177,1395
24,3,2325,67771,961
24,2,2010,117573,1028
24,6,3525,126221,1614
25,4,2720,109810,1374
25,5,3252,114807,1573
25,1,3218,85844,1143
25,7,3148,113921,1438
25,3,2246,91294,1084
25,2,1971,86501,1021
25,6,3210,105636,1540
26,4,2099,82495,1072
26,5,2265,100786,1223
26,1,2646,78645,891
26,7,2591,101243,1350
26,3,3000,103873,1388
26,2,2689,89200,1183
26,6,1913,83974,754
27,4,1900,100665,1101
27,5,1452,70755,785
27,1,3934,148100,1829
27,7,4247,204443,1776
27,3,4426,152390,1668
27,2,3833,154132,1686
27,6,5522,207799,2489
28,4,5825,207083,2510
28,5,1902,78050,939
28,1,1924,80758,932
28,7,3773,124408,1577
28,3,2083,52713,733
28,2,3496,108426,1285
28,6,4600,178597,2176
29,4,2925,106617,1230
29,5,1286,65879,632
29,1,970,49455,399
29,7,2021,174697,811
29,3,1534,86012,877
29,2,2876,81437,961
29,6,2362,78279,1019
30,4,2401,74250,1069
30,5,242,50292,260
30,1,909,41421,435
30,7,2017,130113,869
30,3,659,34698,410
30,6,1810,71389,905
30,2,2215,66135,881
31,4,2222,94571,1090
31,1,849,43600,442
31,5,85,32187,97
31,7,1412,86929,702
31,3,84,30100,99
31,2,1866,74401,805
31,6,1062,51902,621
32,4,969,27082,348
32,5,32,11627,43
32,1,24,9934,34
32,7,394,90766,297
32,2,1059,39411,486
32,3,26,9656,34
32,6,483,49821,388
33,5,22,6562,29
33,4,575,44939,256
33,1,25,5179,32
33,7,23,6671,31
33,2,98,26891,72
33,6,230,21502,201
33,3,26,6382,33
34,5,22,6538,30
34,4,21,5752,29
34,1,18,6125,25
34,7,24,7257,35
34,2,25,5842,32
34,6,190,37782,216
34,3,13,5427,21
35,5,11859,18672246,5627
35,4,8238,20707877,4105
35,1,10297,16436957,4637
35,7,10130,21935097,4638
35,3,10779,23053233,5109
35,2,11035,14912978,4789
35,6,8305,18643835,4059
36,5,3624,119779,1647
36,4,2548,78773,1138
36,1,3004,84256,1107
36,7,3906,112496,1648
36,3,2571,94418,1375
36,2,3074,93791,1359
36,6,2758,107885,1336
37,5,3410,112022,1404
37,4,2953,116353,1470
37,1,3145,94964,1263
37,7,3813,118693,1498
37,3,2103,79716,918
37,2,2131,93557,1124
37,6,1996,77199,1105
38,5,2155,79311,1007
38,4,2076,78493,1009
38,1,3872,116637,1470
38,7,4718,156803,1838
38,3,2093,89936,1062
38,2,2984,124745,1474
38,6,2925,131154,1449
39,5,2882,124521,1370
39,4,4738,177886,2054
39,1,2425,89978,1071
39,7,5584,262524,2342
39,3,4869,195045,2204
39,2,6724,257599,3050
39,6,6103,227903,2787
40,5,1203,69782,765
40,4,1643,68343,683
40,1,1457,62560,636
40,7,1913,158094,763
40,3,1754,65288,816
40,2,3868,100651,1401
40,6,2440,92909,1089
41,5,676,57935,543
41,4,1269,72671,770
41,1,791,44350,396
41,7,1440,104486,745
41,3,1400,77263,810
41,2,2304,84246,947
41,6,2210,82833,1130
42,5,655,39290,325
42,4,488,35965,432
42,1,422,33434,243
42,7,558,72252,344
42,3,150,26405,170
42,2,1468,43605,595
42,6,287,34548,259
43,5,238,47165,275
43,4,54,20814,81
43,1,24,7396,32
43,7,43,56102,61
43,3,23,12543,31
43,2,192,50340,218
43,6,111,32619,117
44,5,13001,18949814,5784
44,4,9974,15618877,4498
44,7,9302,11631371,4182
44,1,7647,18185722,3887
44,3,6602,13959192,3530
44,2,9638,42649438,4758
44,6,8565,16790511,4072
45,5,5943,159864,2136
45,4,3179,113119,1279
45,7,4104,135444,1861
45,1,2668,93152,1235
45,3,1872,99747,1228
45,2,2946,112439,1414
45,6,3330,89906,1300
46,5,4735,144142,2001
46,4,3667,119668,1633
46,7,3435,113020,1536
46,1,2068,73602,936
46,3,5619,233986,3000
46,2,4075,158709,1986
46,6,4734,184682,2390
47,5,2727,114452,1319
47,4,4586,161034,1922
47,7,5636,194540,2507
47,1,2631,113038,1296
47,3,3265,137052,1675
47,2,3298,127233,1416
47,6,3767,128507,1657
48,5,3213,112753,1249
48,4,5878,202277,2577
48,7,4022,224482,1743
48,1,2256,100857,1232
48,3,4786,166291,2173
48,2,5061,220229,2033
48,6,2313,80176,758
49,5,2243,103077,1037
49,4,2268,93414,1025
49,7,1584,170981,844
49,1,443,55682,373
49,3,2566,88272,960
49,2,2951,122241,1268
