moment,node,recv_packets,send_bytes,send_packets
1,3,59,49005,61
1,5,60,39501,62
1,2,37,20707,41
1,4,39,35950,43
1,1,60,38970,61
1,7,86,56332,84
1,6,65,15836,68
2,5,15,4612,21
2,2,42,77441,51
2,3,12985,224803267,11297
2,4,8264,135975522,9250
2,1,17,4722,23
2,7,16,4710,22
2,6,4941,197273,2897
3,5,4953,203186,2928
3,3,4228,268783093,5435
3,2,5043,431832,3126
3,4,7375,450922127,9314
3,7,5569,196431,2888
3,1,4932,209438,2942
3,6,270,126759,293
4,5,9365,599947,5560
4,3,7732,522848,4581
4,2,9367,964646,5502
4,4,7916,448570,4439
4,7,7904,351990,3668
4,1,7015,433530,4394
4,6,7912,470344,4687
5,5,7034,4213286,2349
5,3,8053,4242875,2782
5,2,6172,217600,1882
5,4,8094,280883,3002
5,7,11360,367012,4634
5,1,7338,236252,2513
5,6,16800,2546613,6525
6,5,3366,176944,1287
6,3,3114,68514,968
6,2,3180,97022,964
6,4,2159,59190,720
6,7,431,27731,232
6,1,3174,78842,1022
6,6,4004,103334,1165
7,5,1749,78399,644
7,3,3744,147058,1349
7,2,1034,87393,378
7,4,1670,75479,730
7,7,5267,202518,2302
7,1,2571,95696,801
7,6,3214,114430,1087
8,5,647,33481,213
8,3,777,37600,335
8,2,1816,229224,585
8,4,919,59733,353
8,7,3086,97310,1074
8,1,1305,55580,425
8,6,2406,100784,993
9,5,461,44022,288
9,2,190,57769,135
9,3,49,35821,67
9,4,281,27015,122
9,7,656,45097,228
9,1,990,54639,348
9,6,712,33160,268
10,3,26,7148,42
10,5,32,18437,48
10,2,40,28218,56
10,4,38,10579,51
10,7,60,15755,66
10,1,31,13474,40
10,6,625,47525,216
11,5,5325,21130110,2704
11,3,4072,17165841,2342
11,2,5791,16857140,2824
11,4,6784,13601378,3302
11,7,6023,19409800,3038
11,1,5557,19927431,2786
11,6,9541,21730444,4609
12,5,3640,207847,1985
12,3,3765,139794,1719
12,2,2047,93709,1018
12,4,3457,154689,1622
12,7,1895,73551,938
12,1,3839,137170,1680
12,6,5391,186929,2301
13,5,2315,93619,1007
13,3,6681,271290,2998
13,2,3065,298183,1473
13,4,5756,200122,2272
13,7,2608,123007,1183
13,1,2756,125480,1016
13,6,1974,61884,736
14,5,70,41253,84
14,3,654,43577,245
14,2,396,102978,169
14,4,650,56244,298
14,1,442,29763,156
14,7,495,38806,258
14,6,615,58916,264
15,5,6748,6176840,3023
15,3,6551,10728251,2821
15,2,7781,11401160,3582
15,4,7063,9936324,3405
15,7,7996,8008230,3608
15,1,6601,13261138,3389
15,6,10040,10618924,5177
16,5,6901,276271,3235
16,3,3903,153144,1781
16,2,5341,439892,2672
16,4,5393,211905,2301
16,7,5297,198879,2294
16,1,4871,201481,2142
16,6,4808,182017,1758
17,5,183,32394,157
17,3,311,44510,167
17,2,57,68351,70
17,4,394,47759,174
17,1,354,35391,155
17,7,357,40735,173
17,6,1939,97870,859
18,5,6322,7344101,3058
18,3,6153,8623930,3010
18,2,6174,8833074,3180
18,4,6747,7245293,3034
18,7,6187,6754690,2771
18,1,7233,7133934,3211
18,6,9297,7928871,4178
19,5,6201,273735,3155
19,3,4560,264100,2164
19,2,3620,223305,1569
19,4,3190,128197,1415
19,7,4920,201253,2455
19,1,4732,213226,2366
19,6,7443,278202,3211
20,5,1168,65810,481
20,2,781,264060,385
20,3,855,60096,447
20,4,2483,115964,1084
20,7,1703,94982,882
20,1,650,52541,279
20,6,1524,67279,482
21,5,2746,7377985,1416
21,3,5055,6729231,2159
21,2,4257,6050916,1942
21,4,4316,5608991,1999
21,7,5805,7396947,2626
21,1,4864,9900010,2287
21,6,7375,11577911,3742
22,5,3384,142345,1475
22,3,5584,337408,2562
22,2,4881,210885,1974
22,4,7765,303254,3769
22,7,6503,237049,2931
22,1,4590,2260243,2216
22,6,5176,165059,1977
23,5,4936,217816,2340
23,3,913,63875,376
23,2,2534,323114,1167
23,4,1958,100262,893
23,7,1363,86405,683
23,1,201,50653,152
23,6,2743,116002,1101
24,5,5088,10493144,2329
24,3,5845,6191795,2583
24,2,7560,8111359,3613
24,4,7624,7281003,3641
24,7,8094,6307791,3678
24,1,6631,5379664,2930
24,6,7486,6814495,3306
25,5,5046,264225,2180
25,3,4262,190885,1996
25,2,7868,357033,3873
25,4,4784,190595,2168
25,7,5455,228138,2406
25,1,4918,220216,2355
25,6,7078,220567,2767
26,5,1119,67413,473
26,3,767,54519,308
26,2,99,245346,101
26,4,191,43363,115
26,1,771,56851,361
26,7,935,56568,301
26,6,1058,75056,509
27,5,7465,6570142,3799
27,3,7555,7103141,3556
27,2,9178,12034439,4504
27,4,7955,5784371,3668
27,7,6721,6320454,3100
27,1,5836,5371294,2513
27,6,9761,8666321,4622
28,5,5366,214686,2176
28,2,2425,345225,1296
28,3,4573,182656,2035
28,4,3111,137763,1137
28,1,3223,138743,1394
28,7,3065,105101,1123
28,6,2713,128828,1088
29,5,100,38460,85
29,2,41,54107,53
29,3,50,32565,67
29,4,30,11105,45
29,1,34,24828,43
29,7,40,20675,53
29,6,61,39117,83
30,5,8679,8366923,3963
30,3,10527,6157453,4834
30,2,9678,6635124,4176
30,4,10161,5579780,4501
30,1,9735,4796937,3957
30,7,8819,6801993,3690
30,6,10594,9688083,4963
31,5,1346,106137,805
31,3,4196,182558,1868
31,2,1909,292570,831
31,4,2826,114233,1076
31,1,3380,165691,1532
31,7,5241,201245,2214
31,6,1558,65584,573
32,5,6707,5848787,3152
32,3,7519,11612205,3605
32,2,7560,11400938,3715
32,4,6130,6812562,2742
32,7,10827,6646740,4755
32,1,8220,7094035,3680
32,6,7454,7122647,3552
33,5,6361,271075,3033
33,3,4978,203705,2151
33,2,4580,389964,1946
33,4,5243,226614,2254
33,7,3766,138102,1582
33,1,4212,163392,1467
33,6,5481,178739,2103
34,5,4950,6341893,2339
34,3,3445,7448878,1657
34,2,5246,7695673,2703
34,4,4106,7700988,1763
34,7,4088,6799323,2167
34,1,4054,14409719,2110
34,6,6101,9003608,3098
35,5,4284,150561,1626
35,3,5706,249875,2420
35,2,4559,288551,1984
35,4,5372,223187,2408
35,7,3203,88073,949
35,1,4074,198458,1742
35,6,5531,145039,1752
36,5,1232,75235,448
36,3,1145,60501,407
36,2,983,271842,359
