moment,node,recv_packets,send_bytes,send_packets
1,2,87,31167,86
1,5,47,12807,48
1,3,49,12396,54
1,4,67,25254,62
1,1,68,34622,68
1,7,48,10769,49
1,6,292,5354258,261
2,2,5024,215441,2976
2,5,3775,88922123,3475
2,3,9457,135957027,7817
2,4,6867,135865289,7761
2,7,17,4807,23
2,1,14,4466,20
2,6,1543,142532,1607
3,2,247,142225,282
3,5,5814,133385251,4866
3,4,7463,406625937,8742
3,7,5435,204343,2790
3,3,3484,135706369,3537
3,6,4482,44529822,2993
3,1,4947,203453,2946
4,7,6406,295229,2747
4,2,5750,513647,3252
4,5,4714,381951,2865
4,4,4793,391148,2687
4,3,3622,289806,2353
4,6,3868,289658,2627
4,1,4005,317654,2327
5,7,9240,394117,4174
5,2,12689,785023,5553
5,5,7814,1090001,3601
5,4,7347,307558,3303
5,3,6223,227475,2528
5,6,6995,1726319,2957
5,1,8636,2526871,4083
6,7,4429,219016,1890
6,2,218,247159,209
6,5,2326,95155,703
6,3,1591,108286,810
6,4,1480,111457,741
6,6,1392,103874,855
6,1,2751,157349,1131
7,7,4957,8715846,2434
7,2,5831,8273796,2678
7,5,4248,8565442,2139
7,4,3944,7926991,1518
7,3,3998,2939791,1881
7,6,3885,8885233,1798
7,1,3298,8315821,2113
8,7,4405,195726,1672
8,2,1390,361395,746
8,3,3935,225467,2133
8,5,1676,173166,814
8,6,2624,181564,1158
8,4,1685,123270,839
8,1,2025,143337,1082
9,7,8210,7243407,3475
9,2,9411,9785370,3902
9,5,8791,7150737,3786
9,4,7041,8003811,2796
9,3,8001,6576422,3739
9,6,4226,5519326,2025
9,1,5393,4672603,2584
10,2,6699,8951387,3110
10,5,5162,9525206,2574
10,4,6260,6662934,2851
10,3,7510,7181728,3588
10,6,8146,6998992,3130
10,7,6242,4382536,3124
10,1,6313,6701595,3151
11,2,7670,8272771,2992
11,5,5732,6666833,2541
11,4,6643,7713956,2765
11,3,12474,7696186,5929
11,6,6491,4097917,2905
11,7,7163,7022227,3284
11,1,6089,9926289,2772
12,2,8837,9215428,3866
12,5,5571,6000686,2164
12,4,5606,7872680,2231
12,3,6362,6065669,2719
12,7,6964,7717371,2543
12,6,6939,11131606,3302
12,1,6244,4870403,2495
13,2,6572,10537749,2702
13,5,6460,5775037,2759
13,4,5802,6444707,2412
13,3,7634,6919630,3751
13,6,5807,5544692,2609
13,7,6192,6622281,2740
13,1,5145,7285883,2194
14,2,5492,6606810,2235
14,5,5580,6567114,2191
14,4,5437,9608525,2240
14,3,7127,8091995,2957
14,6,4603,6048880,1820
14,7,4962,5324063,1952
14,1,4040,5474018,1643
15,2,6268,8088691,2093
15,5,3639,6499137,1639
15,4,3950,7046759,1649
15,3,4933,4289119,1851
15,6,4221,7781573,1683
15,7,4606,7730426,1992
15,1,6620,6572388,2483
16,2,6580,8788797,2331
16,5,6683,7038327,2913
16,4,5617,8296712,1970
16,3,6105,5849124,2386
16,6,7562,7147006,2698
16,1,5870,7386037,2614
16,7,8264,8159586,3057
17,2,894,6366915,909
17,5,666,7019744,830
17,4,357,6570045,425
17,3,476,6236729,520
17,6,625,5548563,696
17,1,680,6545830,770
17,7,621,7061731,691
18,2,589,368691,638
18,5,365,143334,384
18,3,362,232142,394
18,4,372,148759,398
18,7,378,233649,412
18,6,638,912517,814
18,1,366,190191,394
