moment,node,load5,load10,load15,procs
1,2,6.32,7.23,6.37,516
1,3,6.26,7.06,6.23,515
1,6,5.76,6.67,6.59,499
1,5,5.92,7.09,6.31,517
1,1,6.02,7.06,6.22,514
1,4,6.32,7.16,6.3,514
1,7,10.46,11.96,10.27,516
2,2,5.82,7.11,6.33,517
2,3,5.76,6.94,6.2,514
2,6,5.29,6.56,6.55,499
2,5,5.44,6.97,6.28,518
2,1,5.54,6.94,6.18,555
2,4,5.81,7.04,6.27,514
2,7,9.63,11.76,10.22,516
3,2,5.51,7.03,6.31,624
3,3,5.38,6.84,6.17,620
3,6,4.87,6.45,6.52,596
3,5,5.09,6.87,6.25,625
3,1,5.33,6.87,6.16,745
3,4,5.34,6.92,6.23,620
3,7,9.26,11.65,10.19,611
4,2,5.63,7.03,6.31,657
4,3,5.51,6.85,6.17,655
4,6,4.56,6.36,6.49,641
4,5,4.68,6.75,6.22,655
4,1,5.63,6.91,6.18,814
4,4,5.08,6.84,6.21,656
4,7,8.75,11.5,10.15,654
5,2,8.62,7.63,6.51,693
5,3,8.51,7.45,6.37,686
5,6,4.52,6.32,6.47,672
5,5,5.19,6.83,6.24,688
5,1,6.22,7.01,6.22,862
5,4,6.27,7.06,6.29,690
5,7,11.42,12.01,10.32,688
6,2,11.14,8.16,6.69,691
6,3,11.03,7.99,6.55,684
6,6,7.36,6.88,6.66,670
6,5,8.62,7.51,6.47,686
6,1,10.69,7.92,6.52,859
6,4,8.97,7.61,6.47,688
6,7,14.35,12.61,10.53,686
7,2,13.45,8.69,6.87,691
7,3,13.35,8.52,6.73,684
7,6,9.97,7.43,6.83,670
7,5,11.13,8.05,6.65,686
7,1,14.63,8.79,6.81,859
7,4,11.46,8.14,6.65,688
7,7,16.4,13.06,10.68,686
8,2,15.57,9.21,7.05,691
8,3,16.13,9.17,6.95,684
8,6,12.38,7.97,7.01,670
8,5,13.44,8.58,6.83,687
8,1,18.27,9.64,7.09,860
8,4,13.74,8.67,6.83,688
8,7,18.29,13.51,10.84,686
9,2,17.93,9.81,7.25,691
9,3,18.04,9.69,7.13,684
9,6,14.75,8.54,7.2,670
9,5,15.65,9.12,7.01,687
9,1,21.61,10.48,7.38,860
9,4,15.93,9.21,7.01,688
9,7,20.03,13.95,11,686
10,2,19.78,10.32,7.43,691
10,3,19.8,10.19,7.31,684
10,6,16.77,9.06,7.38,670
10,5,17.6,9.63,7.19,687
10,1,24.68,11.3,7.66,862
10,4,17.69,9.69,7.18,688
10,7,21.63,14.38,11.16,686
11,2,21.48,10.83,7.61,691
11,3,21.41,10.68,7.48,684
11,6,18.63,9.57,7.55,670
11,5,19.39,10.14,7.36,687
11,1,27.51,12.11,7.94,860
11,4,19.48,10.19,7.35,688
11,7,23.1,14.81,11.31,687
12,2,22.96,11.32,7.79,691
12,3,22.9,11.17,7.66,684
12,6,20.34,10.08,7.73,671
12,5,21.04,10.63,7.54,684
12,1,30.19,12.92,8.22,859
12,4,21.12,10.69,7.53,687
12,7,24.45,15.22,11.46,684
13,2,24.33,11.79,7.96,689
13,3,24.27,11.65,7.83,684
13,6,21.92,10.58,7.9,670
13,5,22.64,11.14,7.72,684
13,1,32.58,13.7,8.5,859
13,4,22.64,11.17,7.7,687
13,7,25.7,15.64,11.62,684
14,2,25.58,12.26,8.13,689
14,3,25.53,12.12,8,684
14,6,23.37,11.07,8.07,670
14,5,24.03,11.62,7.89,686
14,4,24.03,11.65,7.88,687
14,1,34.86,14.49,8.79,858
14,7,26.85,16.04,11.77,684
15,2,26.74,12.72,8.3,688
15,3,26.69,12.58,8.18,683
15,6,24.7,11.55,8.25,669
15,5,25.31,12.09,8.07,683
15,1,36.87,15.24,9.06,836
15,4,25.31,12.12,8.05,686
15,7,27.9,16.44,11.92,684
16,2,27.8,13.18,8.47,685
16,3,27.76,13.04,8.35,680
16,6,25.92,12.02,8.42,665
16,5,26.49,12.55,8.24,680
16,1,38.72,15.99,9.33,831
16,4,26.48,12.59,8.22,683
16,7,29.03,16.86,12.08,680
17,2,28.78,13.62,8.64,685
17,3,28.82,13.5,8.52,680
17,6,27.05,12.48,8.59,665
17,5,27.57,13.01,8.41,680
17,4,27.57,13.04,8.39,683
17,1,40.43,16.72,9.61,831
17,7,29.91,17.25,12.23,680
18,2,29.67,14.06,8.81,686
18,3,29.71,13.94,8.69,680
18,6,28.09,12.94,8.75,665
18,5,28.56,13.45,8.58,680
18,4,28.56,13.49,8.56,683
18,1,41.99,17.44,9.88,831
18,7,30.72,17.63,12.38,680
19,2,30.5,14.49,8.98,685
19,3,30.54,14.38,8.86,680
19,6,29.04,13.39,8.92,665
19,5,29.48,13.9,8.75,680
19,1,43.44,18.14,10.15,831
19,4,29.48,13.93,8.73,683
19,7,31.46,18,12.53,680
20,2,31.26,14.91,9.15,686
20,3,31.29,14.8,9.03,680
20,6,29.92,13.83,9.09,665
20,5,30.32,14.33,8.92,679
20,1,44.76,18.84,10.42,831
20,4,30.32,14.36,8.9,684
20,7,32.14,18.36,12.68,680
21,2,31.96,15.33,9.31,685
21,3,31.99,15.22,9.19,681
21,6,30.73,14.27,9.26,666
21,5,31.18,14.77,9.09,680
21,1,45.98,19.52,10.68,831
21,4,31.26,14.82,9.08,684
21,7,32.77,18.72,12.83,680
22,2,32.61,15.74,9.48,686
22,3,32.63,15.63,9.36,681
22,6,31.55,14.71,9.43,665
22,5,31.89,15.19,9.25,679
22,1,47.11,20.19,10.95,831
22,4,32.04,15.26,9.25,685
22,7,33.35,19.08,12.97,680
23,2,33.2,16.14,9.64,685
23,3,33.22,16.04,9.53,681
23,6,32.31,15.15,9.6,665
23,5,32.54,15.6,9.42,680
23,1,48.14,20.85,11.21,831
23,4,32.75,15.69,9.42,684
23,7,33.88,19.42,13.12,679
24,2,33.74,16.54,9.81,686
24,3,33.93,16.47,9.7,680
24,6,32.92,15.56,9.76,665
24,5,33.13,16.01,9.58,680
24,1,49.09,21.5,11.47,830
24,4,33.41,16.11,9.59,685
24,7,34.37,19.77,13.26,680
25,2,34.24,16.93,9.97,685
25,3,34.41,16.86,9.86,681
25,6,33.41,15.95,9.92,666
25,5,33.68,16.41,9.75,679
25,1,49.96,22.14,11.73,830
25,4,33.94,16.5,9.75,684
25,7,34.83,20.1,13.41,679
26,2,34.71,17.31,10.13,686
26,3,34.86,17.24,10.03,681
26,6,33.94,16.35,10.08,666
26,5,34.19,16.8,9.91,680
26,1,50.77,22.77,11.99,830
26,4,34.35,16.88,9.91,685
26,7,35.24,20.43,13.55,680
27,2,35.13,17.69,10.29,686
27,3,35.27,17.62,10.19,681
27,6,34.42,16.74,10.24,665
27,5,34.65,17.18,10.07,680
27,1,51.51,23.39,12.25,830
27,4,34.8,17.26,10.07,685
27,7,35.62,20.76,13.69,679
28,2,35.52,18.06,10.45,692
28,3,36.29,18.13,10.39,687
28,6,34.87,17.13,10.4,672
28,5,35.08,17.56,10.23,686
28,1,52.19,24,12.51,840
28,4,35.22,17.64,10.23,692
28,7,35.97,21.08,13.83,685
29,2,35.88,18.43,10.61,691
29,3,36.59,18.49,10.55,686
29,6,35.2,17.49,10.55,672
29,5,35.4,17.92,10.39,686
29,1,52.89,24.61,12.77,840
29,4,35.44,17.98,10.38,691
29,7,36.21,21.38,13.97,686
30,2,36.21,18.78,10.77,691
30,3,36.86,18.85,10.71,686
30,6,35.51,17.85,10.71,672
30,5,35.69,18.27,10.54,685
30,1,53.46,25.2,13.02,840
30,4,35.64,18.31,10.53,691
30,7,36.36,21.65,14.1,686
31,2,36.51,19.14,10.92,692
31,3,37.11,19.2,10.86,686
31,6,35.63,18.17,10.85,673
31,5,35.95,18.61,10.7,687
31,1,53.99,25.78,13.28,840
31,4,35.75,18.62,10.67,691
31,7,36.33,21.89,14.22,687
32,2,36.63,19.45,11.07,693
32,3,37.35,19.54,11.02,686
32,6,35.74,18.48,10.99,672
32,5,36.12,18.94,10.84,686
32,1,54.47,26.35,13.53,840
32,4,35.85,18.93,10.82,690
32,7,36.3,22.12,14.33,685
33,2,36.74,19.76,11.21,692
33,3,37.56,19.88,11.18,686
33,6,35.68,18.75,11.12,672
33,5,36.43,19.29,11,686
33,1,54.91,26.91,13.78,840
33,4,35.95,19.23,10.96,689
33,7,36.28,22.35,14.45,687
34,2,36.84,20.06,11.36,692
34,3,37.75,20.22,11.33,686
34,6,35.62,19.02,11.25,671
34,5,36.47,19.58,11.14,686
34,1,55.32,27.46,14.02,840
34,4,36.03,19.52,11.1,689
34,7,36.1,22.55,14.56,686
35,2,36.94,20.36,11.5,692
35,3,37.93,20.55,11.49,687
35,6,35.57,19.29,11.38,671
35,5,36.52,19.87,11.28,685
35,1,55.69,28,14.27,840
35,4,36.11,19.81,11.24,689
35,7,34.57,22.46,14.57,686
36,2,36.94,20.64,11.64,691
36,3,38.02,20.85,11.63,686
36,6,35.53,19.55,11.5,671
36,5,36.55,20.15,11.42,686
36,1,56.04,28.53,14.52,840
36,4,36.18,20.1,11.37,689
36,7,33.16,22.37,14.58,685
37,2,36.87,20.89,11.77,692
37,3,38.1,21.15,11.78,686
37,6,35.48,19.81,11.63,671
37,5,36.51,20.42,11.55,685
