moment,node,load5,load10,load15,procs
1,2,6.02,5.28,4.27,513
1,5,5.35,5.09,4.21,512
1,4,5.19,5.16,4.35,510
1,1,5.45,5.25,5.22,510
1,7,9.78,8.66,6.52,511
1,6,5.39,5.36,4.88,496
1,3,5.21,5.24,4.18,516
2,2,5.54,5.19,4.25,513
2,5,4.92,5.01,4.19,513
2,4,4.77,5.07,4.33,510
2,1,5.01,5.16,5.2,510
2,7,9,8.51,6.49,550
2,6,4.96,5.27,4.86,497
2,3,4.87,5.17,4.17,516
3,2,5.1,5.1,4.23,647
3,5,4.52,4.92,4.16,689
3,4,4.39,4.99,4.31,646
3,1,4.61,5.08,5.17,644
3,7,8.52,8.42,6.47,726
3,6,4.56,5.18,4.83,635
3,3,4.56,5.1,4.15,654
4,2,4.93,5.07,4.22,654
4,5,4.64,4.94,4.17,724
4,4,4.28,4.96,4.3,653
4,1,4.64,5.08,5.17,651
4,7,8.32,8.38,6.46,729
4,6,4.2,5.09,4.81,641
4,3,4.44,5.06,4.14,656
5,5,4.99,5.01,4.2,777
5,4,7.3,5.57,4.5,686
5,2,8.22,5.75,4.44,691
5,7,10.85,8.91,6.64,764
5,1,6.35,5.42,5.28,684
5,3,7.29,5.64,4.34,688
5,6,4.34,5.11,4.81,673
6,5,9.4,5.92,4.5,774
6,4,9.92,6.14,4.69,684
6,2,10.76,6.32,4.64,689
6,7,13.19,9.42,6.82,762
6,1,9.05,6,5.47,682
6,3,9.99,6.23,4.53,686
6,6,7.2,5.69,5,671
7,5,13.45,6.82,4.8,774
7,4,12.33,6.71,4.88,684
7,2,13.1,6.88,4.83,689
7,7,15.34,9.93,7,762
7,1,11.53,6.56,5.65,682
7,3,12.39,6.79,4.72,686
7,6,9.82,6.26,5.19,671
8,5,17.26,7.72,5.1,774
8,4,14.62,7.28,5.08,684
8,2,15.42,7.46,5.03,689
8,7,17.31,10.43,7.18,762
8,1,13.97,7.15,5.85,682
8,3,14.68,7.36,4.92,686
8,6,12.32,6.84,5.38,671
9,5,20.68,8.59,5.39,774
9,4,16.66,7.82,5.27,685
9,2,17.39,8,5.21,689
9,7,19.13,10.92,7.36,762
9,1,16.05,7.7,6.03,682
9,3,16.71,7.9,5.11,686
9,6,14.54,7.39,5.57,671
10,5,23.91,9.46,5.69,774
10,4,18.53,8.35,5.45,685
10,2,19.2,8.53,5.4,689
10,7,20.8,11.41,7.53,763
10,1,17.97,8.23,6.21,682
10,3,18.57,8.44,5.3,686
10,6,16.58,7.93,5.75,672
11,5,26.8,10.3,5.99,774
11,4,20.25,8.88,5.64,685
11,2,20.94,9.07,5.59,689
11,7,22.34,11.88,7.71,762
11,1,19.73,8.76,6.39,684
11,3,20.29,8.96,5.48,686
11,6,18.45,8.46,5.94,672
12,5,29.46,11.12,6.28,774
12,4,21.83,9.4,5.82,686
12,2,22.55,9.6,5.78,690
12,7,23.75,12.35,7.88,761
12,1,21.36,9.28,6.57,683
12,3,21.87,9.48,5.67,685
12,6,20.18,8.99,6.12,672
13,5,31.9,11.93,6.56,773
13,4,23.28,9.9,6.01,687
13,2,24.03,10.12,5.97,690
13,7,25.05,12.81,8.05,761
13,1,22.85,9.79,6.75,683
13,3,23.32,9.98,5.85,684
13,6,21.77,9.5,6.3,672
14,5,34.15,12.73,6.85,773
14,4,24.54,10.39,6.18,685
14,2,25.23,10.6,6.15,690
14,7,26.25,13.26,8.23,761
14,1,24.22,10.29,6.93,683
14,3,24.66,10.48,6.04,685
14,6,23.23,10.01,6.48,671
15,5,36.22,13.52,7.14,771
15,4,25.78,10.88,6.37,685
15,2,26.41,11.09,6.33,687
15,7,27.35,13.7,8.4,739
15,1,25.65,10.82,7.12,680
15,3,25.89,10.97,6.22,684
15,6,24.57,10.5,6.66,670
16,5,38.13,14.29,7.42,769
16,4,26.68,11.31,6.53,682
16,2,27.42,11.55,6.51,687
16,7,28.28,14.12,8.56,739
16,1,26.8,11.31,7.3,678
16,3,26.86,11.42,6.39,681
16,6,25.64,10.96,6.83,666
17,5,39.72,15.02,7.69,770
17,4,27.51,11.74,6.69,681
17,2,28.99,12.14,6.73,687
17,7,28.82,14.47,8.7,739
17,1,27.77,11.77,7.47,679
17,3,27.75,11.86,6.56,681
17,6,26.63,11.41,7,667
18,5,41.02,15.7,7.95,769
18,4,28.27,12.16,6.86,681
18,2,29.55,12.54,6.88,686
18,7,29.08,14.76,8.83,739
18,1,28.59,12.2,7.63,680
18,3,28.57,12.3,6.73,682
18,6,27.38,11.82,7.16,668
19,5,41.9,16.3,8.19,769
19,4,28.97,12.57,7.02,683
19,2,30.07,12.93,7.04,686
19,7,28.03,14.78,8.87,739
19,1,29.19,12.6,7.79,680
19,3,29.09,12.67,6.88,681
19,6,27.91,12.19,7.3,667
20,5,41.27,16.59,8.33,769
20,4,29.37,12.93,7.16,683
20,1,29.73,12.98,7.94,679
20,2,29.02,13,7.09,687
20,7,25.79,14.54,8.82,737
20,3,29.48,13.03,7.03,682
20,6,28.32,12.53,7.44,667
21,5,39.33,16.6,8.38,768
21,4,29.66,13.26,7.3,682
21,1,30.15,13.35,8.08,679
21,2,26.7,12.78,7.06,686
21,7,23.72,14.3,8.77,737
21,3,28.4,13.08,7.08,682
21,6,27.34,12.59,7.48,668
22,4,27.29,13.04,7.26,681
22,5,36.18,16.32,8.33,768
22,1,29.18,13.43,8.14,680
22,2,24.56,12.57,7.02,685
22,3,26.12,12.86,7.04,681
22,7,21.82,14.06,8.72,737
