moment,node,load5,load10,load15,procs
1,3,7.34,5.31,7.02,517
1,5,4.59,3.35,4.7,512
1,2,3.95,3.38,4.41,514
1,4,4.53,3.68,4.76,512
1,1,5,4.35,5.13,514
1,7,4.57,2.95,3.57,514
1,6,4.38,3.28,4.48,497
2,5,4.23,3.29,4.67,512
2,2,3.63,3.33,4.38,514
2,3,6.75,5.22,6.98,518
2,4,4.17,3.62,4.73,513
2,1,4.6,4.28,5.11,514
2,7,4.2,2.9,3.55,514
2,6,4.35,3.29,4.47,537
3,5,4.05,3.27,4.66,617
3,3,6.21,5.14,6.94,627
3,2,3.42,3.29,4.36,624
3,4,3.91,3.57,4.71,622
3,7,3.87,2.86,3.53,617
3,1,4.55,4.27,5.1,619
3,6,4.24,3.29,4.46,726
4,5,3.72,3.22,4.63,653
4,3,5.79,5.07,6.91,660
4,2,3.15,3.23,4.34,662
4,4,3.76,3.55,4.7,652
4,7,3.64,2.83,3.52,652
4,1,4.26,4.22,5.08,654
4,6,5.26,3.52,4.53,794
5,5,5.83,3.66,4.77,687
5,3,5.33,4.98,6.87,691
5,2,5.46,3.71,4.49,692
5,4,6.02,4.02,4.84,684
5,7,3.35,2.78,3.5,685
5,1,6.25,4.63,5.21,685
5,6,9.65,4.45,4.83,844
6,5,8.56,4.26,4.96,687
6,3,7.3,5.4,7,689
6,2,8.22,4.31,4.68,691
6,4,8.82,4.63,5.04,682
6,7,5.4,3.21,3.64,683
6,1,8.95,5.21,5.39,684
6,6,13.68,5.38,5.13,842
7,5,11.08,4.86,5.15,685
7,3,10,5.99,7.18,691
7,2,10.85,4.92,4.87,692
7,4,11.32,5.22,5.22,683
7,7,8.25,3.84,3.84,685
7,1,11.43,5.79,5.58,685
7,6,17.39,6.28,5.42,843
8,5,13.24,5.41,5.33,686
8,3,12.41,6.56,7.36,691
8,2,13.18,5.5,5.06,693
8,4,13.3,5.73,5.39,684
8,7,10.79,4.44,4.03,685
8,1,13.48,6.31,5.75,685
8,6,20.8,7.18,5.71,843
9,5,13.54,5.6,5.39,687
9,2,14.77,5.96,5.21,693
9,3,14.05,6.99,7.5,691
9,4,12.23,5.64,5.36,684
9,7,13.13,5.03,4.22,685
9,1,13.68,6.47,5.8,685
9,6,23.54,7.97,5.98,844
10,3,13.01,6.89,7.46,691
10,5,12.45,5.51,5.36,687
10,2,13.59,5.86,5.19,693
10,4,11.25,5.54,5.33,683
10,7,14.72,5.5,4.38,685
10,1,12.59,6.36,5.77,684
10,6,24.54,8.44,6.14,844
11,5,11.46,5.42,5.33,698
11,3,11.97,6.78,7.42,703
11,2,12.5,5.76,5.16,706
11,4,10.35,5.45,5.3,701
11,7,13.54,5.4,4.36,702
11,1,12.3,6.41,5.79,701
11,6,22.57,8.3,6.11,863
12,5,13.82,6.01,5.52,698
12,3,13.65,7.22,7.56,700
12,2,14.62,6.32,5.34,704
12,4,12.97,6.07,5.51,700
12,7,13.98,5.63,4.43,697
12,1,14.52,6.97,5.97,700
12,6,23.41,8.71,6.25,861
13,5,15.84,6.55,5.7,699
13,3,15.84,7.78,7.74,701
13,2,16.49,6.84,5.52,706
13,4,15.13,6.64,5.69,700
13,7,16.71,6.33,4.67,699
13,1,16.4,7.48,6.15,700
13,6,26.34,9.56,6.54,862
14,5,14.65,6.46,5.68,699
14,3,17.62,8.28,7.9,701
14,2,16.69,7.05,5.59,706
14,4,15.28,6.81,5.75,701
14,1,16.53,7.66,6.21,700
14,7,18.17,6.81,4.83,699
14,6,28.55,10.3,6.8,862
15,5,15.08,6.69,5.75,699
15,3,16.21,8.14,7.86,702
15,2,18.56,7.59,5.77,705
15,4,17.26,7.36,5.94,700
15,7,16.72,6.7,4.81,698
15,1,18.49,8.21,6.4,700
15,6,31.07,11.12,7.08,841
16,5,16.91,7.21,5.93,698
16,3,16.75,8.39,7.94,700
16,2,20.2,8.11,5.95,701
16,4,19,7.89,6.11,697
16,7,17.46,7.02,4.92,695
16,1,20.13,8.72,6.57,699
16,6,33.23,11.9,7.36,838
17,5,16.76,7.34,5.98,698
17,3,16.85,8.55,7.99,700
17,2,18.58,7.98,5.92,701
17,4,18.76,8.02,6.17,697
17,1,21.16,9.12,6.71,699
17,7,19.02,7.52,5.09,695
17,6,34.73,12.57,7.6,838
18,5,18.7,7.9,6.16,702
18,3,15.82,8.47,7.97,703
18,2,19.09,8.26,6.02,705
18,4,20.62,8.59,6.36,700
18,7,17.5,7.39,5.06,700
18,1,22.67,9.64,6.89,701
18,6,36.76,13.35,7.88,844
19,5,20.65,8.48,6.36,702
19,3,16.48,8.73,8.06,704
19,2,20.77,8.79,6.2,704
19,4,22.09,9.09,6.54,700
19,7,18.34,7.73,5.19,700
19,1,24.14,10.16,7.08,702
19,6,38.62,14.13,8.16,844
20,5,21.88,8.94,6.52,702
20,2,20.47,8.93,6.26,705
20,3,18.36,9.25,8.23,704
20,4,22.89,9.47,6.67,700
20,7,20.08,8.27,5.38,700
20,1,23.57,10.27,7.13,702
20,6,40.09,14.84,8.42,844
21,5,20.13,8.79,6.49,702
21,3,16.89,9.1,8.19,704
21,2,18.83,8.78,6.23,705
21,4,21.05,9.31,6.64,700
21,7,21.27,8.71,5.53,700
21,1,21.68,10.1,7.09,702
21,6,38.4,14.91,8.48,844
22,5,20.2,8.99,6.57,702
22,3,17.22,9.29,8.26,703
22,2,19.24,9.03,6.33,706
22,4,21.69,9.64,6.76,699
22,7,22.77,9.23,5.72,700
22,1,22.11,10.38,7.2,701
22,6,39.89,15.61,8.74,842
23,5,21.46,9.44,6.72,702
23,3,19.04,9.8,8.43,704
23,2,20.34,9.43,6.47,706
23,4,22.92,10.1,6.92,700
23,7,24.15,9.74,5.9,700
23,1,20.33,10.21,7.16,702
23,6,40.94,16.23,8.98,844
24,5,22.95,9.95,6.9,701
24,3,18.88,9.92,8.47,702
24,2,21.92,9.94,6.65,706
24,4,24.29,10.59,7.1,699
24,7,24.78,10.11,6.05,698
24,1,20.55,10.42,7.25,702
24,6,42.55,16.97,9.26,843
25,5,24.31,10.45,7.08,701
25,3,20.57,10.42,8.64,703
25,2,23.29,10.42,6.82,706
25,4,25.54,11.08,7.27,700
25,7,26,10.61,6.23,700
25,1,22.11,10.91,7.42,702
25,6,43.94,17.69,9.53,842
26,5,23.73,10.55,7.14,702
26,3,22.05,10.9,8.81,703
26,2,21.42,10.25,6.79,706
26,4,26.14,11.45,7.41,700
26,1,21.7,11.01,7.47,702
26,7,27.04,11.08,6.4,700
26,6,44.75,18.29,9.77,844
27,5,25.03,11.04,7.31,702
27,3,20.28,10.72,8.76,702
27,2,21.71,10.49,6.88,705
27,4,27.25,11.92,7.59,700
27,7,24.88,10.9,6.37,700
27,1,23.16,11.5,7.65,702
27,6,45.97,18.98,10.04,843
28,5,26.15,11.51,7.48,702
28,2,22.69,10.88,7.03,706
28,3,20.5,10.92,8.83,703
28,4,27.79,12.29,7.73,700
28,1,24.03,11.87,7.79,701
28,7,24.97,11.15,6.47,700
28,6,47.02,19.65,10.3,844
29,5,24.13,11.33,7.45,702
29,2,20.87,10.7,6.99,706
29,3,21.5,11.29,8.96,703
29,4,25.57,12.08,7.69,700
29,1,22.11,11.67,7.75,701
29,7,24.33,11.25,6.53,699
29,6,45.89,19.87,10.43,844
30,5,24.28,11.58,7.55,696
30,3,20.1,11.17,8.94,701
30,2,20.56,10.81,7.05,702
30,4,25.28,12.25,7.77,698
30,1,22.1,11.84,7.82,697
30,7,22.46,11.08,6.5,695
30,6,47.1,20.55,10.7,838
31,5,25.14,11.97,7.69,698
31,3,21.69,11.64,9.1,700
31,2,21.72,11.21,7.2,702
31,4,25.98,12.61,7.91,698
31,1,23.21,12.25,7.98,698
31,7,22.5,11.27,6.59,696
31,6,47.9,21.16,10.95,840
32,5,26.33,12.43,7.87,698
32,3,21.24,11.72,9.14,699
32,2,23.18,11.69,7.37,700
32,4,27.1,13.06,8.08,697
32,7,23.42,11.65,6.74,695
32,1,24.56,12.71,8.15,698
32,6,48.95,21.82,11.22,840
33,5,27.27,12.86,8.03,698
33,3,22.74,12.19,9.31,700
33,2,24.45,12.14,7.54,702
33,4,27.89,13.46,8.24,698
33,7,24.75,12.12,6.92,696
33,1,25.63,13.13,8.31,698
33,6,49.99,22.49,11.49,840
34,5,25.24,12.68,8,698
34,3,23.64,12.55,9.44,700
34,2,22.81,12,7.52,701
34,4,25.66,13.24,8.19,698
34,7,25.81,12.55,7.08,696
34,1,23.58,12.91,8.26,698
34,6,45.99,22.11,11.43,840
35,5,26.35,13.11,8.16,699
35,3,24.95,13.01,9.6,699
35,2,24.11,12.45,7.69,701
35,4,26.25,13.57,8.32,698
35,7,27.03,13.02,7.27,696
35,1,24.89,13.36,8.43,698
35,6,46.87,22.69,11.67,838
36,5,25.6,13.18,8.21,699
36,3,26.08,13.44,9.76,699
36,2,22.18,12.25,7.65,701
36,4,24.15,13.34,8.28,698
36,7,27.99,13.46,7.44,696
36,1,22.98,13.15,8.39,698
36,6,46.96,23.11,11.87,840
37,5,23.55,12.96,8.17,699
37,3,23.99,13.21,9.71,700
37,2,20.48,12.06,7.62,700
37,4,22.21,13.12,8.23,697
37,7,25.75,13.23,7.4,695
37,1,21.14,12.93,8.35,698
37,6,43.52,22.8,11.82,845
38,5,21.66,12.74,8.12,697
38,3,22.07,12.99,9.66,699
38,2,18.92,11.87,7.58,706
38,4,20.43,12.9,8.19,696
38,7,23.68,13.01,7.36,695
38,1,19.45,12.72,8.3,696
38,6,40.03,22.42,11.76,842
