moment,node,load5,load10,load15,procs
1,2,1.56,1.46,1.82,512
1,5,1.13,1.59,1.99,505
1,3,2.31,3.56,3.26,511
1,4,1.8,1.48,1.63,510
1,1,2.02,2.66,2.85,509
1,7,1.57,1.89,1.99,506
1,6,1.54,1.71,1.99,495
2,2,1.43,1.43,1.81,553
2,5,1.04,1.57,1.98,506
2,3,2.13,3.5,3.24,512
2,4,1.66,1.45,1.62,511
2,7,1.45,1.86,1.98,506
2,1,1.86,2.62,2.83,509
2,6,1.41,1.68,1.98,494
3,2,1.4,1.42,1.81,735
3,5,0.95,1.54,1.97,587
3,4,1.52,1.43,1.61,592
3,7,1.49,1.86,1.98,583
3,3,2.04,3.46,3.23,591
3,6,1.3,1.65,1.97,573
3,1,1.71,2.58,2.82,586
4,7,1.69,1.9,2,645
4,2,1.37,1.42,1.8,804
4,5,0.96,1.53,1.96,645
4,4,1.4,1.41,1.6,654
4,3,3.31,3.7,3.31,650
4,6,1.2,1.62,1.96,634
4,1,2.05,2.63,2.83,649
5,7,5.08,2.6,2.22,678
5,2,6.46,2.47,2.14,853
5,5,4.08,2.17,2.17,677
5,4,4.49,2.05,1.81,683
5,3,6.33,4.32,3.51,682
5,6,1.82,1.75,2,669
5,1,5.09,3.25,3.03,681
6,7,7.48,3.14,2.4,677
6,2,10.99,3.48,2.47,853
6,5,6.8,2.77,2.36,677
6,3,8.63,4.83,3.68,682
6,4,7.18,2.64,2,683
6,6,4.88,2.38,2.2,668
6,1,7.81,3.85,3.23,681
7,7,7.12,3.13,2.4,692
7,2,14.19,4.27,2.73,872
7,5,8.9,3.27,2.52,693
7,4,7.88,2.87,2.08,696
7,3,7.94,4.75,3.66,696
7,6,4.49,2.34,2.19,681
7,1,7.18,3.78,3.21,697
8,7,9.27,3.65,2.57,694
8,2,17.94,5.21,3.04,876
8,3,8.26,4.87,3.7,700
8,5,11.31,3.86,2.72,695
8,6,5.57,2.6,2.28,684
8,4,9.97,3.38,2.25,698
8,1,8.61,4.14,3.33,700
9,7,11.97,4.3,2.79,696
9,2,21.31,6.12,3.35,879
9,5,13.77,4.49,2.93,695
9,4,12.46,4.01,2.46,701
9,3,11.04,5.5,3.92,703
9,6,8.65,3.29,2.5,685
9,1,11.2,4.75,3.53,700
10,2,21.05,6.32,3.43,881
10,5,12.67,4.42,2.91,695
10,4,11.54,3.96,2.45,702
10,3,13.2,6.04,4.1,701
10,6,10.6,3.78,2.66,685
10,7,11.57,4.35,2.81,696
10,1,10.3,4.67,3.51,699
11,2,22,6.76,3.59,882
11,5,11.65,4.35,2.9,693
11,4,11.18,4.01,2.47,701
11,3,15.35,6.6,4.29,703
11,6,9.75,3.72,2.65,685
11,7,10.81,4.31,2.81,696
11,1,9.48,4.59,3.49,699
12,2,22.88,7.2,3.74,881
12,5,10.72,4.27,2.88,695
12,4,10.28,3.94,2.46,702
12,3,17.64,7.23,4.51,703
12,7,12.98,4.87,3,695
12,6,8.97,3.66,2.63,682
12,1,8.72,4.51,3.47,697
13,2,21.21,7.11,3.73,884
13,5,9.86,4.2,2.87,698
13,4,9.7,3.93,2.46,703
13,3,19.43,7.77,4.7,703
13,6,8.25,3.6,2.62,685
13,7,15.07,5.43,3.19,698
13,1,8.26,4.49,3.47,697
14,2,20.79,7.26,3.8,883
14,5,9.07,4.13,2.85,698
14,4,8.92,3.86,2.45,703
14,3,21.08,8.31,4.89,703
14,6,7.59,3.54,2.61,685
14,7,17.06,6.01,3.39,699
14,1,7.6,4.41,3.45,697
15,2,20.65,7.45,3.88,862
15,5,8.34,4.06,2.84,698
15,4,8.21,3.8,2.44,703
15,3,22.68,8.85,5.08,703
15,6,6.98,3.48,2.59,685
15,7,18.9,6.57,3.58,699
15,1,6.99,4.34,3.43,697
16,2,23.8,8.32,4.18,857
16,5,10.4,4.56,3,694
16,4,10.51,4.35,2.62,699
16,3,23.9,9.33,5.26,699
16,6,8.5,3.85,2.72,681
16,1,8.99,4.8,3.58,693
16,7,20.67,7.14,3.79,695
17,2,21.97,8.2,4.17,857
17,5,9.81,4.53,3,699
17,4,9.67,4.27,2.61,699
17,3,21.99,9.18,5.23,699
17,6,7.82,3.79,2.7,681
17,1,8.27,4.72,3.57,693
17,7,19.02,7.02,3.77,695
18,2,20.22,8.07,4.14,855
18,5,9.02,4.46,2.99,698
18,3,20.23,9.02,5.2,697
18,4,8.9,4.2,2.59,698
18,7,17.49,6.91,3.74,695
18,6,7.52,3.79,2.71,687
18,1,7.61,4.64,3.55,694
