moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,16384,0,2,0,0
1,2,0,2102042624,0,41,0,0.088000000003376
1,5,0,3082870784,0,58,0,0.159999999993715
1,4,0,4133818368,0,80,0,0.164000000002673
1,1,0,3671359488,0,64,0,0.127999999996973
1,7,0,3867545600,0,65,0,0.135999999998603
1,6,0,2102038528,0,46,0,0.0920000000033667
2,2,0,16384,0,2,0,0
2,3,0,20480,0,3,0,0
2,5,0,25518080,0,218,0,7.14400000000023
2,4,0,12288,0,2,0,0.00799999999999557
2,1,0,172032,0,21,0,0.287999999999997
2,7,0,0,0,0,0,0
2,6,0,135168,0,20,0,0.192000000000007
3,3,0,114688,0,5,0,0.0080000000008198
3,2,0,380928,0,23,0,0.347999999990336
3,5,0,109072384,0,834,0,103.800000000003
3,4,0,4096,0,1,0,0.00400000000000489
3,1,0,69632,0,4,0,0.00800000000162981
3,7,0,65536,0,4,0,0.0799999999999983
3,6,0,31551488,0,272,0,11.0439999999936
4,2,0,434176,0,25,0,0.0120000000016347
4,3,0,348160,0,16,0,0.19199999998952
4,4,0,111689728,0,925,0,86.1679999999978
4,5,0,1355776,0,24,0,0.135999999993601
4,1,0,708608,0,39,0,0.0320000000065193
4,7,0,327680,0,19,0,0.0200000000032645
4,6,0,112750592,0,907,0,90.0320000000065
5,4,0,135815168,0,1117,0,72.2159999999995
5,5,0,68325376,0,526,0,23.448000000004
5,2,0,102559744,0,790,0,41.419999999995
5,3,0,68255744,0,524,0,21.7600000000085
5,1,0,68206592,0,522,0,25.5399999999936
5,7,0,68341760,0,526,0,31.4440000000023
5,6,0,103219200,0,859,0,57.1239999999962
6,3,0,176128,0,7,0,0.0240000000024452
6,4,0,241664,0,10,0,0.0480000000048904
6,2,0,40960,0,6,0,0.0120000000000005
6,1,0,155648,0,5,0,0.0600000000040808
6,5,0,163840,0,6,0,0.0120000000024447
6,7,0,200704,0,12,0,0.0199999999879026
6,6,0,0,0,0,0,0
7,3,0,442368,0,32,0,0
7,1,0,36864,0,3,0,0.00799999999999557
7,4,0,20480,0,3,0,0
7,2,0,53248,0,4,0,0.00400000000081491
7,5,0,86016,0,6,0,0
7,6,0,28672,0,5,0,0.039999999999992
7,7,0,450560,0,35,0,0.0120000000016205
