moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,6,0,2302312448,0,56,0,0.0879999999961001
1,5,0,1581604864,0,45,0,0.0679999999993015
1,2,0,2878795776,0,66,0,0.11200000000099
1,3,0,2734669824,0,66,0,0.10399999999936
1,4,0,3022991360,0,68,0,0.11200000000099
1,1,0,1581699072,0,54,0,0.0680000000065775
1,7,0,3093024768,0,72,0,0.120000000002619
2,6,0,16384,0,2,0,0
2,5,0,16384,0,2,0,0
2,2,0,16384,0,2,0,0
2,3,0,134557696,0,1054,0,106.231999999996
2,4,0,16384,0,2,0,0
2,1,0,24576,0,2,0,0
2,7,0,65536,0,4,0,0.00400000000081491
3,3,0,45654016,0,355,0,16.6320000000051
3,6,0,176128,0,18,0,0.140000000001635
3,5,0,208896,0,21,0,0.124000000001629
3,7,0,45056,0,2,0,0
3,2,0,0,0,0,0,0
3,4,0,73728,0,11,0,0.0359999999999872
3,1,0,45056,0,2,0,0
4,7,0,103149568,0,837,0,75.2799999999947
4,3,0,68476928,0,541,0,23.6559999999976
4,6,0,179945472,0,1455,0,122.048000000003
4,5,0,179953664,0,1458,0,106.508000000002
4,2,0,68702208,0,551,0,20.8600000000043
4,4,0,68653056,0,539,0,26.9680000000008
4,1,0,179773440,0,1446,0,125.271999999997
5,3,0,155648,0,4,0,0.00800000000162981
5,6,0,67772416,0,596,0,43.8320000000022
5,7,0,294912,0,13,0,0.0240000000040794
5,5,0,67780608,0,598,0,44.7719999999972
5,2,0,0,0,0,0,0
5,4,0,20480,0,2,0,0
5,1,0,67584000,0,593,0,47.5480000000025
6,3,0,73728,0,5,0,0
6,6,0,49152,0,7,0,0.0319999999999965
6,7,0,73728,0,11,0,0.00400000000081491
6,4,0,221184,0,12,0,0.0800000000024568
6,2,0,241664,0,12,0,0.0639999999959855
6,5,0,32768,0,4,0,0.00400000000081491
6,1,0,233472,0,8,0,0.043999999993602
7,6,0,45056,0,4,0,0
7,3,0,40960,0,4,0,0.0160000000000053
7,4,0,69632,0,4,0,0
7,7,0,53248,0,5,0,0.00400000000081491
7,2,0,45056,0,4,0,0
7,5,0,61440,0,7,0,0.0360000000008256
7,1,0,200704,0,25,0,0.284000000000006
8,6,0,4096,0,1,0,0
8,4,0,0,0,0,0,0
8,7,0,179564544,0,1373,0,156.559999999998
8,3,0,28672,0,2,0,0
8,2,0,0,0,0,0,0
8,1,0,36864,0,2,0,0
8,5,0,0,0,0,0,0
9,6,0,57344,0,5,0,0.0360000000000014
9,4,0,16384,0,2,0,0
9,7,0,180715520,0,1534,0,166.264000000003
9,3,0,179044352,0,1540,0,165.763999999996
9,2,0,4096,0,1,0,0.019999999999996
9,1,0,12288,0,2,0,0
9,5,0,77824,0,6,0,0.00400000000081491
10,3,0,372736,0,37,0,0.208000000001618
10,7,0,102436864,0,798,0,72.947999999999
10,6,0,208896,0,28,0,0.0439999999999969
10,4,0,178823168,0,1508,0,173.519999999998
10,1,0,86016,0,7,0,0.0159999999999911
10,2,0,178868224,0,1510,0,163.331999999998
10,5,0,2039808,0,38,0,0.128000000000057
11,7,0,409600,0,34,0,0.00799999999435386
11,6,0,68444160,0,555,0,38.2679999999964
11,3,0,68157440,0,525,0,40.9639999999999
11,4,0,68538368,0,567,0,39.0200000000041
11,1,0,68468736,0,561,0,39.9960000000065
11,2,0,68521984,0,567,0,36.3840000000022
11,5,0,68452352,0,557,0,22.5559999999969
12,7,0,102400,0,18,0,0.00400000000081491
12,6,0,36864,0,4,0,0.00400000000081491
12,3,0,57344,0,6,0,0.00400000000081491
12,4,0,73728,0,8,0,0.00399999999353895
12,1,0,40960,0,5,0,0.00799999999435386
12,2,0,94208,0,10,0,0.00400000000081491
12,5,0,40960,0,4,0,0.00800000000162981
13,7,0,16384,0,2,0,0.00800000000162981
13,6,0,0,0,0,0,0
13,3,0,16384,0,2,0,0
13,4,0,16384,0,2,0,0
13,1,0,49152,0,6,0,0.0640000000000072
13,2,0,0,0,0,0,0
13,5,0,12288,0,2,0,0.00400000000081491
14,7,0,16384,0,2,0,0.00400000000081491
14,6,0,0,0,0,0,0
14,3,0,0,0,0,0,0
14,2,0,28672,0,4,0,0.00400000000081491
14,4,0,0,0,0,0,0
14,1,0,20480,0,2,0,0
14,5,0,12288,0,2,0,0.00400000000081491
15,7,0,24576,0,1,0,0.0119999999999862
15,6,0,49152,0,6,0,0.0840000000000032
15,4,0,16384,0,2,0,0
15,3,0,49152,0,2,0,0
15,2,0,12288,0,2,0,0
15,5,0,65536,0,9,0,0.0560000000008074
15,1,0,57344,0,12,0,0
16,7,0,2936832,0,35,0,0.232000000000994
16,6,0,86016,0,8,0,0
16,4,0,61440,0,4,0,0
16,3,0,212992,0,22,0,0.0640000000000072
16,5,0,2695168,0,31,0,0.107999999993652
16,1,0,49152,0,2,0,0.00799999999999557
16,2,0,49152,0,2,0,0
17,7,0,102400,0,7,0,0.00800000000162981
17,6,0,20480,0,2,0,0
17,4,0,118784,0,11,0,0
17,3,0,69632,0,3,0,0
17,5,0,65536,0,4,0,0.00400000000081491
17,1,0,16384,0,2,0,0
17,2,0,131072,0,14,0,0
18,7,0,36864,0,6,0,0.00400000000081491
18,6,0,12288,0,3,0,0
18,4,0,57344,0,8,0,0.039999999999992
18,3,0,32768,0,4,0,0
18,1,0,16384,0,4,0,0.00400000000000489
18,5,0,40960,0,7,0,0.00400000000081491
18,2,0,81920,0,11,0,0.0319999999999965
19,7,0,61440,0,10,0,0.0519999999935408
19,6,0,0,0,0,0,0
19,4,0,16384,0,2,0,0
19,3,0,16384,0,2,0,0
19,5,0,1175552,0,10,0,0.00800000000162981
19,1,0,94208,0,8,0,0.0480000000000018
19,2,0,20480,0,2,0,0
20,7,0,4980736,0,41,0,0.108000000000175
20,6,0,3276800,0,28,0,0.168000000001868
20,3,0,3268608,0,26,0,0.160000000003492
20,4,0,3268608,0,26,0,0.088000000003376
20,1,0,3289088,0,28,0,0.088000000003376
20,5,0,3305472,0,30,0,0.088000000003376
20,2,0,3268608,0,26,0,0.0999999999985448
21,7,0,401408,0,8,0,0.0120000000024447
21,6,0,352256,0,11,0,0.00800000000162981
21,3,0,327680,0,8,0,0.0399999999976188
21,4,0,299008,0,8,0,0.0120000000024447
21,1,0,274432,0,6,0,0.0199999999967986
21,5,0,286720,0,11,0,0.0639999999951755
21,2,0,299008,0,6,0,0.00800000000162981
22,7,0,401408,0,12,0,0.052000000002451
22,6,0,352256,0,19,0,0.211999999995982
22,3,0,290816,0,7,0,0.00800000000162981
22,1,0,360448,0,18,0,0.0720000000048913
22,4,0,270336,0,6,0,0.0119999999951688
22,5,0,27672576,0,299,0,7.67600000000337
22,2,0,299008,0,7,0,0.0159999999959837
23,7,0,3362816,0,32,0,0.151999999994587
23,6,0,42512384,0,417,0,14.0400000000009
23,3,0,39931904,0,394,0,16.648000000001
23,1,0,39940096,0,400,0,17.8999999999942
23,5,0,245760,0,5,0,0.0159999999959837
23,4,0,39960576,0,392,0,21.112000000001
23,2,0,319488,0,5,0,0.0120000000024447
24,7,0,368640,0,6,0,0.0120000000024447
24,6,0,245760,0,3,0,0.0120000000024447
24,3,0,425984,0,24,0,0.163999999995156
24,1,0,278528,0,4,0,0.0200000000040745
24,5,0,266240,0,3,0,0.0120000000024447
24,4,0,278528,0,6,0,0.0120000000024447
24,2,0,286720,0,7,0,0.0280000000032601
25,7,0,1146880,0,28,0,0.0120000000024447
25,6,0,290816,0,5,0,0.0159999999959837
25,3,0,286720,0,6,0,0.0120000000024447
25,1,0,360448,0,9,0,0.0360000000024314
25,5,0,225280,0,3,0,0.0120000000024447
25,4,0,278528,0,5,0,0.00800000000162981
25,2,0,294912,0,6,0,0.0119999999951688
26,7,0,1654784,0,16,0,0.0319999999992433
26,6,0,307200,0,5,0,0.0320000000024407
