moment,node,bytes_read,bytes_write,io_read,io_write,time_spent_read,time_spent_write
1,3,0,1341194240,0,46,0,0.0760000000001213
1,2,0,2141990912,0,60,0,0.088000000003376
1,5,0,1641549824,0,52,0,0.0720000000001164
1,1,0,1711509504,0,78,0,0.0720000000001164
1,4,0,2142007296,0,60,0,0.088000000002566
1,6,0,1140985856,0,41,0,0.0559999999968568
1,7,0,2141970432,0,59,0,0.0960000000050059
2,3,0,167936,0,11,0,0
2,2,0,45056,0,3,0,0.00400000000081491
2,5,0,155648,0,9,0,0.0480000000008118
2,1,0,126976,0,5,0,0.0120000000024447
2,4,0,45056,0,3,0,0.00400000000081491
2,6,0,65536,0,8,0,0.0919999999999987
2,7,0,0,0,0,0,0
3,3,0,134344704,0,1031,0,107.396000000001
3,2,0,58736640,0,498,0,30.2319999999995
3,5,0,86016,0,5,0,0
3,1,0,222593024,0,1713,0,209.479999999996
3,4,0,16384,0,2,0,0
3,6,0,102400,0,3,0,0
3,7,0,134615040,0,1040,0,108.091999999997
4,3,0,282681344,0,2323,0,202.152000000002
4,5,0,68440064,0,527,0,35.0880000000034
4,2,0,127660032,0,1014,0,80.6119999999937
4,4,0,179871744,0,1471,0,115.947999999994
4,1,0,392196096,0,1728,0,162.911999999996
4,6,0,185294848,0,1497,0,123.212
4,7,0,292470784,0,2364,0,249.264000000001
5,3,0,311296,0,5,0,0.0119999999951688
5,5,0,192512,0,5,0,0.00800000000162981
5,2,0,61382656,0,565,0,38.5080000000021
5,1,0,241664,0,5,0,0.00800000000162981
5,4,0,67862528,0,601,0,47.3800000000047
5,6,0,62324736,0,555,0,38.8119999999908
5,7,0,323584,0,16,0,0.0199999999967986
6,3,0,172032,0,24,0,0.224000000000004
6,5,0,49152,0,8,0,0.0520000000008167
6,2,0,77824,0,5,0,0.00399999999999068
6,1,0,102400,0,9,0,0
6,4,0,69632,0,4,0,0
6,6,0,245760,0,29,0,0.196000000001618
6,7,0,49152,0,2,0,0.00400000000000489
7,3,0,90112,0,6,0,0
7,5,0,413696,0,34,0,0.00800000000162981
7,2,0,32768,0,3,0,0
7,1,0,61440,0,2,0,0.00400000000000489
7,4,0,28672,0,3,0,0
7,6,0,36864,0,5,0,0.00800000000162981
7,7,0,65536,0,6,0,0
8,3,0,20480,0,2,0,0
8,5,0,73728,0,8,0,0.0119999999862586
8,2,0,49152,0,3,0,0
8,1,0,0,0,0,0,0
8,4,0,4096,0,1,0,0
8,6,0,77824,0,6,0,0.00400000000081491
8,7,0,4096,0,1,0,0
9,3,0,0,0,0,0,0
9,5,0,102400,0,8,0,0.0319999999999965
9,2,0,94208,0,9,0,0.0960000000000036
9,1,0,33382400,0,322,0,14.4319999999925
9,4,0,102400,0,9,0,0.0919999999999987
9,6,0,131072,0,12,0,0.0760000000008176
9,7,0,483328,0,47,0,0
10,3,4096,107237376,1,845,0.0920000000000001,53.4680000000047
10,5,0,184442880,0,1558,0,166.212000000014
10,1,0,3702784,0,56,0,0.104000000005016
10,4,0,3358720,0,32,0,0.144000000000233
10,2,0,3379200,0,33,0,0.0640000000049525
10,6,0,3330048,0,31,0,0.135999999998603
10,7,0,3678208,0,59,0,0.248000000005121
11,3,0,864256,0,40,0,0.0239999999959934
11,5,0,68472832,0,529,0,37.5039999999863
11,1,0,68452352,0,535,0,38.4879999999976
11,2,0,68562944,0,548,0,38.143999999993
11,4,0,68792320,0,558,0,38.4799999999959
11,6,0,71475200,0,576,0,39.4839999999959
11,7,0,68337664,0,525,0,38.163999999997
12,3,0,380928,0,10,0,0.0239999999976135
12,5,0,270336,0,4,0,0.0120000000024447
12,2,0,372736,0,22,0,0.0160000000032596
12,6,0,278528,0,6,0,0.0280000000057044
12,1,0,282624,0,9,0,0.0160000000032596
12,4,0,294912,0,6,0,0.00800000000162981
12,7,0,356352,0,22,0,0.0120000000024447
13,3,0,405504,0,16,0,0.0120000000024447
13,5,0,266240,0,3,0,0.0120000000024447
13,6,0,282624,0,9,0,0.0880000000016281
13,2,0,315392,0,4,0,0.00800000000162981
13,1,0,327680,0,6,0,0.0200000000040745
13,4,0,286720,0,4,0,0.0200000000040745
13,7,0,262144,0,3,0,0.0119999999951688
14,3,0,405504,0,6,0,0.0200000000040745
14,5,0,385024,0,11,0,0.0880000000024523
14,6,0,323584,0,10,0,0.0160000000032596
14,2,0,331776,0,6,0,0.0119999999951688
14,1,0,348160,0,4,0,0.0120000000024447
14,4,0,253952,0,3,0,0.0119999999951688
14,7,0,262144,0,3,0,0.0160000000032596
15,3,0,434176,0,6,0,0.0119999999951688
15,5,0,872448,0,21,0,0.00800000000162981
15,6,0,311296,0,7,0,0.0199999999895226
15,1,0,319488,0,6,0,0.0200000000016303
15,4,0,364544,0,10,0,0.0400000000024505
15,2,0,303104,0,5,0,0.0120000000024447
15,7,0,262144,0,4,0,0.0239999999976135
16,3,0,4898816,0,64,0,0.332000000002907
16,5,0,303104,0,7,0,0.0160000000032596
16,6,0,60588032,0,746,0,26.1600000000035
16,1,0,66043904,0,848,0,50.4719999999943
16,2,0,58339328,0,749,0,32.0400000000009
16,4,0,57810944,0,736,0,29.4519999999975
16,7,0,1150976,0,50,0,0.168000000002436
